Date,Open,High,Low,Close,Adj Close,Volume
2002-02-13,9.625,10.06,9.525,10.05,7.898554,19054000
2002-02-14,10.175,10.195,9.925,10.0,7.859261,2755400
2002-02-15,10.0,10.025,9.85,9.95,7.819964,2097400
2002-02-19,9.9,9.9,9.375,9.55,7.505593,1852600
2002-02-20,9.6,9.875,9.525,9.875,7.761022,1723200
2002-02-21,9.84,9.925,9.75,9.85,7.741373,1744200
2002-02-22,9.925,9.925,9.6,9.675,7.603834,881400
2002-02-25,9.65,9.825,9.54,9.75,7.662777,863400
2002-02-26,9.7,9.85,9.545,9.75,7.662777,690400
2002-02-27,9.675,9.68,9.5,9.575,7.525242,1022800
2002-02-28,9.6,9.725,9.55,9.55,7.505593,687800
2002-03-01,9.525,9.775,9.49,9.685,7.611697,478400
2002-03-04,9.725,9.905,9.71,9.85,7.741373,795200
2002-03-05,9.8,9.825,9.58,9.625,7.564539,861200
2002-03-06,9.62,9.715,9.6,9.675,7.603834,329200
2002-03-07,9.675,10.3,9.675,10.21,8.024302,675200
2002-03-08,10.15,10.5,10.15,10.45,8.212925,400200
2002-03-11,10.4,10.7,10.375,10.585,8.319027,1365600
2002-03-12,10.5,10.95,10.5,10.6,8.330817,1454800
2002-03-13,10.6,10.75,10.325,10.51,8.260083,1265800
2002-03-14,10.51,10.6,10.42,10.5,8.252222,424200
2002-03-15,10.5,10.55,9.95,10.175,7.996797,427000
2002-03-18,10.2,10.2,9.525,9.65,7.584185,551800
2002-03-19,9.725,9.75,9.3,9.35,7.34841,807400
2002-03-20,9.275,9.275,8.5,9.01,7.081194,2309000
2002-03-21,9.01,9.625,9.01,9.375,7.368057,1106800
2002-03-22,9.375,9.795,9.255,9.65,7.584185,623600
2002-03-25,9.75,9.905,9.59,9.86,7.74923,1892800
2002-03-26,10.0,10.05,9.89,9.99,7.8514,454200
2002-03-27,9.99,10.5,9.95,10.3,8.09504,342400
2002-03-28,10.25,10.3,10.05,10.1,7.937854,428600
2002-04-01,10.025,10.025,9.5,9.525,7.485946,470000
2002-04-02,9.5,9.5,9.175,9.32,7.324832,524600
2002-04-03,9.325,9.4,9.22,9.3,7.309113,141800
2002-04-04,9.275,9.525,9.275,9.475,7.446651,190800
2002-04-05,9.475,9.7,9.245,9.245,7.265885,209400
2002-04-08,9.3,9.3,8.885,9.15,7.191223,389600
2002-04-09,9.1,9.6,9.1,9.475,7.446651,890600
2002-04-10,9.45,9.525,9.375,9.46,7.434862,325600
2002-04-11,9.455,9.455,9.25,9.25,7.269816,361000
2002-04-12,9.325,9.325,9.03,9.125,7.171576,309000
2002-04-15,9.1,9.285,9.095,9.28,7.293393,389800
2002-04-16,9.375,9.6,9.375,9.5,7.466298,306400
2002-04-17,9.625,10.125,9.625,9.905,7.784596,837200
2002-04-18,9.905,10.075,9.87,9.905,7.784596,246200
2002-04-19,9.905,10.175,9.905,10.135,7.965362,161600
2002-04-22,10.075,10.075,9.905,10.0,7.859261,193200
2002-04-23,9.975,10.125,9.75,9.775,7.682425,206200
2002-04-24,9.76,9.805,9.7,9.705,7.627412,266200
2002-04-25,9.705,9.705,9.585,9.7,7.623483,431800
2002-04-26,9.65,9.79,9.625,9.625,7.564539,413400
2002-04-29,9.575,9.575,9.4,9.45,7.427001,640600
2002-04-30,9.375,9.65,9.35,9.525,7.485946,1723600
2002-05-01,9.65,10.25,9.65,10.25,8.055743,418000
2002-05-02,10.2,10.495,10.2,10.415,8.18542,829000
2002-05-03,10.4,10.405,10.28,10.4,8.17363,115800
2002-05-06,10.395,11.295,10.395,10.875,8.546945,536600
2002-05-07,10.825,11.0,10.725,10.75,8.448705,113200
2002-05-08,10.85,11.25,10.85,11.2,8.802372,164600
2002-05-09,11.25,11.6,11.25,11.425,8.979205,211800
2002-05-10,11.5,11.715,11.0,11.03,8.668764,174000
2002-05-13,11.035,11.035,10.425,10.75,8.448705,482400
2002-05-14,11.0,11.2,10.4,10.4,8.17363,989600
2002-05-15,10.35,10.5,9.925,9.925,7.800316,1457400
2002-05-16,9.925,10.35,9.925,10.3,8.09504,1321600
2002-05-17,10.375,10.75,10.375,10.615,8.342605,1087800
