Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.148148,4.197531,4.148148,4.197531,1.363438,111600
1980-03-18,4.197531,4.345679,4.148148,4.345679,1.41156,88300
1980-03-19,4.345679,4.419753,4.345679,4.419753,1.43562,69000
1980-03-20,4.444445,4.493827,4.444445,4.444445,1.443641,36400
1980-03-21,4.444445,4.444445,4.345679,4.345679,1.41156,53500
1980-03-24,4.345679,4.37037,4.222222,4.246913,1.379478,247200
1980-03-25,4.246913,4.271605,4.197531,4.222222,1.371458,21600
1980-03-26,4.222222,4.444445,4.197531,4.444445,1.443641,187600
1980-03-27,4.37037,4.37037,4.246913,4.345679,1.41156,248400
1980-03-28,4.345679,4.518518,4.320988,4.493827,1.459681,174100
1980-03-31,4.493827,4.518518,4.419753,4.518518,1.467701,74200
1980-04-01,4.518518,4.54321,4.493827,4.54321,1.475722,42700
1980-04-02,4.54321,4.54321,4.444445,4.469136,1.451661,63000
1980-04-03,4.54321,4.54321,4.54321,4.54321,1.475722,28300
1980-04-07,4.518518,4.518518,4.395061,4.444445,1.443641,90000
1980-04-08,4.469136,4.54321,4.469136,4.518518,1.467701,15400
1980-04-09,4.518518,4.54321,4.518518,4.54321,1.475722,115300
1980-04-10,4.54321,4.54321,4.518518,4.54321,1.475722,90400
1980-04-11,4.493827,4.493827,4.37037,4.395061,1.4276,135600
1980-04-14,4.395061,4.395061,4.024692,4.074074,1.323337,40600
1980-04-15,4.074074,4.098765,4.074074,4.098765,1.331358,244900
1980-04-16,4.098765,4.098765,4.024692,4.049383,1.315317,91000
1980-04-17,4.049383,4.049383,4.024692,4.024692,1.307297,34600
1980-04-18,4.024692,4.074074,4.024692,4.049383,1.315317,24300
1980-04-21,4.049383,4.049383,4.0,4.049383,1.315317,101200
1980-04-22,4.049383,4.098765,4.024692,4.049383,1.315317,244900
1980-04-23,4.024692,4.024692,3.950617,3.950617,1.283236,144000
1980-04-24,3.950617,4.074074,3.950617,3.975309,1.291256,102600
1980-04-25,3.975309,4.024692,3.950617,3.975309,1.291256,95400
1980-04-28,3.975309,4.098765,3.975309,4.024692,1.307297,173400
1980-04-29,4.049383,4.123457,4.049383,4.123457,1.339378,349600
1980-04-30,4.098765,4.098765,4.0,4.074074,1.323337,96000
1980-05-01,4.074074,4.074074,4.0,4.0,1.299277,68800
1980-05-02,4.0,4.0,3.950617,3.950617,1.283236,47400
1980-05-05,3.950617,4.0,3.950617,4.0,1.299277,59500
1980-05-06,4.0,4.024692,3.925926,4.024692,1.307297,169300
1980-05-07,4.024692,4.049383,3.950617,3.975309,1.291256,91300
1980-05-08,3.975309,4.024692,3.925926,4.0,1.299277,144600
1980-05-09,4.0,4.0,3.950617,3.950617,1.283236,82300
1980-05-12,3.950617,3.975309,3.925926,3.950617,1.283236,12100
1980-05-13,3.950617,4.148148,3.950617,4.148148,1.347397,127500
1980-05-14,4.17284,4.320988,4.17284,4.296296,1.395519,123700
1980-05-15,4.345679,4.54321,4.345679,4.54321,1.475722,64000
1980-05-16,4.54321,4.54321,4.469136,4.518518,1.467701,51900
1980-05-19,4.518518,4.592593,4.518518,4.54321,1.475722,132900
1980-05-20,4.54321,4.592593,4.54321,4.567901,1.483741,160800
1980-05-21,4.567901,4.567901,4.518518,4.567901,1.483741,47800
1980-05-22,4.567901,4.567901,4.493827,4.54321,1.475722,78300
1980-05-23,4.54321,4.567901,4.469136,4.469136,1.451661,20200
1980-05-27,4.54321,4.54321,4.54321,4.54321,1.475722,96400
1980-05-28,4.54321,4.592593,4.54321,4.592593,1.491762,17500
1980-05-29,4.592593,4.617284,4.54321,4.54321,1.475722,83800
1980-05-30,4.518518,4.518518,4.444445,4.518518,1.467701,57600
1980-06-02,4.469136,4.469136,4.469136,4.469136,1.451661,85900
1980-06-03,4.469136,4.567901,4.469136,4.567901,1.483741,89200
1980-06-04,4.567901,4.567901,4.518518,4.518518,1.467701,23100
1980-06-05,4.518518,4.592593,4.518518,4.567901,1.483741,49500
1980-06-06,4.54321,4.54321,4.444445,4.518518,1.467701,97300
1980-06-09,4.54321,4.716049,4.54321,4.716049,1.531863,85900
1980-06-10,4.716049,4.790123,4.666667,4.740741,1.539883,52600
1980-06-11,4.790123,4.839506,4.790123,4.839506,1.571964,31600
1980-06-12,4.839506,4.839506,4.617284,4.641975,1.507803,129700
1980-06-13,4.641975,4.691358,4.567901,4.617284,1.499782,126900
1980-06-16,4.617284,4.617284,4.567901,4.617284,1.499782,12300
1980-06-17,4.54321,4.54321,4.345679,4.345679,1.41156,237100
1980-06-18,4.395061,4.567901,4.395061,4.567901,1.483741,58900
1980-06-19,4.592593,4.716049,4.592593,4.641975,1.507803,116200
1980-06-20,4.641975,4.691358,4.617284,4.641975,1.507803,19500
1980-06-23,4.666667,4.765432,4.666667,4.740741,1.539883,118300
1980-06-24,4.740741,4.740741,4.592593,4.716049,1.531863,42700
1980-06-25,4.716049,4.740741,4.641975,4.740741,1.539883,84300
1980-06-26,4.740741,4.740741,4.691358,4.740741,1.539883,118300
1980-06-27,4.740741,4.790123,4.691358,4.740741,1.539883,60900
1980-06-30,4.740741,4.765432,4.592593,4.666667,1.515822,24400
1980-07-01,4.666667,4.765432,4.666667,4.691358,1.523843,182400
1980-07-02,4.716049,4.814815,4.716049,4.765432,1.547904,81900
1980-07-03,4.765432,4.790123,4.716049,4.716049,1.531863,13500
1980-07-07,4.765432,4.938272,4.765432,4.938272,1.604046,169300
1980-07-08,4.938272,4.987654,4.91358,4.987654,1.620086,45400
1980-07-09,4.987654,5.111111,4.962963,5.111111,1.660186,72100
1980-07-10,5.111111,5.234568,5.111111,5.111111,1.660186,83800
1980-07-11,5.111111,5.209877,5.111111,5.185185,1.684247,27600
1980-07-14,5.185185,5.728395,5.185185,5.728395,1.860693,110200
1980-07-15,5.62963,5.62963,5.432099,5.432099,1.76445,355600
1980-07-16,5.382716,5.382716,5.185185,5.209877,1.692268,79200
1980-07-17,5.209877,5.283951,5.160494,5.160494,1.676227,33700
1980-07-18,5.160494,5.185185,5.135802,5.135802,1.668207,112600
