Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,15.375,15.875,15.125,15.75,3.656138,64600
1970-01-05,15.6875,15.6875,15.25,15.4375,3.583596,47200
1970-01-06,15.1875,15.1875,14.75,15.0,3.482036,122000
1970-01-07,14.9375,14.9375,14.625,14.8125,3.438511,45600
1970-01-08,14.8125,14.9375,14.625,14.75,3.424002,50400
1970-01-09,14.75,14.75,14.5,14.5,3.365967,30200
1970-01-12,14.5,14.6875,14.4375,14.625,3.394986,15000
1970-01-13,14.625,14.8125,14.375,14.4375,3.35146,36800
1970-01-14,14.4375,14.6875,14.3125,14.5,3.365967,34800
1970-01-15,14.5,14.5,14.25,14.375,3.336951,51200
1970-01-16,14.375,14.75,14.25,14.3125,3.322445,42600
1970-01-19,14.3125,14.5,14.0625,14.1875,3.293425,35000
1970-01-20,14.1875,14.375,14.0625,14.375,3.336951,66400
1970-01-21,14.375,14.625,14.125,14.3125,3.322445,57200
1970-01-22,14.3125,14.625,14.25,14.4375,3.35146,42600
1970-01-23,14.4375,14.5,14.125,14.25,3.307934,325600
1970-01-26,14.25,14.4375,14.1875,14.25,3.307934,73000
1970-01-27,14.3125,14.5625,14.3125,14.3125,3.322445,51600
1970-01-28,14.3125,14.5,14.25,14.3125,3.322445,104600
1970-01-29,14.3125,14.3125,13.6875,13.6875,3.177357,53200
1970-01-30,13.6875,13.6875,13.0625,13.0625,3.032274,63000
1970-02-02,13.0625,13.875,12.8125,13.5,3.133833,119800
1970-02-03,13.5,14.0625,13.25,14.0625,3.26441,107200
1970-02-04,14.0625,14.1875,13.5625,13.75,3.191866,36400
1970-02-05,13.75,13.9375,13.625,13.625,3.162851,28600
1970-02-06,13.625,14.0,13.5,13.9375,3.235392,75000
1970-02-09,13.9375,14.1875,13.5,13.5,3.157961,63200
1970-02-10,13.5,13.5,12.9375,13.0625,3.055623,90800
1970-02-11,13.0625,13.3125,12.75,13.25,3.099482,115200
1970-02-12,13.25,13.375,13.125,13.25,3.099482,37800
1970-02-13,13.25,13.375,13.0625,13.375,3.128723,24000
