Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,3.625,3.78125,3.625,3.625,2.117593,76800
1980-03-18,3.625,3.78125,3.625,3.78125,2.208867,113600
1980-03-19,3.875,3.90625,3.875,3.890625,2.27276,30400
1980-03-20,3.890625,3.890625,3.859375,3.875,2.263631,47200
1980-03-21,3.765625,3.765625,3.71875,3.75,2.190612,68000
1980-03-24,3.75,3.78125,3.75,3.75,2.190612,61600
1980-03-25,3.75,3.75,3.703125,3.75,2.190612,222400
1980-03-26,3.75,3.765625,3.65625,3.65625,2.135847,37600
1980-03-27,3.625,3.625,3.5625,3.5625,2.081082,212800
1980-03-28,3.59375,3.75,3.59375,3.75,2.190612,449600
1980-03-31,3.78125,3.8125,3.78125,3.8125,2.227121,40000
1980-04-01,3.84375,3.984375,3.84375,3.984375,2.327526,31200
1980-04-02,4.0,4.015625,4.0,4.0,2.336652,404800
1980-04-03,4.0,4.015625,3.953125,3.953125,2.30927,308800
1980-04-07,3.953125,3.953125,3.8125,3.8125,2.227121,660000
1980-04-08,3.8125,3.8125,3.75,3.78125,2.208867,37600
1980-04-09,3.75,3.75,3.75,3.75,2.190612,26400
1980-04-10,3.75,3.78125,3.75,3.75,2.190612,76000
1980-04-11,3.75,3.78125,3.734375,3.734375,2.181485,76800
1980-04-14,3.734375,3.75,3.734375,3.75,2.190612,60800
1980-04-15,3.75,3.796875,3.71875,3.71875,2.172357,33600
1980-04-16,3.71875,3.71875,3.71875,3.71875,2.172357,8000
1980-04-17,3.703125,3.703125,3.609375,3.65625,2.135847,147200
1980-04-18,3.6875,3.71875,3.6875,3.71875,2.172357,236000
1980-04-21,3.6875,3.6875,3.546875,3.546875,2.071954,43200
1980-04-22,3.546875,3.578125,3.5,3.53125,2.062828,92000
1980-04-23,3.53125,3.59375,3.53125,3.546875,2.071954,248000
1980-04-24,3.4375,3.4375,3.328125,3.328125,1.944169,568800
1980-04-25,3.3125,3.3125,3.25,3.3125,1.93504,372000
1980-04-28,3.3125,3.3125,3.28125,3.296875,1.925912,71200
1980-04-29,3.265625,3.265625,3.1875,3.21875,1.880275,316000
1980-04-30,3.21875,3.234375,3.125,3.125,1.825509,60800
1980-05-01,3.140625,3.203125,3.140625,3.1875,1.862021,216800
1980-05-02,3.1875,3.21875,3.1875,3.1875,1.862021,120000
1980-05-05,3.1875,3.234375,3.1875,3.234375,1.889403,31200
1980-05-06,3.234375,3.28125,3.1875,3.1875,1.862021,316800
1980-05-07,3.1875,3.3125,3.1875,3.28125,1.916784,350400
1980-05-08,3.28125,3.3125,3.21875,3.21875,1.880275,54400
1980-05-09,3.21875,3.21875,3.15625,3.15625,1.843765,839200
1980-05-12,3.171875,3.25,3.171875,3.25,1.89853,24000
1980-05-13,3.25,3.3125,3.21875,3.265625,1.907657,240800
1980-05-14,3.265625,3.296875,3.21875,3.21875,1.880275,44800
1980-05-15,3.25,3.375,3.25,3.375,1.971551,123200
1980-05-16,3.375,3.390625,3.34375,3.34375,1.953297,67200
1980-05-19,3.359375,3.40625,3.359375,3.375,1.971551,94400
1980-05-20,3.375,3.515625,3.375,3.515625,2.053699,147200
1980-05-21,3.515625,3.5625,3.484375,3.5625,2.081082,50400
1980-05-22,3.5625,3.703125,3.53125,3.703125,2.163229,236000
1980-05-23,3.703125,3.765625,3.703125,3.75,2.190612,439200
1980-05-27,3.75,3.78125,3.734375,3.765625,2.19974,55200
1980-05-28,3.765625,3.78125,3.703125,3.703125,2.163229,48800
1980-05-29,3.65625,3.65625,3.59375,3.609375,2.108465,128800
1980-05-30,3.609375,3.65625,3.59375,3.65625,2.135847,179200
1980-06-02,3.625,3.625,3.625,3.625,2.117593,343200
1980-06-03,3.609375,3.609375,3.5625,3.59375,2.099336,185600
1980-06-04,3.59375,3.609375,3.578125,3.609375,2.108465,134400
1980-06-05,3.609375,3.625,3.578125,3.59375,2.099336,86400
1980-06-06,3.59375,3.609375,3.578125,3.578125,2.090209,86400
1980-06-09,3.578125,3.609375,3.5625,3.5625,2.081082,44800
1980-06-10,3.5625,3.5625,3.546875,3.546875,2.071954,65600
1980-06-11,3.546875,3.546875,3.5,3.5,2.044571,211200
1980-06-12,3.484375,3.484375,3.40625,3.421875,1.998933,123200
1980-06-13,3.421875,3.4375,3.390625,3.421875,1.998933,100800
1980-06-16,3.4375,3.46875,3.4375,3.46875,2.026317,833600
1980-06-17,3.5,3.53125,3.5,3.5,2.044571,574400
1980-06-18,3.5,3.515625,3.5,3.515625,2.053699,89600
1980-06-19,3.515625,3.546875,3.484375,3.515625,2.053699,259200
1980-06-20,3.5,3.5,3.453125,3.484375,2.035443,167200
1980-06-23,3.484375,3.5,3.4375,3.5,2.044571,189600
1980-06-24,3.515625,3.578125,3.515625,3.578125,2.090209,44800
1980-06-25,3.59375,3.671875,3.59375,3.640625,2.126718,1156000
1980-06-26,3.640625,3.84375,3.640625,3.78125,2.208867,458400
1980-06-27,3.78125,3.796875,3.75,3.796875,2.217994,104800
1980-06-30,3.796875,3.8125,3.75,3.75,2.190612,50400
1980-07-01,3.75,3.796875,3.71875,3.796875,2.217994,286400
1980-07-02,3.796875,3.84375,3.765625,3.8125,2.227121,188800
1980-07-03,3.8125,3.875,3.8125,3.828125,2.23625,316800
1980-07-07,3.84375,3.890625,3.84375,3.859375,2.254504,52800
1980-07-08,3.875,3.953125,3.875,3.921875,2.291016,38400
1980-07-09,3.921875,4.046875,3.90625,4.03125,2.354908,83200
1980-07-10,4.03125,4.09375,3.96875,3.984375,2.327526,481600
1980-07-11,3.984375,4.03125,3.984375,4.0,2.336652,92800
1980-07-14,4.0,4.03125,4.0,4.0,2.336652,95200
1980-07-15,4.0,4.046875,3.921875,3.921875,2.291016,74400
1980-07-16,3.890625,3.890625,3.78125,3.796875,2.217994,378400
1980-07-17,3.84375,3.953125,3.84375,3.953125,2.30927,46400
1980-07-18,3.96875,4.0,3.96875,3.96875,2.318397,222400
1980-07-21,4.015625,4.0625,4.015625,4.0625,2.373163,68800
1980-07-22,4.09375,4.140625,4.09375,4.109375,2.400545,853600
1980-07-23,4.109375,4.171875,4.09375,4.09375,2.391418,75200
1980-07-24,4.09375,4.140625,4.0625,4.109375,2.400545,232800
1980-07-25,4.078125,4.078125,3.96875,3.96875,2.318397,312800
1980-07-28,3.96875,4.03125,3.9375,3.984375,2.327526,34400
1980-07-29,3.953125,3.953125,3.859375,3.9375,2.300143,192000
1980-07-30,3.96875,4.078125,3.96875,4.078125,2.382291,273600
1980-07-31,4.078125,4.234375,4.03125,4.234375,2.473566,230400
1980-08-01,4.328125,4.5625,4.328125,4.5625,2.665246,98400
1980-08-04,4.5625,4.59375,4.375,4.40625,2.573968,324000
1980-08-05,4.40625,4.453125,4.390625,4.453125,2.601351,68000
1980-08-06,4.4375,4.4375,4.390625,4.390625,2.564842,36000
1980-08-07,4.390625,4.40625,4.390625,4.40625,2.573968,27200
1980-08-08,4.40625,4.421875,4.375,4.421875,2.583097,186400
1980-08-11,4.421875,4.421875,4.375,4.390625,2.564842,17600
1980-08-12,4.40625,4.4375,4.40625,4.40625,2.573968,96800
1980-08-13,4.375,4.375,4.359375,4.375,2.555714,135200
1980-08-14,4.34375,4.34375,4.296875,4.296875,2.510076,34400
1980-08-15,4.296875,4.328125,4.28125,4.296875,2.510076,139200
1980-08-18,4.296875,4.3125,4.265625,4.296875,2.510076,74400
1980-08-19,4.28125,4.28125,4.25,4.25,2.482695,118400
1980-08-20,4.265625,4.296875,4.265625,4.296875,2.510076,18400
1980-08-21,4.296875,4.3125,4.28125,4.3125,2.519205,44800
1980-08-22,4.3125,4.40625,4.296875,4.40625,2.573968,45600
1980-08-25,4.40625,4.421875,4.359375,4.359375,2.546586,204800
1980-08-26,4.328125,4.328125,4.3125,4.3125,2.519205,27200
1980-08-27,4.3125,4.3125,4.3125,4.3125,2.519205,72000
1980-08-28,4.28125,4.28125,4.25,4.25,2.482695,7200
1980-08-29,4.25,4.25,4.203125,4.234375,2.473566,12000
1980-09-02,4.234375,4.25,4.203125,4.203125,2.45531,36800
1980-09-03,4.21875,4.25,4.21875,4.25,2.482695,84800
1980-09-04,4.25,4.25,4.21875,4.25,2.482695,58400
1980-09-05,4.234375,4.234375,4.171875,4.203125,2.45531,27200
1980-09-08,4.234375,4.296875,4.234375,4.296875,2.510076,109600
1980-09-09,4.25,4.25,4.1875,4.203125,2.45531,138400
1980-09-10,4.234375,4.234375,4.234375,4.234375,2.473566,105600
1980-09-11,4.234375,4.234375,4.203125,4.203125,2.45531,13600
1980-09-12,4.203125,4.21875,4.15625,4.15625,2.427927,23200
1980-09-15,4.15625,4.21875,4.140625,4.21875,2.464437,104800
1980-09-16,4.21875,4.21875,4.171875,4.203125,2.45531,163200
1980-09-17,4.234375,4.25,4.234375,4.25,2.482695,276800
1980-09-18,4.25,4.421875,4.25,4.421875,2.583097,81600
1980-09-19,4.4375,4.5,4.4375,4.46875,2.610478,188800
1980-09-22,4.46875,4.515625,4.453125,4.5,2.628735,74400
1980-09-23,4.515625,4.546875,4.515625,4.546875,2.656117,23200
1980-09-24,4.546875,4.546875,4.5,4.5,2.628735,66400
1980-09-25,4.5,4.5625,4.421875,4.453125,2.601351,392000
1980-09-26,4.453125,4.46875,4.40625,4.4375,2.592224,16000
1980-09-29,4.390625,4.390625,4.28125,4.28125,2.500949,37600
1980-09-30,4.28125,4.3125,4.234375,4.25,2.482695,577600
1980-10-01,4.25,4.265625,4.171875,4.265625,2.491821,312000
1980-10-02,4.265625,4.296875,4.25,4.296875,2.510076,93600
1980-10-03,4.296875,4.359375,4.28125,4.359375,2.546586,19200
1980-10-06,4.390625,4.421875,4.390625,4.390625,2.564842,8800
1980-10-07,4.421875,4.5,4.421875,4.5,2.628735,22400
1980-10-08,4.5,4.5625,4.484375,4.484375,2.619607,105600
1980-10-09,4.515625,4.578125,4.515625,4.53125,2.64699,21600
1980-10-10,4.53125,4.53125,4.5,4.5,2.628735,20800
1980-10-13,4.5,4.5,4.5,4.5,2.628735,0
1980-10-14,4.5,4.546875,4.5,4.515625,2.637862,28000
1980-10-15,4.515625,4.53125,4.5,4.5,2.628735,139200
1980-10-16,4.5,4.65625,4.5,4.546875,2.656117,57600
1980-10-17,4.546875,4.59375,4.546875,4.578125,2.674371,9600
1980-10-20,4.578125,4.59375,4.578125,4.578125,2.674371,10400
1980-10-21,4.578125,4.625,4.546875,4.59375,2.683499,65600
1980-10-22,4.625,4.65625,4.625,4.65625,2.720009,47200
1980-10-23,4.65625,4.65625,4.625,4.65625,2.720009,96000
1980-10-24,4.65625,4.65625,4.546875,4.5625,2.665246,45600
1980-10-27,4.53125,4.53125,4.4375,4.5,2.628735,60000
1980-10-28,4.5,4.515625,4.5,4.5,2.628735,36800
1980-10-29,4.5,4.53125,4.5,4.515625,2.637862,33600
1980-10-30,4.515625,4.53125,4.515625,4.53125,2.64699,29600
1980-10-31,4.5,4.5,4.46875,4.46875,2.610478,49600
1980-11-03,4.46875,4.484375,4.46875,4.46875,2.610478,12000
1980-11-05,4.515625,4.609375,4.515625,4.546875,2.656117,138400
1980-11-06,4.5625,4.578125,4.5625,4.5625,2.665246,29600
1980-11-07,4.546875,4.546875,4.4375,4.4375,2.592224,93600
1980-11-10,4.421875,4.421875,4.265625,4.3125,2.519205,129600
1980-11-11,4.3125,4.34375,4.3125,4.34375,2.537458,34400
1980-11-12,4.390625,4.390625,4.390625,4.390625,2.564842,23200
1980-11-13,4.4375,4.5,4.4375,4.5,2.628735,72000
1980-11-14,4.5,4.578125,4.5,4.53125,2.64699,69600
1980-11-17,4.53125,4.5625,4.46875,4.5625,2.665246,40000
1980-11-18,4.578125,4.6875,4.578125,4.6875,2.738264,284800
1980-11-19,4.703125,4.75,4.703125,4.71875,2.756521,220000
1980-11-20,4.703125,4.703125,4.65625,4.6875,2.738264,59200
1980-11-21,4.6875,4.71875,4.6875,4.6875,2.738264,120000
