Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,7.6875,8.041667,7.6875,7.770833,4.705122,747600
1980-03-18,7.770833,8.104167,7.5625,8.041667,4.869107,1204800
1980-03-19,8.0625,8.25,8.0625,8.0625,4.881721,745200
1980-03-20,8.0625,8.166667,7.833333,7.875,4.768193,430800
1980-03-21,7.875,7.958333,7.729167,7.729167,4.679893,453000
1980-03-24,7.6875,7.6875,7.208333,7.270833,4.40238,810000
1980-03-25,7.270833,7.4375,7.0,7.083333,4.28885,2117400
1980-03-26,7.083333,7.208333,6.9375,6.979167,4.225781,816600
1980-03-27,6.895833,6.895833,6.270833,6.833333,4.137481,1286400
1980-03-28,6.9375,7.333333,6.9375,7.208333,4.364535,837600
1980-03-31,7.208333,7.354167,7.083333,7.25,4.389764,399600
1980-04-01,7.25,7.3125,7.0625,7.145833,4.326694,631200
1980-04-02,7.166667,7.3125,7.166667,7.25,4.389764,486000
1980-04-03,7.25,7.3125,7.145833,7.166667,4.339307,483600
1980-04-07,7.125,7.125,7.0,7.0,4.238394,315000
1980-04-08,7.0,7.208333,6.958333,7.166667,4.339307,348000
1980-04-09,7.166667,7.395833,7.166667,7.375,4.46545,824400
1980-04-10,7.375,7.4375,7.3125,7.4375,4.503294,516000
1980-04-11,7.479167,7.708333,7.479167,7.708333,4.667279,829200
1980-04-14,7.708333,7.791667,7.604167,7.791667,4.717737,594600
1980-04-15,7.791667,7.895833,7.666667,7.6875,4.654663,346200
1980-04-16,7.6875,7.729167,7.375,7.395833,4.478065,456600
1980-04-17,7.395833,7.416667,7.25,7.395833,4.478065,353400
1980-04-18,7.395833,7.520833,7.3125,7.395833,4.478065,268800
1980-04-21,7.395833,7.4375,7.166667,7.270833,4.40238,346800
1980-04-22,7.270833,7.958333,7.270833,7.958333,4.818652,852000
1980-04-23,7.958333,7.958333,7.729167,7.8125,4.730352,838800
1980-04-24,7.8125,7.833333,7.604167,7.75,4.692509,589200
1980-04-25,7.75,7.75,7.541667,7.75,4.692509,379800
1980-04-28,7.791667,8.0,7.791667,7.833333,4.742964,469200
1980-04-29,7.875,8.0625,7.875,8.041667,4.869107,319800
1980-04-30,8.041667,8.041667,7.875,7.958333,4.818652,215400
1980-05-01,7.958333,8.104167,7.854167,7.854167,4.75558,627000
1980-05-02,7.854167,7.875,7.729167,7.729167,4.679893,1040400
1980-05-05,7.729167,7.770833,7.666667,7.666667,4.642049,316200
1980-05-06,7.666667,7.666667,7.5,7.5,4.541137,381000
1980-05-07,7.479167,7.479167,7.291667,7.3125,4.427608,545400
1980-05-08,7.3125,7.3125,7.208333,7.25,4.389764,782400
1980-05-09,7.1875,7.1875,7.083333,7.125,4.314081,482400
1980-05-12,7.125,7.145833,7.0625,7.125,4.314081,250800
1980-05-13,7.166667,7.395833,7.166667,7.395833,4.478065,430200
1980-05-14,7.395833,7.479167,7.291667,7.291667,4.414994,750600
1980-05-15,7.291667,7.375,7.25,7.3125,4.427608,247200
1980-05-16,7.3125,7.333333,7.166667,7.229167,4.37715,600600
1980-05-19,7.229167,7.229167,7.104167,7.166667,4.339307,844200
1980-05-20,7.166667,7.229167,7.166667,7.166667,4.339307,499800
1980-05-21,7.166667,7.208333,7.125,7.1875,4.351923,622800
1980-05-22,7.208333,7.458333,7.208333,7.416667,4.490677,743400
1980-05-23,7.541667,7.729167,7.541667,7.604167,4.604208,793200
1980-05-27,7.604167,7.708333,7.5625,7.604167,4.604208,682800
1980-05-28,7.666667,8.145833,7.666667,8.083333,4.894336,759000
1980-05-29,8.083333,8.1875,7.854167,7.895833,4.780807,606000
1980-05-30,7.895833,8.104167,7.729167,8.083333,4.894336,487800
1980-06-02,8.083333,8.208333,8.0625,8.145833,4.932179,300000
1980-06-03,8.145833,8.479167,8.125,8.416667,5.096166,714000
1980-06-04,8.416667,8.666667,8.416667,8.604167,5.209692,619800
1980-06-05,8.604167,8.708333,8.5,8.520833,5.159235,558600
1980-06-06,8.541667,8.708333,8.541667,8.6875,5.260152,792000
1980-06-09,8.854167,9.083333,8.854167,9.083333,5.499822,964200
1980-06-10,9.083333,9.3125,9.083333,9.291667,5.625965,1206000
1980-06-11,9.291667,9.625,9.229167,9.375,5.676423,2180400
1980-06-12,9.333333,9.333333,8.916667,9.125,5.525048,1104000
1980-06-13,9.125,9.1875,9.041667,9.104167,5.512435,1853400
1980-06-16,9.104167,9.125,8.9375,8.9375,5.41152,370800
1980-06-17,8.958333,9.145833,8.958333,9.145833,5.537662,527400
1980-06-18,9.145833,9.145833,9.041667,9.104167,5.512435,519600
1980-06-19,9.104167,9.166667,9.0,9.020833,5.461978,598200
1980-06-20,9.020833,9.020833,8.875,8.875,5.373678,367800
1980-06-23,8.875,9.0,8.833333,8.958333,5.424134,748800
1980-06-24,8.958333,9.020833,8.875,8.958333,5.424134,554400
1980-06-25,9.041667,9.25,9.041667,9.166667,5.550279,857400
1980-06-26,9.229167,9.395833,9.229167,9.229167,5.588124,629400
1980-06-27,9.25,9.375,9.25,9.3125,5.638578,432600
1980-06-30,9.291667,9.291667,8.791667,8.833333,5.348451,423600
1980-07-01,8.833333,9.0,8.833333,8.958333,5.424134,327000
1980-07-02,9.0,9.166667,9.0,9.083333,5.499822,337200
1980-07-03,9.229167,9.604167,9.229167,9.583333,5.802562,1262400
1980-07-07,9.729167,9.854167,9.729167,9.833333,5.953935,921600
1980-07-08,9.833333,9.895833,9.625,9.666667,5.85302,1087800
1980-07-09,9.604167,9.604167,9.395833,9.395833,5.689037,1456200
1980-07-10,9.395833,9.395833,9.25,9.270833,5.61335,687000
1980-07-11,9.270833,9.520833,9.25,9.5,5.752108,1108800
1980-07-14,9.541667,9.9375,9.541667,9.9375,6.017008,786600
1980-07-15,9.9375,10.0,9.5,9.604167,5.815177,1125600
1980-07-16,9.604167,9.708333,9.5,9.604167,5.815177,569400
1980-07-17,9.604167,9.770833,9.583333,9.770833,5.916091,366000
1980-07-18,9.770833,9.833333,9.583333,9.666667,5.85302,496800
1980-07-21,9.666667,9.854167,9.520833,9.833333,5.953935,448200
1980-07-22,9.9375,10.104167,9.9375,9.958333,6.029619,1582200
1980-07-23,9.958333,10.208333,9.958333,10.0625,6.092692,540000
1980-07-24,10.0625,10.229167,10.0,10.125,6.130531,717600
1980-07-25,10.145833,10.270833,10.145833,10.270833,6.218834,922200
1980-07-28,10.270833,10.583333,10.166667,10.583333,6.40805,934200
1980-07-29,10.583333,10.75,10.541667,10.708333,6.483737,829800
1980-07-30,10.708333,10.75,10.125,10.125,6.130531,1433400
1980-07-31,10.0625,10.0625,9.75,9.958333,6.029619,1350600
1980-08-01,9.958333,10.0,9.791667,9.916667,6.004392,613200
1980-08-04,9.8125,9.8125,9.666667,9.791667,5.928709,383400
1980-08-05,9.791667,9.958333,9.770833,9.895833,5.991776,391800
1980-08-06,9.895833,10.0,9.833333,10.0,6.054849,251400
1980-08-07,10.0,10.291667,9.979167,10.291667,6.23145,758400
1980-08-08,10.291667,10.541667,10.208333,10.3125,6.244061,770400
1980-08-11,10.291667,10.291667,10.145833,10.208333,6.180992,304800
1980-08-12,10.208333,10.229167,10.0,10.0,6.054849,216000
1980-08-13,10.0,10.083333,9.916667,9.979167,6.042236,259200
1980-08-14,10.020833,10.3125,10.020833,10.3125,6.244061,443400
1980-08-15,10.3125,10.375,10.229167,10.354167,6.269295,720600
1980-08-18,10.333333,10.333333,10.166667,10.25,6.20622,475800
1980-08-19,10.25,10.291667,10.166667,10.208333,6.180992,505800
1980-08-20,10.208333,10.291667,10.208333,10.25,6.20622,406800
1980-08-21,10.270833,10.833333,10.270833,10.791667,6.534192,1105200
