Date,Open,High,Low,Close,Adj Close,Volume
1980-10-15,10.9375,11.1875,10.9375,11.1875,5.1113,77600
1980-10-16,11.1875,11.78125,10.96875,11.0625,5.054191,158400
1980-10-17,10.96875,10.96875,10.75,10.78125,4.925694,33600
1980-10-20,10.78125,10.78125,10.65625,10.78125,4.925694,30400
1980-10-21,10.78125,10.96875,10.78125,10.875,4.968524,36000
1980-10-22,10.875,10.9375,10.75,10.75,4.911414,28000
1980-10-23,10.65625,10.65625,10.46875,10.5625,4.825753,63600
1980-10-24,10.5625,10.78125,10.25,10.78125,4.925694,124800
1980-10-27,10.625,10.625,10.21875,10.34375,4.725811,63600
1980-10-28,10.34375,10.46875,10.34375,10.46875,4.78292,14800
1980-10-29,10.46875,10.625,10.4375,10.46875,4.78292,38800
1980-10-30,10.46875,10.5625,10.21875,10.25,4.682978,11600
1980-10-31,10.25,10.25,10.125,10.25,4.682978,50000
1980-11-03,10.25,10.875,10.25,10.875,4.968524,20000
1980-11-05,11.25,11.75,11.25,11.25,5.139856,183200
1980-11-06,11.25,11.25,11.15625,11.1875,5.1113,18800
1980-11-07,11.0625,11.0625,10.875,10.96875,5.011361,35600
1980-11-10,11.03125,11.09375,11.03125,11.03125,5.039912,26400
1980-11-11,11.03125,11.03125,10.875,11.03125,5.039912,41600
1980-11-12,11.15625,11.28125,11.15625,11.25,5.139856,173600
1980-11-13,11.375,11.40625,11.375,11.40625,5.211239,230800
1980-11-14,11.40625,11.5,11.25,11.5,5.254073,96400
1980-11-17,11.46875,11.46875,11.1875,11.46875,5.239797,72400
1980-11-18,11.46875,11.6875,11.40625,11.5625,5.282629,49200
1980-11-19,11.65625,11.875,11.65625,11.75,5.368292,119600
1980-11-20,11.75,12.40625,11.75,12.21875,5.582453,114000
1980-11-21,12.53125,12.84375,12.53125,12.8125,5.853722,89200
1980-11-24,12.59375,12.59375,12.1875,12.5,5.710948,66800
1980-11-25,12.6875,13.125,12.6875,13.09375,5.98222,191600
1980-11-26,13.09375,13.125,12.8125,12.9375,5.910835,78000
1980-11-28,12.9375,13.0,12.84375,13.0,5.939387,58800
1980-12-01,13.0,13.03125,12.71875,12.71875,5.810891,54400
1980-12-02,12.5,12.5,11.375,11.6875,5.339738,103200
1980-12-03,12.0,12.375,12.0,12.375,5.653838,253600
1980-12-04,12.375,12.40625,12.1875,12.21875,5.582453,52000
1980-12-05,12.0,12.0,11.59375,11.96875,5.468232,70800
1980-12-08,11.90625,11.90625,11.0625,11.09375,5.06847,112400
1980-12-09,11.09375,11.28125,11.0625,11.28125,5.154133,130000
1980-12-10,11.25,11.25,10.78125,11.0625,5.054191,43600
1980-12-11,11.0625,11.40625,10.84375,11.40625,5.211239,302400
1980-12-12,11.40625,11.78125,11.375,11.78125,5.382572,84000
1980-12-15,11.875,12.0,11.875,12.0,5.482512,135600
1980-12-16,12.0,12.0,11.875,11.90625,5.439679,36800
1980-12-17,12.0,12.6875,12.0,12.5,5.710948,98000
1980-12-18,12.625,13.21875,12.625,12.71875,5.810891,82800
1980-12-19,12.71875,12.8125,12.625,12.8125,5.853722,22800
1980-12-22,12.8125,12.9375,12.625,12.71875,5.810891,37200
1980-12-23,12.71875,12.71875,12.5,12.5,5.710948,39600
1980-12-24,12.5,13.03125,12.5,13.03125,5.953665,55600
1980-12-26,12.9375,12.9375,12.90625,12.9375,5.910835,5200
1980-12-29,13.21875,13.53125,13.21875,13.21875,6.039328,75200
1980-12-30,13.21875,13.25,12.84375,12.84375,5.868002,105600
1980-12-31,12.84375,12.84375,12.71875,12.71875,5.810891,103200
1981-01-02,12.71875,13.1875,12.71875,13.03125,5.953665,118000
1981-01-05,13.03125,13.09375,12.84375,12.90625,5.896557,70000
1981-01-06,12.84375,12.84375,12.3125,12.3125,5.625285,75600
1981-01-07,12.0625,12.0625,11.90625,12.0,5.482512,280000
1981-01-08,12.0,12.3125,11.59375,11.59375,5.296906,184400
1981-01-09,11.59375,11.78125,11.5,11.59375,5.296906,256000
1981-01-12,11.59375,11.59375,11.15625,11.1875,5.1113,66400
1981-01-13,11.1875,11.1875,10.75,11.1875,5.1113,111200
1981-01-14,11.1875,11.375,11.1875,11.375,5.196963,153200
1981-01-15,11.375,11.59375,11.375,11.59375,5.296906,24400
1981-01-16,11.59375,11.75,11.5625,11.6875,5.339738,58000
1981-01-19,11.6875,11.75,11.6875,11.75,5.368292,34800
1981-01-20,11.75,11.78125,11.59375,11.6875,5.339738,168800
1981-01-21,11.5,11.5,11.34375,11.34375,5.182685,100800
1981-01-22,11.34375,11.5,11.28125,11.375,5.196963,24800
1981-01-23,11.28125,11.28125,10.875,11.03125,5.039912,52000
1981-01-26,11.03125,11.09375,10.84375,10.84375,4.95425,25200
1981-01-27,10.875,11.25,10.875,10.9375,4.997081,39200
1981-01-28,11.03125,11.15625,11.03125,11.0625,5.054191,94400
1981-01-29,11.0625,11.09375,10.875,11.0625,5.054191,20400
1981-01-30,11.0625,11.1875,10.9375,10.9375,4.997081,215200
1981-02-02,10.75,10.75,9.8125,9.96875,4.554484,120400
1981-02-03,10.125,10.4375,10.125,10.3125,4.711533,168000
1981-02-04,10.34375,10.75,10.34375,10.6875,4.882862,333600
1981-02-05,10.875,11.09375,10.875,11.09375,5.06847,108800
1981-02-06,11.0625,11.0625,10.875,10.875,4.968524,87600
1981-02-09,10.875,10.875,10.34375,10.34375,4.725811,76800
1981-02-10,10.34375,10.625,10.34375,10.625,4.854311,38000
1981-02-11,10.625,10.625,10.34375,10.34375,4.725811,219200
1981-02-12,10.34375,10.53125,10.3125,10.375,4.740089,140800
1981-02-13,10.375,10.53125,10.25,10.53125,4.811471,92400
1981-02-17,10.53125,11.5,10.4375,11.25,5.139856,348800
1981-02-18,11.25,11.5625,11.1875,11.5,5.254073,406800
1981-02-19,11.5,11.5,11.09375,11.09375,5.06847,106000
1981-02-20,11.0625,11.0625,10.46875,10.53125,4.811471,95200
1981-02-23,10.53125,10.6875,10.46875,10.6875,4.882862,209200
1981-02-24,10.625,10.625,10.15625,10.25,4.682978,148800
1981-02-25,10.25,10.34375,10.0625,10.34375,4.725811,196400
1981-02-26,10.5625,10.96875,10.5625,10.96875,5.011361,118800
1981-02-27,11.15625,11.28125,11.15625,11.25,5.139856,125200
1981-03-02,11.25,11.6875,11.25,11.6875,5.339738,104400
1981-03-03,11.6875,11.8125,11.5625,11.5625,5.282629,107600
1981-03-04,11.5625,11.5625,11.375,11.375,5.196963,135200
1981-03-05,11.375,11.375,11.15625,11.15625,5.097023,100800
1981-03-06,11.15625,11.1875,11.03125,11.09375,5.06847,56400
1981-03-09,11.09375,11.5,11.09375,11.5,5.254073,28800
1981-03-10,11.5,11.59375,11.375,11.375,5.196963,72800
1981-03-11,11.375,11.75,11.25,11.28125,5.154133,124400
1981-03-12,11.09375,11.09375,10.875,10.96875,5.011361,63600
1981-03-13,10.9375,10.9375,10.5625,10.5625,4.825753,30800
1981-03-16,10.5625,10.6875,10.4375,10.6875,4.882862,75600
1981-03-17,10.6875,11.03125,10.6875,10.96875,5.011361,44400
1981-03-18,10.96875,11.375,10.96875,11.0625,5.054191,80800
1981-03-19,11.15625,11.375,11.15625,11.25,5.139856,112000
1981-03-20,11.25,11.25,11.09375,11.09375,5.06847,35200
1981-03-23,11.09375,11.5625,11.09375,11.5625,5.282629,36800
1981-03-24,11.5625,11.59375,11.46875,11.5,5.254073,250400
1981-03-25,11.5,11.8125,11.5,11.8125,5.396846,88000
1981-03-26,11.78125,11.78125,11.5625,11.6875,5.339738,37200
1981-03-27,11.6875,11.6875,11.5,11.5,5.254073,52000
1981-03-30,11.375,11.375,11.25,11.28125,5.154133,66400
1981-03-31,11.28125,11.8125,11.25,11.78125,5.382572,157600
1981-04-01,11.78125,11.90625,11.6875,11.8125,5.396846,52800
1981-04-02,11.875,12.0,11.875,12.0,5.482512,108000
1981-04-03,12.0,12.21875,12.0,12.21875,5.582453,67200
1981-04-06,12.21875,12.3125,12.0625,12.1875,5.568179,92400
1981-04-07,12.1875,12.3125,12.09375,12.3125,5.625285,93200
1981-04-08,12.21875,12.21875,12.09375,12.09375,5.525343,69600
1981-04-09,12.09375,12.21875,12.0,12.21875,5.582453,166400
1981-04-10,12.3125,12.625,12.3125,12.625,5.76806,288400
1981-04-13,12.59375,12.59375,12.21875,12.21875,5.582453,170000
1981-04-14,11.90625,11.90625,11.25,11.25,5.139856,230000
1981-04-15,11.25,11.6875,11.25,11.65625,5.32546,200800
1981-04-16,11.90625,12.21875,11.90625,12.09375,5.525343,218800
1981-04-20,12.125,12.375,12.125,12.375,5.653838,365600
1981-04-21,12.375,12.5,12.0,12.0,5.482512,114800
1981-04-22,12.0,12.0,10.875,11.15625,5.097023,345600
1981-04-23,11.09375,11.09375,10.875,11.09375,5.06847,121200
1981-04-24,11.09375,11.09375,10.15625,10.75,4.911414,166000
1981-04-27,10.75,10.78125,10.46875,10.5625,4.825753,93200
1981-04-28,10.5625,10.65625,10.3125,10.375,4.740089,80400
1981-04-29,10.375,10.46875,10.25,10.34375,4.725811,92800
1981-04-30,10.46875,10.96875,10.46875,10.96875,5.011361,82400
1981-05-01,10.96875,11.25,10.96875,11.09375,5.06847,29600
1981-05-04,11.09375,11.375,10.625,11.375,5.196963,55200
1981-05-05,11.375,11.5,11.1875,11.5,5.254073,75200
1981-05-06,11.5625,12.125,11.5625,12.09375,5.525343,102400
1981-05-07,12.09375,12.21875,11.90625,12.09375,5.525343,111200
1981-05-08,12.09375,12.09375,11.78125,11.78125,5.382572,45600
1981-05-11,11.75,11.75,11.40625,11.40625,5.211239,18000
1981-05-12,11.25,11.25,11.0625,11.25,5.139856,110000
1981-05-13,11.25,11.5,11.1875,11.28125,5.154133,116800
1981-05-14,11.28125,11.6875,11.28125,11.59375,5.296906,22400
1981-05-15,11.59375,11.6875,11.34375,11.5,5.254073,75200
1981-05-18,11.5,11.5,11.25,11.28125,5.154133,62000
1981-05-19,11.25,11.25,11.15625,11.1875,5.1113,21200
1981-05-20,11.1875,11.6875,11.1875,11.6875,5.339738,112800
1981-05-21,11.78125,12.0,11.78125,11.90625,5.439679,111600
1981-05-22,11.875,11.875,11.40625,11.40625,5.211239,102000
1981-05-26,11.40625,11.5,11.25,11.5,5.254073,220400
1981-05-27,11.5,11.6875,11.46875,11.6875,5.339738,144400
1981-05-28,11.6875,11.75,11.375,11.5,5.254073,36800
