Date,Open,High,Low,Close,Adj Close,Volume
1983-11-22,1.541667,1.583333,1.541667,1.541667,1.141986,5736000
1983-11-23,1.5625,1.604167,1.5625,1.5625,1.157418,2424000
1983-11-25,1.625,1.645833,1.625,1.625,1.203714,741600
1983-11-28,1.5625,1.5625,1.520833,1.520833,1.126553,1251600
1983-11-29,1.5625,1.583333,1.5625,1.5625,1.157418,1209600
1983-11-30,1.5625,1.604167,1.5625,1.5625,1.157418,632400
1983-12-01,1.5625,1.604167,1.5625,1.5625,1.157418,422400
1983-12-02,1.5625,1.604167,1.541667,1.541667,1.141986,985200
1983-12-05,1.541667,1.583333,1.520833,1.520833,1.126553,229200
1983-12-06,1.520833,1.541667,1.5,1.5,1.111121,220800
1983-12-07,1.5,1.5625,1.5,1.5,1.111121,85200
1983-12-08,1.520833,1.5625,1.520833,1.520833,1.126553,264000
1983-12-09,1.520833,1.5625,1.520833,1.520833,1.126553,246000
1983-12-12,1.520833,1.5625,1.520833,1.520833,1.126553,164400
1983-12-13,1.541667,1.583333,1.541667,1.541667,1.141986,687600
1983-12-14,1.541667,1.583333,1.541667,1.541667,1.141986,164400
1983-12-15,1.541667,1.583333,1.541667,1.541667,1.141986,81600
1983-12-16,1.541667,1.583333,1.541667,1.541667,1.141986,135600
1983-12-19,1.541667,1.583333,1.541667,1.541667,1.141986,150000
1983-12-20,1.5625,1.604167,1.5625,1.5625,1.157418,126000
1983-12-21,1.5625,1.604167,1.5625,1.5625,1.157418,362400
1983-12-22,1.5625,1.583333,1.5625,1.5625,1.157418,24000
1983-12-23,1.583333,1.604167,1.583333,1.583333,1.17285,130800
1983-12-27,1.604167,1.645833,1.604167,1.604167,1.188282,338400
1983-12-28,1.604167,1.645833,1.604167,1.604167,1.188282,54000
1983-12-29,1.604167,1.645833,1.5625,1.5625,1.157418,58800
1983-12-30,1.583333,1.645833,1.583333,1.583333,1.17285,205200
1984-01-03,1.604167,1.645833,1.604167,1.604167,1.188282,18000
1984-01-04,1.604167,1.625,1.583333,1.583333,1.17285,352800
1984-01-05,1.604167,1.645833,1.604167,1.604167,1.188282,499200
1984-01-06,1.666667,1.708333,1.666667,1.666667,1.234578,218400
1984-01-09,1.666667,1.708333,1.645833,1.645833,1.219147,22800
1984-01-10,1.666667,1.729167,1.666667,1.666667,1.234578,26400
1984-01-11,1.666667,1.729167,1.666667,1.666667,1.234578,99600
1984-01-12,1.666667,1.729167,1.666667,1.666667,1.234578,67200
1984-01-13,1.666667,1.75,1.666667,1.666667,1.234578,446400
1984-01-16,1.6875,1.75,1.6875,1.6875,1.250011,328800
1984-01-17,1.75,1.8125,1.75,1.75,1.296307,637200
1984-01-18,1.770833,1.8125,1.770833,1.770833,1.311741,73200
1984-01-19,1.770833,1.833333,1.770833,1.770833,1.311741,397200
1984-01-20,1.770833,1.833333,1.770833,1.770833,1.311741,356400
1984-01-23,1.770833,1.833333,1.770833,1.770833,1.311741,318000
1984-01-24,1.770833,1.791667,1.708333,1.708333,1.265444,615600
1984-01-25,1.708333,1.791667,1.708333,1.708333,1.265444,176400
1984-01-26,1.708333,1.791667,1.708333,1.708333,1.265444,183600
1984-01-27,1.708333,1.729167,1.666667,1.666667,1.234578,352800
1984-01-30,1.604167,1.604167,1.5625,1.5625,1.157418,79200
1984-01-31,1.5625,1.604167,1.541667,1.541667,1.141986,92400
1984-02-01,1.541667,1.583333,1.541667,1.541667,1.141986,434400
1984-02-02,1.541667,1.583333,1.541667,1.541667,1.141986,9600
1984-02-03,1.541667,1.583333,1.541667,1.541667,1.141986,46800
1984-02-06,1.541667,1.583333,1.541667,1.541667,1.141986,140400
1984-02-07,1.541667,1.5625,1.479167,1.479167,1.095689,166800
1984-02-08,1.479167,1.541667,1.479167,1.479167,1.095689,4800
1984-02-09,1.479167,1.541667,1.479167,1.479167,1.095689,584400
1984-02-10,1.5,1.541667,1.5,1.5,1.111121,386400
1984-02-13,1.5,1.520833,1.479167,1.479167,1.095689,62400
1984-02-14,1.479167,1.520833,1.479167,1.479167,1.095689,45600
1984-02-15,1.479167,1.520833,1.479167,1.479167,1.095689,54000
1984-02-16,1.5,1.541667,1.5,1.5,1.111121,200400
1984-02-17,1.520833,1.541667,1.520833,1.520833,1.126553,7200
1984-02-21,1.520833,1.541667,1.5,1.5,1.111121,2400
1984-02-22,1.5,1.583333,1.5,1.5,1.111121,128400
1984-02-23,1.5,1.583333,1.5,1.5,1.111121,2400
1984-02-24,1.5,1.583333,1.5,1.5,1.111121,140400
1984-02-27,1.5,1.5625,1.5,1.5,1.111121,79200
1984-02-28,1.5,1.5625,1.5,1.5,1.111121,130800
1984-02-29,1.5,1.5625,1.5,1.5,1.111121,8400
