Date,Open,High,Low,Close,Adj Close,Volume
1983-08-01,2.98,3.02,2.98,3.02,1.93507,188700
1983-08-02,3.02,3.02,2.94,2.96,1.896624,240300
1983-08-03,2.96,2.96,2.92,2.96,1.896624,80400
1983-08-04,2.96,2.96,2.82,2.88,1.845364,128700
1983-08-05,2.88,2.88,2.8,2.88,1.845364,90000
1983-08-08,2.84,2.84,2.82,2.82,1.806919,37200
1983-08-09,2.82,2.82,2.78,2.82,1.806919,84600
1983-08-10,2.82,2.82,2.62,2.66,1.704399,70800
1983-08-11,2.66,2.72,2.64,2.68,1.717214,63000
1983-08-12,2.68,2.7,2.64,2.64,1.691584,52200
1983-08-15,2.64,2.68,2.58,2.58,1.653139,63900
1983-08-16,2.56,2.56,2.44,2.5,1.601879,96300
1983-08-17,2.48,2.48,2.42,2.48,1.589064,60000
1983-08-18,2.48,2.48,2.44,2.46,1.576248,42300
1983-08-19,2.46,2.46,2.42,2.44,1.563434,33900
1983-08-22,2.44,2.44,2.42,2.44,1.563434,16200
1983-08-23,2.44,2.44,2.3,2.32,1.486544,73200
1983-08-24,2.28,2.28,2.04,2.2,1.409653,130800
1983-08-25,2.2,2.22,2.12,2.16,1.384023,57900
1983-08-26,2.16,2.16,2.14,2.16,1.384023,69900
1983-08-29,2.2,2.28,2.2,2.26,1.448098,32400
1983-08-30,2.26,2.32,2.26,2.28,1.460914,38400
1983-08-31,2.32,2.38,2.32,2.38,1.524989,43200
1983-09-01,2.38,2.38,2.34,2.34,1.499358,26400
1983-09-02,2.34,2.36,2.34,2.36,1.512174,20400
1983-09-06,2.36,2.36,2.32,2.32,1.486544,24000
1983-09-07,2.32,2.34,2.3,2.3,1.473729,26400
1983-09-08,2.3,2.32,2.28,2.3,1.473729,13200
1983-09-09,2.3,2.3,2.26,2.3,1.473729,12600
1983-09-12,2.3,2.3,2.24,2.24,1.435283,23100
1983-09-13,2.16,2.16,2.12,2.14,1.371209,67200
1983-09-14,2.14,2.18,2.12,2.18,1.396838,41100
1983-09-15,2.18,2.18,2.14,2.14,1.371209,8700
1983-09-16,2.14,2.14,2.1,2.14,1.371209,18300
1983-09-19,2.14,2.16,2.12,2.12,1.358393,16200
1983-09-20,2.12,2.16,2.1,2.14,1.371209,50700
1983-09-21,2.14,2.16,2.1,2.1,1.345577,32700
1983-09-22,2.1,2.12,2.1,2.12,1.358393,15000
1983-09-23,2.12,2.12,2.1,2.1,1.345577,14700
