Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,9.125,9.1875,9.125,9.125,3.340852,41600
1980-03-18,9.125,9.125,9.09375,9.09375,3.32941,29200
1980-03-19,9.09375,9.25,9.09375,9.25,3.386618,25600
1980-03-20,9.25,9.40625,9.25,9.28125,3.39806,48000
1980-03-21,9.28125,9.34375,9.125,9.15625,3.352296,87600
1980-03-24,9.15625,9.21875,9.125,9.125,3.340852,25600
1980-03-25,9.09375,9.09375,9.0625,9.0625,3.317971,72400
1980-03-26,9.0625,9.0625,8.84375,8.90625,3.260764,20400
1980-03-27,8.75,8.75,8.25,8.3125,3.04338,44800
1980-03-28,8.375,8.5,8.375,8.375,3.066262,40000
1980-03-31,8.375,8.4375,8.1875,8.4375,3.089146,48400
1980-04-01,8.4375,8.5625,8.3125,8.5625,3.13491,60000
1980-04-02,8.5625,8.75,8.53125,8.71875,3.192117,42000
1980-04-03,8.625,8.625,8.5,8.59375,3.146354,20800
1980-04-07,8.59375,8.6875,8.5,8.5,3.112027,32400
1980-04-08,8.5,8.6875,8.5,8.6875,3.180674,27600
1980-04-09,8.6875,8.71875,8.59375,8.71875,3.192117,18000
1980-04-10,8.8125,8.9375,8.8125,8.90625,3.260764,29200
1980-04-11,8.90625,9.0625,8.90625,9.0625,3.317971,28000
1980-04-14,9.0625,9.0625,8.875,8.875,3.249325,29200
1980-04-15,8.875,8.875,8.625,8.6875,3.180674,25600
1980-04-16,8.6875,8.6875,8.5625,8.5625,3.13491,40400
1980-04-17,8.5625,8.6875,8.4375,8.6875,3.180674,29200
1980-04-18,8.6875,8.875,8.65625,8.75,3.203559,30400
1980-04-21,8.75,8.875,8.75,8.75,3.203559,8800
1980-04-22,8.75,9.03125,8.75,9.03125,3.30653,26400
1980-04-23,9.03125,9.125,9.0,9.0625,3.317971,5600
1980-04-24,9.0625,9.25,9.0,9.21875,3.375176,86800
1980-04-25,9.21875,9.21875,9.15625,9.21875,3.375176,4800
1980-04-28,9.15625,9.15625,9.0,9.0625,3.317971,15200
1980-04-29,9.0625,9.1875,9.0,9.09375,3.32941,17600
1980-04-30,9.09375,9.15625,9.03125,9.09375,3.32941,29600
1980-05-01,9.09375,9.15625,8.90625,8.90625,3.260764,19200
1980-05-02,8.90625,9.0625,8.90625,9.0,3.295088,83200
1980-05-05,9.0,9.0,8.9375,9.0,3.295088,79600
1980-05-06,9.03125,9.25,9.03125,9.25,3.386618,79200
1980-05-07,9.34375,9.65625,9.34375,9.5625,3.501033,173600
1980-05-08,9.5625,9.59375,9.3125,9.40625,3.443825,112400
1980-05-09,9.40625,9.40625,9.09375,9.09375,3.32941,34400
