Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.048,2.1504,2.048,2.048,0.993389,106200
1980-03-18,2.013867,2.013867,1.911467,2.013867,0.976833,159500
1980-03-19,2.013867,2.116267,1.979733,2.013867,0.976833,144700
1980-03-20,2.013867,2.048,1.979733,2.013867,0.976833,82500
1980-03-21,2.082133,2.2528,2.082133,2.1504,1.043059,240800
1980-03-24,2.1504,2.184533,1.979733,2.013867,0.976833,170000
1980-03-25,2.013867,2.013867,1.9456,1.979733,0.960276,165800
1980-03-26,1.979733,2.013867,1.979733,1.979733,0.960276,90700
1980-03-27,1.979733,2.013867,1.7408,1.877333,0.910607,279600
1980-03-28,1.877333,1.979733,1.877333,1.979733,0.960276,300300
1980-03-31,1.979733,2.082133,1.911467,1.979733,0.960276,223100
1980-04-01,2.013867,2.1504,2.013867,2.048,0.993389,115000
1980-04-02,2.048,2.082133,2.013867,2.082133,1.009945,86800
1980-04-03,2.048,2.048,2.013867,2.013867,0.976833,50200
1980-04-07,2.013867,2.048,1.9456,1.9456,0.943719,78100
1980-04-08,1.9456,1.979733,1.9456,1.979733,0.960276,41000
1980-04-09,1.979733,2.013867,1.9456,1.979733,0.960276,65000
1980-04-10,1.979733,2.082133,1.979733,2.013867,0.976833,73300
1980-04-11,2.013867,2.013867,1.979733,2.013867,0.976833,29300
1980-04-14,1.979733,1.979733,1.9456,1.979733,0.960276,54000
1980-04-15,1.979733,1.979733,1.911467,1.911467,0.927163,81300
1980-04-16,1.911467,1.9456,1.8432,1.877333,0.910607,160100
1980-04-17,1.877333,1.877333,1.809067,1.8432,0.89405,97200
1980-04-18,1.8432,1.8432,1.774933,1.809067,0.877493,67500
1980-04-21,1.809067,2.048,1.774933,1.809067,0.877493,57500
1980-04-22,1.877333,1.9456,1.877333,1.9456,0.943719,173300
1980-04-23,1.9456,1.979733,1.9456,1.979733,0.960276,77700
1980-04-24,1.979733,2.048,1.9456,2.048,0.993389,136000
1980-04-25,1.979733,1.979733,1.877333,1.9456,0.943719,82700
1980-04-28,1.9456,1.979733,1.9456,1.9456,0.943719,43200
1980-04-29,1.9456,2.013867,1.9456,2.013867,0.976833,29100
1980-04-30,2.013867,2.013867,1.9456,1.979733,0.960276,56200
1980-05-01,1.979733,2.013867,1.979733,1.979733,0.960276,119500
1980-05-02,1.979733,1.979733,1.9456,1.9456,0.943719,100100
1980-05-05,1.9456,1.979733,1.9456,1.9456,0.943719,73100
1980-05-06,1.979733,2.013867,1.979733,1.979733,0.960276,120700
1980-05-07,1.979733,2.184533,1.979733,2.1504,1.043059,252500
1980-05-08,2.1504,2.218667,2.116267,2.1504,1.043059,162500
1980-05-09,2.1504,2.1504,2.082133,2.116267,1.026502,34500
1980-05-12,2.116267,2.116267,2.013867,2.048,0.993389,43200
1980-05-13,2.048,2.116267,2.048,2.082133,1.009945,89700
1980-05-14,2.082133,2.1504,2.082133,2.116267,1.026502,68100
1980-05-15,2.116267,2.218667,2.116267,2.218667,1.076171,128800
1980-05-16,2.218667,2.218667,2.1504,2.184533,1.059614,42600
1980-05-19,2.184533,2.286933,2.184533,2.2528,1.092728,126600
1980-05-20,2.2528,2.2528,2.218667,2.218667,1.076171,42600
