Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,1.37695,1.39844,1.32031,1.39844,0.253835,992000
1972-06-02,1.42969,1.49219,1.42969,1.48438,0.269434,787200
1972-06-05,1.46875,1.46875,1.4375,1.45312,0.26376,334400
1972-06-06,1.45312,1.46875,1.44531,1.45312,0.26376,324800
1972-06-07,1.45312,1.46094,1.42969,1.42969,0.259507,440000
1972-06-08,1.42969,1.4375,1.40625,1.41406,0.25667,502400
1972-06-09,1.41406,1.45312,1.41406,1.42188,0.258089,275200
1972-06-12,1.42188,1.44531,1.42188,1.4375,0.260925,171200
1972-06-13,1.4375,1.46875,1.42188,1.46875,0.266597,272000
1972-06-14,1.46875,1.51562,1.46875,1.49219,0.270852,484800
1972-06-15,1.49219,1.52344,1.48438,1.48438,0.269434,486400
1972-06-16,1.48438,1.49219,1.42188,1.42188,0.258089,566400
1972-06-19,1.42188,1.44531,1.42188,1.42188,0.258089,161600
1972-06-20,1.4375,1.46875,1.4375,1.46875,0.266597,353600
1972-06-21,1.46094,1.46094,1.44531,1.46094,0.26518,187200
1972-06-22,1.46094,1.48438,1.44531,1.47656,0.268015,144000
1972-06-23,1.47656,1.48438,1.45312,1.45312,0.26376,140800
1972-06-26,1.45312,1.46094,1.42969,1.44531,0.262342,128000
1972-06-27,1.44531,1.46875,1.42969,1.4375,0.260925,228800
1972-06-28,1.42969,1.42969,1.39844,1.41406,0.25667,174400
1972-06-29,1.41406,1.41406,1.39844,1.40625,0.255253,84800
1972-06-30,1.40625,1.42188,1.40625,1.42188,0.258089,140800
1972-07-03,1.42188,1.42188,1.40625,1.41406,0.25667,70400
1972-07-05,1.41406,1.42969,1.39844,1.42188,0.258089,163200
1972-07-06,1.42188,1.46094,1.40625,1.42188,0.258089,452800
1972-07-07,1.42188,1.44531,1.41406,1.44531,0.262342,120000
1972-07-10,1.44531,1.44531,1.40625,1.42188,0.258089,113600
1972-07-11,1.42188,1.42969,1.40625,1.42969,0.259507,251200
1972-07-12,1.42969,1.46875,1.42969,1.45312,0.26376,220800
1972-07-13,1.44531,1.44531,1.42188,1.42969,0.259507,283200
1972-07-14,1.42969,1.4375,1.41406,1.42969,0.259507,126400
1972-07-17,1.42969,1.42969,1.35156,1.35938,0.246745,580800
1972-07-18,1.35938,1.35938,1.29688,1.32031,0.239653,984000
1972-07-19,1.32031,1.33594,1.29688,1.3125,0.238236,233600
1972-07-20,1.30469,1.30469,1.25781,1.27344,0.231146,214400
1972-07-21,1.27344,1.28906,1.26562,1.28906,0.233981,235200
1972-07-24,1.28906,1.3125,1.28125,1.3125,0.238236,313600
1972-07-25,1.3125,1.33594,1.3125,1.3125,0.238236,320000
1972-07-26,1.3125,1.32031,1.25781,1.28125,0.232564,198400
1972-07-27,1.28125,1.28125,1.25,1.25,0.226891,156800
1972-07-28,1.25,1.25781,1.21875,1.25781,0.228309,553600
1972-07-31,1.25781,1.27344,1.24219,1.25781,0.228309,198400
1972-08-01,1.25781,1.27344,1.25781,1.26562,0.229726,188800
1972-08-02,1.27344,1.33594,1.27344,1.33594,0.24249,294400
1972-08-03,1.33594,1.36719,1.32031,1.36719,0.248163,635200
1972-08-04,1.36719,1.36719,1.34375,1.35156,0.245325,99200
1972-08-07,1.35156,1.35938,1.3125,1.33594,0.24249,169600
1972-08-08,1.32031,1.32031,1.26562,1.28906,0.233981,420800
1972-08-09,1.28906,1.33594,1.28906,1.32031,0.239653,280000
1972-08-10,1.3125,1.3125,1.28125,1.28906,0.233981,1827200
1972-08-11,1.28906,1.3125,1.25,1.3125,0.238236,1174400
1972-08-14,1.3125,1.32812,1.28125,1.29688,0.2354,1302400
1972-08-15,1.29688,1.29688,1.25781,1.27344,0.231146,232000
1972-08-16,1.27344,1.28906,1.26562,1.28906,0.233981,244800
1972-08-17,1.28125,1.28125,1.25,1.26562,0.229726,545600
1972-08-18,1.26562,1.29688,1.25781,1.29688,0.2354,780800
1972-08-21,1.3125,1.36719,1.3125,1.35156,0.245325,507200
1972-08-22,1.35156,1.39844,1.34375,1.39844,0.255847,408000
1972-08-23,1.39062,1.39062,1.35938,1.38281,0.252988,353600
1972-08-24,1.38281,1.38281,1.35156,1.35938,0.248701,228800
1972-08-25,1.35938,1.35938,1.3125,1.32812,0.242982,460800
1972-08-28,1.32812,1.34375,1.3125,1.33594,0.244413,657600
1972-08-29,1.33594,1.36719,1.32812,1.36719,0.25013,329600
1972-08-30,1.36719,1.36719,1.33594,1.33594,0.244413,259200
1972-08-31,1.33594,1.38281,1.33594,1.38281,0.252988,294400
1972-09-01,1.375,1.375,1.35156,1.35938,0.248701,201600
1972-09-05,1.35938,1.35938,1.30469,1.30469,0.238695,238400
1972-09-06,1.30469,1.3125,1.28125,1.28906,0.235836,300800
1972-09-07,1.28906,1.28906,1.26562,1.28125,0.234407,238400
1972-09-08,1.28125,1.28906,1.27344,1.28125,0.234407,153600
1972-09-11,1.28125,1.29688,1.26562,1.27344,0.232978,198400
1972-09-12,1.25781,1.25781,1.25,1.25781,0.230119,534400
1972-09-13,1.25781,1.27344,1.24219,1.26562,0.231547,393600
1972-09-14,1.26562,1.28125,1.25,1.26562,0.231547,116800
1972-09-15,1.26562,1.27344,1.23438,1.24219,0.227261,377600
1972-09-18,1.24219,1.24219,1.17969,1.1875,0.217255,328000
1972-09-19,1.1875,1.19531,1.17969,1.1875,0.217255,323200
1972-09-20,1.17969,1.17969,1.14062,1.17969,0.215826,360000
