Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.057308,0.058528,0.057308,0.057308,0.034255,1576800
1980-03-18,0.057308,0.058223,0.057004,0.057004,0.034073,831600
1980-03-19,0.057308,0.058528,0.057308,0.057308,0.034255,226800
1980-03-20,0.057308,0.057918,0.056699,0.056699,0.033891,655200
1980-03-21,0.055784,0.055784,0.054565,0.054565,0.032615,2073600
1980-03-24,0.053041,0.053041,0.051821,0.051821,0.030976,3279600
1980-03-25,0.052126,0.053346,0.052126,0.052126,0.031158,324000
1980-03-26,0.052126,0.052126,0.050907,0.050907,0.030429,1868400
1980-03-27,0.047859,0.047859,0.046639,0.046639,0.027878,2289600
1980-03-28,0.048163,0.049383,0.048163,0.048163,0.028789,1900800
1980-03-31,0.050297,0.051517,0.050297,0.050297,0.030065,2307600
1980-04-01,0.050907,0.052126,0.050907,0.050907,0.030429,590400
1980-04-02,0.05365,0.055479,0.05365,0.05365,0.032069,1821600
1980-04-03,0.05365,0.055479,0.05365,0.05365,0.032069,104400
1980-04-07,0.05365,0.055479,0.05365,0.05365,0.032069,979200
1980-04-08,0.05426,0.056089,0.05426,0.05426,0.032433,759600
1980-04-09,0.058528,0.060357,0.058528,0.058528,0.034984,4914000
1980-04-10,0.059137,0.060966,0.059137,0.059137,0.035349,2851200
1980-04-11,0.059747,0.061576,0.059747,0.059747,0.035713,396000
1980-04-14,0.059747,0.061576,0.059747,0.059747,0.035713,435600
1980-04-15,0.059747,0.060966,0.059137,0.059137,0.035349,435600
1980-04-16,0.059137,0.060357,0.058528,0.058528,0.034984,226800
1980-04-17,0.058528,0.060357,0.058528,0.058528,0.034984,176400
1980-04-18,0.058528,0.060357,0.058528,0.058528,0.034984,396000
1980-04-21,0.058528,0.058528,0.058528,0.058528,0.034984,0
1980-04-22,0.065234,0.067063,0.065234,0.065234,0.038993,5320800
1980-04-23,0.065234,0.065844,0.064015,0.064015,0.038264,1317600
1980-04-24,0.064624,0.066453,0.064624,0.064624,0.038628,1213200
1980-04-25,0.064624,0.066453,0.064624,0.064624,0.038628,727200
1980-04-28,0.064624,0.066453,0.064624,0.064624,0.038628,151200
1980-04-29,0.067063,0.068892,0.067063,0.067063,0.040086,1821600
1980-04-30,0.067673,0.069502,0.067673,0.067673,0.04045,2365200
1980-05-01,0.067673,0.067673,0.065844,0.065844,0.039357,2041200
1980-05-02,0.065844,0.067673,0.065844,0.065844,0.039357,558000
1980-05-05,0.065844,0.067673,0.065844,0.065844,0.039357,7200
1980-05-06,0.067063,0.068892,0.067063,0.067063,0.040086,727200
1980-05-07,0.068282,0.070111,0.068282,0.068282,0.040815,1051200
1980-05-08,0.069502,0.071331,0.069502,0.069502,0.041544,727200
1980-05-09,0.069502,0.071331,0.069502,0.069502,0.041544,396000
1980-05-12,0.069502,0.070721,0.068892,0.068892,0.041179,338400
1980-05-13,0.068892,0.068892,0.068892,0.068892,0.041179,0
1980-05-14,0.069502,0.071331,0.069502,0.069502,0.041544,396000
1980-05-15,0.07255,0.074379,0.07255,0.07255,0.043366,1213200
1980-05-16,0.07255,0.073769,0.07194,0.07194,0.043001,1382400
1980-05-19,0.07194,0.07316,0.071331,0.071331,0.042637,7200
1980-05-20,0.071331,0.07316,0.071331,0.071331,0.042637,2192400
1980-05-21,0.071331,0.07316,0.071331,0.071331,0.042637,486000
1980-05-22,0.07194,0.073769,0.07194,0.07194,0.043001,1051200
1980-05-23,0.07255,0.074379,0.07255,0.07255,0.043366,979200
1980-05-27,0.074379,0.076208,0.074379,0.074379,0.044459,921600
1980-05-28,0.074379,0.076208,0.074379,0.074379,0.044459,1317600
1980-05-29,0.076208,0.078037,0.076208,0.076208,0.045552,1213200
1980-05-30,0.076208,0.078037,0.076208,0.076208,0.045552,979200
1980-06-02,0.076208,0.078037,0.076208,0.076208,0.045552,104400
1980-06-03,0.076208,0.078037,0.076208,0.076208,0.045552,979200
1980-06-04,0.076208,0.078037,0.076208,0.076208,0.045552,226800
1980-06-05,0.076208,0.076208,0.076208,0.076208,0.045552,0
1980-06-06,0.076208,0.078037,0.076208,0.076208,0.045552,176400
1980-06-09,0.076208,0.078037,0.076208,0.076208,0.045552,176400
1980-06-10,0.076208,0.078037,0.076208,0.076208,0.045552,1141200
1980-06-11,0.076818,0.078647,0.076818,0.076818,0.045917,882000
1980-06-12,0.076818,0.078647,0.076818,0.076818,0.045917,1490400
1980-06-13,0.082305,0.084134,0.082305,0.082305,0.049197,2073600
1980-06-16,0.082305,0.084134,0.082305,0.082305,0.049197,1490400
1980-06-17,0.082305,0.082305,0.080476,0.080476,0.048103,1706400
1980-06-18,0.080476,0.082305,0.080476,0.080476,0.048103,590400
1980-06-19,0.080476,0.081695,0.079866,0.079866,0.047739,486000
1980-06-20,0.079866,0.081085,0.079256,0.079256,0.047374,993600
1980-06-23,0.079256,0.081085,0.079256,0.079256,0.047374,558000
1980-06-24,0.078647,0.078647,0.076818,0.076818,0.045917,2728800
1980-06-25,0.076818,0.078647,0.076818,0.076818,0.045917,396000
1980-06-26,0.077427,0.079256,0.077427,0.077427,0.046281,2948400
1980-06-27,0.078037,0.079866,0.078037,0.078037,0.046646,979200
1980-06-30,0.078037,0.079866,0.078037,0.078037,0.046646,7200
1980-07-01,0.078037,0.079866,0.078037,0.078037,0.046646,486000
1980-07-02,0.078037,0.079866,0.078037,0.078037,0.046646,810000
1980-07-03,0.078037,0.078037,0.078037,0.078037,0.046646,0
1980-07-07,0.079256,0.079866,0.079256,0.079256,0.047374,3384000
1980-07-08,0.080476,0.081085,0.080476,0.080476,0.048103,10162800
1980-07-09,0.080476,0.081085,0.080476,0.080476,0.048103,176400
1980-07-10,0.081085,0.081695,0.081085,0.081085,0.048468,2404800
1980-07-11,0.081085,0.081695,0.081085,0.081085,0.048468,979200
1980-07-14,0.082914,0.083524,0.082914,0.082914,0.049561,1900800
1980-07-15,0.084134,0.084743,0.084134,0.084134,0.05029,1821600
1980-07-16,0.084743,0.085353,0.084743,0.084743,0.050654,1166400
1980-07-17,0.087182,0.088401,0.087182,0.087182,0.052112,2451600
1980-07-18,0.087791,0.089011,0.087791,0.087791,0.052476,1652400
1980-07-21,0.088401,0.08962,0.088401,0.088401,0.052841,72000
1980-07-22,0.09023,0.091449,0.09023,0.09023,0.053934,1868400
1980-07-23,0.09023,0.09023,0.089011,0.089011,0.053205,2451600
1980-07-24,0.092669,0.093888,0.092669,0.092669,0.055392,3603600
1980-07-25,0.093278,0.093888,0.093278,0.093278,0.055756,921600
1980-07-28,0.093278,0.093888,0.093278,0.093278,0.055756,104400
1980-07-29,0.093278,0.093888,0.093278,0.093278,0.055756,507600
1980-07-30,0.093278,0.093888,0.093278,0.093278,0.055756,979200
1980-07-31,0.092059,0.092059,0.091449,0.091449,0.054663,1634400
1980-08-01,0.093888,0.095107,0.093888,0.093888,0.056121,2145600
1980-08-04,0.095717,0.096327,0.095717,0.095717,0.057214,1317600
1980-08-05,0.096327,0.097546,0.096327,0.096327,0.057578,486000
1980-08-06,0.096936,0.098156,0.096936,0.096936,0.057943,7200
1980-08-07,0.098156,0.098765,0.098156,0.098156,0.058671,6883200
1980-08-08,0.097546,0.097546,0.096327,0.096327,0.057578,1537200
1980-08-11,0.096327,0.096327,0.096327,0.096327,0.057578,0
1980-08-12,0.097546,0.098156,0.097546,0.097546,0.058307,831600
1980-08-13,0.097546,0.098156,0.096936,0.096936,0.057943,266400
1980-08-14,0.096936,0.096936,0.096936,0.096936,0.057943,0
1980-08-15,0.096936,0.098156,0.096936,0.096936,0.057943,3132000
1980-08-18,0.096936,0.096936,0.096327,0.096327,0.057578,1310400
1980-08-19,0.096327,0.096327,0.096327,0.096327,0.057578,0
1980-08-20,0.096327,0.096327,0.095717,0.095717,0.057214,324000
1980-08-21,0.095717,0.096327,0.095717,0.095717,0.057214,727200
1980-08-22,0.095717,0.095717,0.095717,0.095717,0.057214,0
1980-08-25,0.095107,0.095107,0.093888,0.093888,0.056121,6494400
1980-08-26,0.093888,0.095107,0.093888,0.093888,0.056121,507600
1980-08-27,0.093888,0.094498,0.093888,0.093888,0.056121,1652400
1980-08-28,0.093888,0.094498,0.093888,0.093888,0.056121,72000
1980-08-29,0.092059,0.092059,0.09084,0.09084,0.054298,2696400
1980-09-02,0.09084,0.091449,0.09084,0.09084,0.054298,6883200
1980-09-03,0.09084,0.091449,0.09084,0.09084,0.054298,2631600
1980-09-04,0.091449,0.092059,0.091449,0.091449,0.054663,2631600
1980-09-05,0.091449,0.092059,0.09084,0.09084,0.054298,176400
1980-09-08,0.09084,0.092059,0.09084,0.09084,0.054298,1310400
1980-09-09,0.09084,0.091449,0.09023,0.09023,0.053934,662400
1980-09-10,0.09023,0.09084,0.08962,0.08962,0.05357,1576800
1980-09-11,0.08962,0.08962,0.08962,0.08962,0.05357,0
1980-09-12,0.08962,0.091449,0.08962,0.08962,0.05357,882000
1980-09-15,0.09023,0.091449,0.09023,0.09023,0.053934,3279600
1980-09-16,0.09084,0.092059,0.09084,0.09084,0.054298,979200
1980-09-17,0.09084,0.092059,0.09084,0.09084,0.054298,266400
1980-09-18,0.091449,0.092669,0.091449,0.091449,0.054663,979200
1980-09-19,0.092059,0.093278,0.092059,0.092059,0.055027,727200
1980-09-22,0.092059,0.093278,0.092059,0.092059,0.055027,1537200
1980-09-23,0.092364,0.092364,0.090535,0.090535,0.054116,151200
1980-09-24,0.090535,0.091449,0.08962,0.08962,0.05357,1141200
1980-09-25,0.08962,0.091449,0.08962,0.08962,0.05357,72000
1980-09-26,0.08962,0.090535,0.088706,0.088706,0.053023,759600
1980-09-29,0.088706,0.08962,0.087791,0.087791,0.052476,810000
1980-09-30,0.087791,0.088706,0.087791,0.087791,0.052476,291600
1980-10-01,0.087791,0.088706,0.087791,0.087791,0.052476,216000
1980-10-02,0.087791,0.088706,0.087791,0.087791,0.052476,1166400
1980-10-03,0.087791,0.088706,0.087791,0.087791,0.052476,3823200
1980-10-06,0.087791,0.088706,0.087791,0.087791,0.052476,216000
1980-10-07,0.087791,0.088706,0.087791,0.087791,0.052476,226800
1980-10-08,0.087791,0.088706,0.087791,0.087791,0.052476,831600
1980-10-09,0.087791,0.088706,0.087791,0.087791,0.052476,486000
1980-10-10,0.087791,0.088706,0.087791,0.087791,0.052476,151200
1980-10-13,0.087791,0.087791,0.087334,0.087334,0.052203,1360800
1980-10-14,0.087334,0.087791,0.086877,0.086877,0.05193,1530000
1980-10-15,0.086877,0.087791,0.08642,0.08642,0.051656,4114800
1980-10-16,0.08642,0.086877,0.085963,0.085963,0.051383,1602000
1980-10-17,0.085963,0.085963,0.085963,0.085963,0.051383,0
1980-10-20,0.085963,0.086877,0.085963,0.085963,0.051383,324000
1980-10-21,0.085963,0.086877,0.085963,0.085963,0.051383,46800
1980-10-22,0.085048,0.085048,0.083219,0.083219,0.049743,1101600
1980-10-23,0.083219,0.084134,0.083219,0.083219,0.049743,2016000
1980-10-24,0.084134,0.085963,0.084134,0.084134,0.05029,11307600
1980-10-27,0.084134,0.085048,0.084134,0.084134,0.05029,4665600
1980-10-28,0.086877,0.088706,0.086877,0.086877,0.05193,7506000
1980-10-29,0.08962,0.091449,0.08962,0.08962,0.05357,4057200
1980-10-30,0.090535,0.092364,0.090535,0.090535,0.054116,12733200
1980-10-31,0.090535,0.092364,0.090535,0.090535,0.054116,216000
1980-11-03,0.090535,0.090535,0.088706,0.088706,0.053023,1868400
1980-11-05,0.090535,0.092364,0.090535,0.090535,0.054116,2016000
1980-11-06,0.090535,0.090535,0.08962,0.08962,0.05357,759600
1980-11-07,0.08962,0.090535,0.08962,0.08962,0.05357,72000
1980-11-10,0.090535,0.091449,0.090535,0.090535,0.054116,1090800
1980-11-11,0.090535,0.091449,0.090535,0.090535,0.054116,1317600
1980-11-12,0.090535,0.091449,0.090535,0.090535,0.054116,291600
1980-11-13,0.093278,0.094193,0.093278,0.093278,0.055756,993600
1980-11-14,0.093278,0.094193,0.092364,0.092364,0.055209,266400
1980-11-17,0.092364,0.093278,0.091449,0.091449,0.054663,1360800
1980-11-18,0.091449,0.092364,0.091449,0.091449,0.054663,759600
1980-11-19,0.091449,0.092364,0.091449,0.091449,0.054663,226800
1980-11-20,0.091449,0.092364,0.091449,0.091449,0.054663,486000
1980-11-21,0.091449,0.092364,0.091449,0.091449,0.054663,370800
1980-11-24,0.090535,0.090535,0.08962,0.08962,0.05357,1360800
1980-11-25,0.08962,0.090535,0.088706,0.088706,0.053023,1090800
1980-11-26,0.088706,0.090535,0.088706,0.088706,0.053023,72000
1980-11-28,0.088706,0.088706,0.088706,0.088706,0.053023,0
1980-12-01,0.088706,0.08962,0.088706,0.088706,0.053023,882000
1980-12-02,0.088706,0.08962,0.087791,0.087791,0.052476,338400
1980-12-03,0.087791,0.088706,0.086877,0.086877,0.05193,662400
1980-12-04,0.086877,0.088706,0.086877,0.086877,0.05193,118800
1980-12-05,0.087791,0.088706,0.087791,0.087791,0.052476,615600
1980-12-08,0.087791,0.087791,0.086877,0.086877,0.05193,2307600
1980-12-09,0.086877,0.087791,0.085963,0.085963,0.051383,702000
1980-12-10,0.085963,0.087791,0.085963,0.085963,0.051383,486000
1980-12-11,0.085963,0.087791,0.085963,0.085963,0.051383,266400
1980-12-12,0.085963,0.087791,0.085963,0.085963,0.051383,655200
1980-12-15,0.085963,0.087791,0.085963,0.085963,0.051383,216000
1980-12-16,0.086877,0.088706,0.086877,0.086877,0.05193,9849600
1980-12-17,0.088706,0.08962,0.088706,0.088706,0.053023,702000
1980-12-18,0.092364,0.093278,0.092364,0.092364,0.055209,1101600
1980-12-19,0.095107,0.096022,0.095107,0.095107,0.056849,1051200
1980-12-22,0.096936,0.098765,0.096936,0.096936,0.057943,558000
1980-12-23,0.102423,0.104252,0.102423,0.102423,0.061222,2995200
1980-12-24,0.102423,0.104252,0.102423,0.102423,0.061222,655200
1980-12-26,0.106081,0.10791,0.106081,0.106081,0.063409,1490400
1980-12-29,0.106081,0.10791,0.106081,0.106081,0.063409,1576800
1980-12-30,0.106081,0.106996,0.106081,0.106081,0.063409,2235600
1980-12-31,0.106081,0.106996,0.106081,0.106081,0.063409,291600
1981-01-02,0.106996,0.108825,0.106996,0.106996,0.063955,979200
1981-01-05,0.10791,0.109739,0.10791,0.10791,0.064502,3823200
1981-01-06,0.10791,0.108825,0.10791,0.10791,0.064502,1141200
1981-01-07,0.106996,0.106996,0.106081,0.106081,0.063409,2476800
1981-01-08,0.106081,0.106996,0.105167,0.105167,0.062862,2016000
1981-01-09,0.105167,0.106996,0.104252,0.104252,0.062316,226800
1981-01-12,0.104252,0.106081,0.104252,0.104252,0.062316,615600
1981-01-13,0.104252,0.105167,0.104252,0.104252,0.062316,435600
1981-01-14,0.104252,0.106081,0.104252,0.104252,0.062316,882000
1981-01-15,0.104252,0.106081,0.104252,0.104252,0.062316,702000
1981-01-16,0.105167,0.106996,0.105167,0.105167,0.062862,370800
1981-01-19,0.106081,0.106996,0.106081,0.106081,0.063409,1465200
1981-01-20,0.106081,0.106081,0.104252,0.104252,0.062316,324000
1981-01-21,0.104252,0.106081,0.104252,0.104252,0.062316,104400
1981-01-22,0.104252,0.105167,0.103338,0.103338,0.061769,2559600
1981-01-23,0.104252,0.105167,0.104252,0.104252,0.062316,324000
1981-01-26,0.101509,0.101509,0.09968,0.09968,0.059582,1634400
1981-01-27,0.09968,0.101509,0.09968,0.09968,0.059582,46800
1981-01-28,0.09968,0.100594,0.098765,0.098765,0.059036,507600
1981-01-29,0.098765,0.09968,0.098765,0.098765,0.059036,874800
1981-01-30,0.098765,0.09968,0.098765,0.098765,0.059036,46800
1981-02-02,0.098765,0.09968,0.097851,0.097851,0.058489,2365200
1981-02-03,0.097851,0.09968,0.097851,0.097851,0.058489,2743200
1981-02-04,0.09968,0.101509,0.09968,0.09968,0.059582,4039200
1981-02-05,0.09968,0.100594,0.09968,0.09968,0.059582,3765600
1981-02-06,0.105167,0.106996,0.105167,0.105167,0.062862,4492800
1981-02-09,0.105167,0.106996,0.105167,0.105167,0.062862,615600
1981-02-10,0.106996,0.10791,0.106996,0.106996,0.063955,1382400
1981-02-11,0.106996,0.106996,0.106081,0.106081,0.063409,396000
1981-02-12,0.106081,0.106996,0.105167,0.105167,0.062862,874800
1981-02-13,0.105167,0.106081,0.104252,0.104252,0.062316,338400
1981-02-17,0.105167,0.106081,0.105167,0.105167,0.062862,615600
1981-02-18,0.105167,0.106996,0.105167,0.105167,0.062862,216000
1981-02-19,0.106081,0.106996,0.106081,0.106081,0.063409,921600
1981-02-20,0.106081,0.106996,0.106081,0.106081,0.063409,151200
1981-02-23,0.106996,0.10791,0.106996,0.106996,0.063955,921600
1981-02-24,0.10791,0.108825,0.10791,0.10791,0.064502,1026000
1981-02-25,0.10791,0.108825,0.106996,0.106996,0.063955,338400
1981-02-26,0.109739,0.111568,0.109739,0.109739,0.065595,1652400
1981-02-27,0.112483,0.113397,0.112483,0.112483,0.067235,2185200
1981-03-02,0.118884,0.119799,0.118884,0.118884,0.071062,4420800
1981-03-03,0.117055,0.117055,0.115226,0.115226,0.068875,2365200
1981-03-04,0.115226,0.117055,0.114312,0.114312,0.068329,1213200
1981-03-05,0.115226,0.116141,0.115226,0.115226,0.068875,104400
1981-03-06,0.115226,0.116141,0.115226,0.115226,0.068875,702000
1981-03-09,0.115226,0.117055,0.115226,0.115226,0.068875,291600
1981-03-10,0.11797,0.119799,0.11797,0.11797,0.070515,3067200
1981-03-11,0.121628,0.122542,0.121628,0.121628,0.072702,2016000
1981-03-12,0.121628,0.123457,0.121628,0.121628,0.072702,1310400
1981-03-13,0.124371,0.1262,0.124371,0.124371,0.074341,1756800
1981-03-16,0.127115,0.128944,0.127115,0.127115,0.075981,1749600
1981-03-17,0.128029,0.128944,0.128029,0.128029,0.076528,874800
1981-03-18,0.128029,0.128944,0.128029,0.128029,0.076528,921600
1981-03-19,0.128029,0.128944,0.128029,0.128029,0.076528,1213200
1981-03-20,0.128029,0.128944,0.128029,0.128029,0.076528,442800
1981-03-23,0.131687,0.132602,0.131687,0.131687,0.078714,1213200
1981-03-24,0.132602,0.134431,0.132602,0.132602,0.079261,1976400
1981-03-25,0.133516,0.134431,0.133516,0.133516,0.079808,882000
1981-03-26,0.133516,0.133516,0.132602,0.132602,0.079261,1749600
1981-03-27,0.132602,0.133516,0.132602,0.132602,0.079261,291600
1981-03-30,0.133516,0.134431,0.133516,0.133516,0.079808,151200
1981-03-31,0.133516,0.134431,0.133516,0.133516,0.079808,1270800
1981-04-01,0.139003,0.139918,0.139003,0.139003,0.083087,2016000
1981-04-02,0.140832,0.142661,0.140832,0.140832,0.084181,2257200
1981-04-03,0.141747,0.143576,0.141747,0.141747,0.084727,946800
1981-04-06,0.141747,0.142661,0.141747,0.141747,0.084727,993600
1981-04-07,0.143576,0.145405,0.143576,0.143576,0.085821,882000
1981-04-08,0.142661,0.142661,0.140832,0.140832,0.084181,2289600
1981-04-09,0.140832,0.141747,0.140832,0.140832,0.084181,979200
1981-04-10,0.141747,0.142661,0.141747,0.141747,0.084727,118800
1981-04-13,0.141747,0.142661,0.140832,0.140832,0.084181,1141200
1981-04-14,0.14449,0.146319,0.14449,0.14449,0.086367,2257200
1981-04-15,0.152721,0.15455,0.152721,0.152721,0.091287,2509200
1981-04-16,0.160951,0.16278,0.160951,0.160951,0.096207,3214800
1981-04-20,0.166438,0.168267,0.166438,0.166438,0.099486,1749600
1981-04-21,0.166438,0.166438,0.165524,0.165524,0.09894,4057200
1981-04-22,0.165524,0.165524,0.163695,0.163695,0.097846,1414800
1981-04-23,0.165524,0.166438,0.165524,0.165524,0.09894,655200
1981-04-24,0.174668,0.176497,0.174668,0.174668,0.104406,2728800
1981-04-27,0.174668,0.176497,0.174668,0.174668,0.104406,2840400
1981-04-28,0.174668,0.175583,0.173754,0.173754,0.103859,370800
1981-04-29,0.169182,0.169182,0.167353,0.167353,0.100033,3456000
1981-04-30,0.166438,0.166438,0.165524,0.165524,0.09894,1854000
1981-05-01,0.165524,0.167353,0.165524,0.165524,0.09894,1026000
1981-05-04,0.161866,0.161866,0.160951,0.160951,0.096207,2088000
1981-05-05,0.159122,0.159122,0.158208,0.158208,0.094567,2581200
1981-05-06,0.158208,0.159122,0.158208,0.158208,0.094567,3060000
1981-05-07,0.155464,0.155464,0.15455,0.15455,0.09238,3110400
1981-05-08,0.15455,0.15455,0.153635,0.153635,0.091834,1537200
1981-05-11,0.153635,0.153635,0.151806,0.151806,0.09074,1537200
1981-05-12,0.152721,0.153635,0.152721,0.152721,0.091287,1090800
1981-05-13,0.16278,0.164609,0.16278,0.16278,0.0973,3279600
1981-05-14,0.165524,0.168267,0.165524,0.165524,0.09894,1245600
1981-05-15,0.167353,0.169182,0.167353,0.167353,0.100033,1684800
1981-05-18,0.167353,0.168267,0.166438,0.166438,0.099486,324000
1981-05-19,0.166438,0.166438,0.164609,0.164609,0.098393,1796400
1981-05-20,0.164609,0.165524,0.163695,0.163695,0.097846,615600
1981-05-21,0.163695,0.165524,0.163695,0.163695,0.097846,266400
1981-05-22,0.163695,0.164609,0.163695,0.163695,0.097846,3765600
1981-05-26,0.163695,0.164609,0.163695,0.163695,0.097846,590400
1981-05-27,0.163695,0.164609,0.163695,0.163695,0.097846,7200
1981-05-28,0.164609,0.165524,0.164609,0.164609,0.098393,5256000
1981-05-29,0.164609,0.165524,0.163695,0.163695,0.097846,291600
1981-06-01,0.166438,0.168267,0.166438,0.166438,0.099486,921600
1981-06-02,0.166438,0.167353,0.165524,0.165524,0.09894,1213200
1981-06-03,0.16278,0.16278,0.160951,0.160951,0.096207,921600
1981-06-04,0.158208,0.158208,0.155464,0.155464,0.092927,946800
1981-06-05,0.155464,0.156379,0.153635,0.153635,0.091834,558000
1981-06-08,0.156379,0.156379,0.153635,0.153635,0.091834,176400
1981-06-09,0.159122,0.163237,0.159122,0.159122,0.095113,1393200
1981-06-10,0.165981,0.168724,0.165981,0.165981,0.099213,1724400
1981-06-11,0.175583,0.176955,0.175583,0.175583,0.104953,1018800
1981-06-12,0.187929,0.190672,0.187929,0.187929,0.112332,2332800
1981-06-15,0.190672,0.193416,0.190672,0.190672,0.113972,507600
1981-06-16,0.190672,0.190672,0.187929,0.187929,0.112332,831600
1981-06-17,0.190672,0.193416,0.190672,0.190672,0.113972,540000
1981-06-18,0.193416,0.196159,0.193416,0.193416,0.115612,1749600
1981-06-19,0.193416,0.194787,0.192044,0.192044,0.114792,558000
1981-06-22,0.193416,0.196159,0.193416,0.193416,0.115612,3726000
1981-06-23,0.193416,0.196159,0.193416,0.193416,0.115612,507600
1981-06-24,0.207133,0.209877,0.207133,0.207133,0.123811,1342800
1981-06-25,0.209877,0.21262,0.209877,0.209877,0.125451,1393200
1981-06-26,0.21262,0.215364,0.21262,0.21262,0.127091,1173600
1981-06-29,0.211248,0.211248,0.208505,0.208505,0.124631,540000
1981-06-30,0.208505,0.209877,0.207133,0.207133,0.123811,979200
1981-07-01,0.207133,0.209877,0.207133,0.207133,0.123811,248400
1981-07-02,0.207133,0.208505,0.207133,0.207133,0.123811,1069200
1981-07-06,0.207133,0.208505,0.205761,0.205761,0.122991,1069200
1981-07-07,0.207133,0.208505,0.207133,0.207133,0.123811,486000
1981-07-08,0.207133,0.208505,0.205761,0.205761,0.122991,590400
1981-07-09,0.205761,0.208505,0.205761,0.205761,0.122991,590400
1981-07-10,0.205761,0.208505,0.205761,0.205761,0.122991,72000
1981-07-13,0.205761,0.207133,0.20439,0.20439,0.122171,655200
1981-07-14,0.20439,0.205761,0.20439,0.20439,0.122171,1141200
1981-07-15,0.20439,0.205761,0.20439,0.20439,0.122171,1238400
1981-07-16,0.20439,0.205761,0.20439,0.20439,0.122171,442800
1981-07-17,0.20439,0.205761,0.20439,0.20439,0.122171,118800
1981-07-20,0.20439,0.205761,0.20439,0.20439,0.122171,1123200
1981-07-21,0.201646,0.201646,0.198903,0.198903,0.118892,2379600
1981-07-22,0.186557,0.186557,0.185185,0.185185,0.110692,6955200
1981-07-23,0.183813,0.183813,0.18107,0.18107,0.108232,1634400
1981-07-24,0.18107,0.182442,0.179698,0.179698,0.107412,1141200
1981-07-27,0.179698,0.179698,0.176955,0.176955,0.105773,226800
1981-07-28,0.176955,0.18107,0.176955,0.176955,0.105773,176400
1981-07-29,0.176955,0.179698,0.176955,0.176955,0.105773,558000
1981-07-30,0.176955,0.179698,0.175583,0.175583,0.104953,410400
1981-07-31,0.176955,0.179698,0.176955,0.176955,0.105773,1432800
1981-08-03,0.174211,0.174211,0.171468,0.171468,0.102493,727200
1981-08-04,0.170096,0.170096,0.165981,0.165981,0.099213,1026000
1981-08-05,0.165981,0.168724,0.164609,0.164609,0.098393,759600
1981-08-06,0.165981,0.170096,0.165981,0.165981,0.099213,194400
1981-08-07,0.168724,0.170096,0.168724,0.168724,0.100853,370800
1981-08-10,0.168724,0.168724,0.168724,0.168724,0.100853,0
1981-08-11,0.168724,0.170096,0.168724,0.168724,0.100853,194400
1981-08-12,0.170096,0.17284,0.170096,0.170096,0.101673,194400
1981-08-13,0.174211,0.176955,0.174211,0.174211,0.104133,396000
1981-08-14,0.174211,0.176955,0.174211,0.174211,0.104133,194400
1981-08-17,0.175583,0.178326,0.175583,0.175583,0.104953,1458000
1981-08-18,0.176955,0.18107,0.176955,0.176955,0.105773,799200
