Date,Open,High,Low,Close,Adj Close,Volume
1985-07-01,2.04688,2.10938,2.04688,2.0625,1.610199,178400
1985-07-02,2.0625,2.0625,2.01562,2.03125,1.585802,337600
1985-07-03,2.04688,2.09375,2.04688,2.09375,1.634596,1909600
1985-07-05,2.09375,2.09375,2.07812,2.07812,1.622393,116800
1985-07-08,2.07812,2.09375,2.0625,2.09375,1.634596,158400
1985-07-09,2.09375,2.09375,2.03125,2.0625,1.610199,261600
1985-07-10,2.0625,2.0625,1.98438,2.01562,1.5736,1311200
1985-07-11,2.01562,2.09375,2.01562,2.0625,1.610199,1032800
1985-07-12,2.0625,2.09375,2.04688,2.0625,1.610199,1602400
1985-07-15,2.0625,2.125,2.0625,2.125,1.658993,782400
1985-07-16,2.125,2.1875,2.10938,2.1875,1.707787,472800
1985-07-17,2.20312,2.28125,2.20312,2.26562,1.768775,1344000
1985-07-18,2.26562,2.28125,2.21875,2.23438,1.744386,608800
1985-07-19,2.23438,2.28125,2.23438,2.25,1.756581,1107200
1985-07-22,2.25,2.25,2.21875,2.25,1.756581,449600
1985-07-23,2.25,2.25,2.20312,2.23438,1.744386,228000
1985-07-24,2.23438,2.23438,2.17188,2.1875,1.707787,293600
1985-07-25,2.1875,2.1875,2.15625,2.15625,1.683389,116800
1985-07-26,2.15625,2.17188,2.125,2.14062,1.671188,529600
1985-07-29,2.14062,2.14062,2.0625,2.09375,1.634596,158400
1985-07-30,2.07812,2.07812,1.96875,2.0,1.561405,301600
1985-07-31,2.0,2.03125,1.98438,2.0,1.561405,252000
1985-08-01,2.0,2.03125,1.98438,2.01562,1.5736,217600
1985-08-02,2.01562,2.01562,1.98438,1.98438,1.549211,313600
1985-08-05,1.96875,1.96875,1.89062,1.92188,1.500417,208800
1985-08-06,1.92188,1.92188,1.79688,1.875,1.463817,649600
1985-08-07,1.875,1.875,1.85938,1.875,1.463817,155200
1985-08-08,1.875,1.875,1.75,1.8125,1.415023,1389600
1985-08-09,1.82812,1.875,1.82812,1.875,1.463817,577600
1985-08-12,1.875,1.89062,1.84375,1.84375,1.439421,57600
1985-08-13,1.84375,1.84375,1.82812,1.82812,1.427218,336800
1985-08-14,1.82812,1.82812,1.8125,1.8125,1.415023,112800
1985-08-15,1.8125,1.84375,1.79688,1.82812,1.427218,34400
1985-08-16,1.82812,1.84375,1.78125,1.78125,1.390626,68800
1985-08-19,1.78125,1.8125,1.75,1.75,1.36623,334400
1985-08-20,1.75,1.78125,1.75,1.75,1.36623,911200
1985-08-21,1.75,1.76562,1.73438,1.75,1.36623,513600
1985-08-22,1.75,1.79688,1.75,1.76562,1.378424,130400
1985-08-23,1.76562,1.78125,1.75,1.78125,1.390626,81600
1985-08-26,1.78125,1.79688,1.75,1.75,1.36623,69600
1985-08-27,1.75,1.76562,1.75,1.76562,1.378424,130400
1985-08-28,1.76562,1.76562,1.70312,1.70312,1.32963,258400
1985-08-29,1.70312,1.73438,1.70312,1.71875,1.341833,772000
1985-08-30,1.75,1.79688,1.75,1.79688,1.402829,383200
1985-09-03,1.79688,1.82812,1.75,1.78125,1.390626,148800
1985-09-04,1.78125,1.8125,1.76562,1.79688,1.402829,159200
1985-09-05,1.79688,1.79688,1.70312,1.75,1.36623,127200
1985-09-06,1.73438,1.73438,1.6875,1.73438,1.354035,158400
1985-09-09,1.71875,1.71875,1.67188,1.70312,1.332512,79200
1985-09-10,1.70312,1.71875,1.67188,1.6875,1.320291,77600
1985-09-11,1.67188,1.67188,1.60938,1.60938,1.25917,193600
1985-09-12,1.60938,1.60938,1.53125,1.53125,1.198041,200800
1985-09-13,1.53125,1.54688,1.48438,1.5,1.173591,352000
1985-09-16,1.48438,1.48438,1.375,1.4375,1.124692,292800
1985-09-17,1.4375,1.5,1.40625,1.5,1.173591,172000
1985-09-18,1.5,1.5625,1.48438,1.5,1.173591,443200
1985-09-19,1.5,1.5625,1.5,1.54688,1.21027,252800
1985-09-20,1.54688,1.59375,1.53125,1.53125,1.198041,258400
1985-09-23,1.53125,1.59375,1.53125,1.5625,1.222491,304800
1985-09-24,1.5625,1.5625,1.53125,1.54688,1.21027,73600
1985-09-25,1.54688,1.54688,1.51562,1.51562,1.185812,43200
1985-09-26,1.51562,1.53125,1.51562,1.53125,1.198041,152000
1985-09-30,1.53125,1.54688,1.5,1.54688,1.21027,160800
1985-10-01,1.51562,1.54688,1.51562,1.53125,1.198041,292800
1985-10-02,1.54688,1.59375,1.54688,1.57812,1.234711,323200
1985-10-03,1.57812,1.60938,1.5625,1.5625,1.222491,138400
1985-10-04,1.5625,1.59375,1.5625,1.59375,1.246941,825600
1985-10-07,1.57812,1.57812,1.5625,1.57812,1.234711,58400
1985-10-08,1.57812,1.57812,1.54688,1.5625,1.222491,48000
1985-10-09,1.5625,1.57812,1.54688,1.5625,1.222491,121600
1985-10-10,1.5625,1.5625,1.5,1.5,1.173591,1608800
1985-10-11,1.5,1.51562,1.45312,1.46875,1.149142,104800
1985-10-14,1.46875,1.48438,1.42188,1.45312,1.136913,352800
1985-10-15,1.45312,1.46875,1.40625,1.42188,1.112471,174400
1985-10-16,1.42188,1.48438,1.39062,1.40625,1.100242,161600
1985-10-17,1.40625,1.40625,1.3125,1.3125,1.026892,1176800
1985-10-18,1.3125,1.34375,1.29688,1.32812,1.039114,724000
1985-10-21,1.32812,1.34375,1.3125,1.34375,1.051342,629600
1985-10-22,1.34375,1.375,1.3125,1.32812,1.039114,3619200
1985-10-23,1.34375,1.40625,1.34375,1.39062,1.088013,1214400
1985-10-24,1.39062,1.39062,1.375,1.39062,1.088013,395200
1985-10-25,1.39062,1.40625,1.375,1.375,1.075792,192800
1985-10-28,1.375,1.40625,1.375,1.39062,1.088013,152800
1985-10-29,1.39062,1.40625,1.39062,1.40625,1.100242,244800
1985-10-30,1.40625,1.42188,1.39062,1.39062,1.088013,248000
1985-10-31,1.39062,1.40625,1.35938,1.375,1.075792,150400
1985-11-01,1.375,1.375,1.34375,1.35938,1.063571,87200
1985-11-04,1.35938,1.39062,1.35938,1.375,1.075792,632000
1985-11-05,1.375,1.39062,1.35938,1.375,1.075792,322400
1985-11-06,1.375,1.39062,1.35938,1.375,1.075792,519200
1985-11-07,1.375,1.42188,1.35938,1.42188,1.112471,1216800
1985-11-08,1.42188,1.48438,1.40625,1.48438,1.161371,267200
1985-11-11,1.48438,1.54688,1.48438,1.54688,1.21027,400800
1985-11-12,1.54688,1.64062,1.54688,1.625,1.27139,644800
1985-11-13,1.65625,1.71875,1.65625,1.70312,1.332512,2444800
1985-11-14,1.70312,1.75,1.70312,1.71875,1.34474,2525600
1985-11-15,1.71875,1.71875,1.67188,1.70312,1.332512,281600
1985-11-18,1.70312,1.70312,1.67188,1.70312,1.332512,632800
