Date,Open,High,Low,Close,Adj Close,Volume
1987-07-10,11.75,12.625,11.75,12.4375,9.520103,4386000
1987-07-13,12.5,12.875,12.5,12.5625,9.615779,1955200
1987-07-14,12.5625,12.625,12.25,12.5,9.567936,732000
1987-07-15,12.4375,12.5,12.4375,12.5,9.567936,197000
1987-07-16,12.5,12.5,12.4375,12.5,9.567936,274000
1987-07-17,12.5,12.5,12.5,12.5,9.567936,126000
1987-07-20,12.5,12.5,12.375,12.4375,9.520103,793800
1987-07-21,12.3125,12.5,12.3125,12.5,9.567936,197800
1987-07-22,12.5,12.5625,12.4375,12.5625,9.615779,12800
1987-07-23,12.625,12.625,12.25,12.375,9.47226,496400
1987-07-24,12.375,12.5,12.25,12.5,9.567936,178200
1987-07-27,12.5,12.5625,12.4375,12.5,9.567936,129800
1987-07-28,12.4375,12.5,12.25,12.25,9.37658,119800
1987-07-29,12.25,12.3125,12.0625,12.1875,9.328745,228000
1987-07-30,12.5,13.25,12.0,12.1875,9.328745,1811000
1987-07-31,12.1875,12.1875,12.0625,12.1875,9.328745,216800
1987-08-03,12.1875,12.1875,11.625,11.75,8.993863,507800
1987-08-04,11.8125,11.9375,11.5625,11.625,8.898185,571200
1987-08-05,11.6875,11.75,11.5625,11.75,8.993863,229600
1987-08-06,11.6875,11.75,11.625,11.6875,8.946024,159600
1987-08-07,11.625,11.625,11.5625,11.5625,8.85034,131200
1987-08-10,11.625,11.625,11.5625,11.625,8.898185,160400
1987-08-11,11.5625,11.625,11.5625,11.625,8.898185,90800
1987-08-12,11.5625,11.6875,11.5625,11.6875,8.946024,92800
1987-08-13,11.6875,11.6875,11.625,11.625,8.898185,64600
1987-08-14,11.625,11.6875,11.5,11.6875,8.946024,304800
1987-08-17,11.75,11.75,11.625,11.75,9.020876,46600
1987-08-18,11.75,11.75,11.625,11.6875,8.972891,30000
1987-08-19,11.6875,11.6875,11.625,11.6875,8.972891,98800
1987-08-20,11.6875,11.6875,11.625,11.6875,8.972891,61600
1987-08-21,11.6875,11.6875,11.625,11.625,8.92491,9800
1987-08-24,11.6875,11.6875,11.625,11.625,8.92491,158800
1987-08-25,11.625,11.6875,11.625,11.625,8.92491,259600
1987-08-26,11.6875,11.75,11.5,11.5625,8.876927,5610000
1987-08-27,11.5625,11.5625,11.5625,11.5625,8.876927,0
1987-08-28,10.4375,10.4375,9.875,9.875,7.581376,3400
1987-08-31,9.9375,9.9375,9.625,9.6875,7.437424,45000
1987-09-01,9.6875,9.6875,9.1875,9.1875,7.053557,31000
1987-09-02,9.0,9.125,9.0,9.0,6.909607,9800
1987-09-03,9.0,9.0,8.875,8.875,6.813641,14000
1987-09-04,8.8125,8.9375,8.8125,8.9375,6.861623,10600
1987-09-08,8.875,8.875,8.625,8.625,6.621705,22600
1987-09-09,8.5,8.5625,8.3125,8.5,6.525739,20000
1987-09-10,8.5,8.5,8.375,8.375,6.429772,25400
1987-09-11,8.375,8.5,8.3125,8.375,6.429772,88400
1987-09-14,8.25,8.25,8.0,8.125,6.237839,646400
1987-09-15,8.1875,8.4375,8.1875,8.3125,6.38179,108000
1987-09-16,8.375,8.375,8.1875,8.375,6.429772,107000
1987-09-17,8.25,8.3125,8.1875,8.25,6.333805,25800
1987-09-18,8.25,8.3125,8.125,8.25,6.333805,133400
1987-09-21,8.1875,8.1875,8.125,8.1875,6.285823,116800
1987-09-22,8.0,8.1875,7.875,8.1875,6.285823,64200
