Date,Open,High,Low,Close,Adj Close,Volume
1992-03-10,1.15625,1.15625,1.15625,1.15625,0.922103,176400
1992-03-11,1.15625,1.15625,1.15625,1.15625,0.922103,0
1992-03-12,1.15625,1.15625,1.14583,1.15625,0.922103,10800
1992-03-13,1.15625,1.15625,1.15625,1.15625,0.922103,0
1992-03-16,1.15625,1.15625,1.15625,1.15625,0.922103,4800
1992-03-17,1.14583,1.14583,1.14583,1.14583,0.913793,26400
1992-03-18,1.14583,1.14583,1.14583,1.14583,0.913793,19200
1992-03-19,1.14583,1.14583,1.14583,1.14583,0.913793,0
1992-03-20,1.15625,1.15625,1.14583,1.14583,0.913793,7200
1992-03-23,1.14583,1.14583,1.125,1.125,0.89718,96000
1992-03-24,1.125,1.125,1.125,1.125,0.89718,1200
1992-03-25,1.11458,1.125,1.11458,1.125,0.89718,64800
1992-03-26,1.13542,1.13542,1.125,1.13542,0.905491,34800
1992-03-27,1.15625,1.15625,1.14583,1.14583,0.913793,64800
1992-03-30,1.14583,1.14583,1.14583,1.14583,0.913793,19200
1992-03-31,1.14583,1.15625,1.14583,1.15625,0.922103,78000
1992-04-01,1.15625,1.15625,1.13542,1.14583,0.913793,72000
1992-04-02,1.14583,1.14583,1.13542,1.13542,0.905491,8400
1992-04-03,1.13542,1.13542,1.13542,1.13542,0.905491,57600
1992-04-06,1.13542,1.13542,1.13542,1.13542,0.905491,25200
1992-04-07,1.125,1.125,1.125,1.125,0.89718,12000
1992-04-08,1.10417,1.10417,1.08333,1.09375,0.872259,66000
1992-04-09,1.10417,1.10417,1.10417,1.10417,0.880569,4800
1992-04-10,1.09375,1.09375,1.09375,1.09375,0.872259,26400
1992-04-13,1.09375,1.10417,1.09375,1.10417,0.880569,3600
1992-04-14,1.09375,1.09375,1.09375,1.09375,0.872259,6000
1992-04-15,1.09375,1.09375,1.07292,1.07292,0.855647,19200
1992-04-16,1.07292,1.07292,1.07292,1.07292,0.855647,7200
1992-04-20,1.07292,1.07292,1.07292,1.07292,0.855647,42000
1992-04-21,1.07292,1.07292,1.07292,1.07292,0.855647,19200
1992-04-22,1.0625,1.0625,1.0625,1.0625,0.847337,6000
1992-04-23,1.05208,1.05208,1.05208,1.05208,0.839028,16800
1992-04-24,1.05208,1.05208,1.05208,1.05208,0.839028,6000
1992-04-27,1.05208,1.05208,1.05208,1.05208,0.839028,12000
1992-04-28,1.05208,1.05208,1.05208,1.05208,0.839028,1200
1992-04-29,1.05208,1.05208,1.05208,1.05208,0.839028,9600
1992-04-30,1.05208,1.05208,1.05208,1.05208,0.839028,27600
1992-05-01,1.05208,1.0625,1.05208,1.0625,0.847337,15600
1992-05-04,1.05208,1.0625,1.05208,1.0625,0.847337,26400
1992-05-05,1.05208,1.05208,1.05208,1.05208,0.839028,12000
1992-05-06,1.05208,1.05208,1.04167,1.04167,0.830726,32400
1992-05-07,1.05208,1.05208,1.05208,1.05208,0.839028,1200
1992-05-08,1.04167,1.04167,1.04167,1.04167,0.830726,20400
1992-05-11,1.03125,1.03125,1.03125,1.03125,0.822416,2400
1992-05-12,1.03125,1.03125,1.02083,1.02083,0.814106,96000
1992-05-13,1.03125,1.03125,1.02083,1.02083,0.814106,26400
1992-05-14,1.02083,1.02083,1.02083,1.02083,0.814106,0
1992-05-15,1.02083,1.02083,1.02083,1.02083,0.814106,31200
1992-05-18,1.02083,1.02083,1.01042,1.02083,0.814106,37200
1992-05-19,1.02083,1.02083,1.02083,1.02083,0.814106,8400
1992-05-20,1.02083,1.02083,1.02083,1.02083,0.814106,0
1992-05-21,1.03125,1.03125,1.03125,1.03125,0.822416,433200
1992-05-22,1.02083,1.02083,1.02083,1.02083,0.814106,21600
1992-05-26,1.02083,1.02083,1.02083,1.02083,0.814106,16800
1992-05-27,1.02083,1.02083,1.01042,1.01042,0.805804,13200
1992-05-28,1.01042,1.01042,1.01042,1.01042,0.805804,10800
1992-05-29,1.01042,1.01042,1.01042,1.01042,0.805804,2400
1992-06-01,1.01042,1.01042,1.01042,1.01042,0.805804,6000
1992-06-02,1.0,1.0,1.0,1.0,0.797494,8400
1992-06-03,1.0,1.0,1.0,1.0,0.797494,21600
1992-06-04,1.0,1.0,1.0,1.0,0.797494,51600
1992-06-05,1.0,1.0,1.0,1.0,0.797494,2400
1992-06-08,1.0,1.0,1.0,1.0,0.797494,14400
1992-06-09,1.0,1.0,1.0,1.0,0.797494,6000
1992-06-10,1.0,1.0,1.0,1.0,0.797494,3600
1992-06-11,1.0,1.0,1.0,1.0,0.797494,0
1992-06-12,1.0,1.0,1.0,1.0,0.797494,0
1992-06-15,1.0,1.0,1.0,1.0,0.797494,2400
1992-06-16,0.98958,0.98958,0.98958,0.98958,0.789184,9600
1992-06-17,0.98958,0.98958,0.98958,0.98958,0.789184,1200
1992-06-18,0.98958,0.98958,0.98958,0.98958,0.789184,10800
1992-06-19,1.0,1.0,0.98958,0.98958,0.789184,13200
1992-06-22,0.97917,0.98958,0.97917,0.98958,0.789184,10800
