Date,Open,High,Low,Close,Adj Close,Volume
2001-01-04,1.7036,1.7036,1.7036,1.7036,1.7036,108007
2001-01-09,1.88,2.1,1.88,1.88,1.88,0
2001-01-10,1.86,2.2,1.86,1.86,1.86,0
2001-01-11,1.84,2.2,1.84,1.84,1.84,0
2001-01-12,1.86,2.1,1.86,1.86,1.86,0
2001-01-16,1.84,2.1,1.84,1.86,1.86,0
2001-01-22,2.0,2.2,2.0,2.0,2.0,0
2001-01-23,1.94432,2.03691,1.94432,1.94432,1.94432,32402
2001-01-24,2.03691,2.03691,1.98136,1.98136,1.98136,334821
2001-01-25,1.87025,1.87025,1.83322,1.85174,1.85174,637240
2001-01-26,1.98136,1.98136,1.98136,1.98136,1.98136,10801
2001-01-29,2.03691,2.1295,2.03691,2.03691,2.03691,144729
2001-01-30,1.94432,1.94432,1.94432,1.94432,1.94432,217093
2001-01-31,1.99988,1.99988,1.94432,1.94432,1.94432,442827
2001-02-01,1.94432,1.94432,1.94432,1.94432,1.94432,190092
2001-02-02,1.94432,1.96284,1.94432,1.94432,1.94432,405025
2001-02-05,1.94432,1.94432,1.94432,1.94432,1.94432,291618
2001-02-06,1.94432,1.94432,1.94432,1.94432,1.94432,278657
2001-02-07,1.94432,1.94432,1.94432,1.94432,1.94432,37802
2001-02-08,2.1,2.12,2.1,2.1,2.1,0
2001-02-09,1.94432,1.94432,1.94432,1.94432,1.94432,70204
2001-02-12,1.94432,1.94432,1.94432,1.94432,1.94432,457948
2001-02-13,2.1,2.2,2.1,2.1,2.1,0
2001-02-14,2.12,2.2,2.12,2.12,2.12,0
2001-02-15,1.96284,1.96284,1.96284,1.96284,1.96284,43203
2001-02-16,2.03691,2.09246,2.03691,2.09246,2.09246,199812
2001-02-20,2.07395,2.2,2.05543,2.16,2.16,66964
2001-02-21,2.03691,2.03691,2.03691,2.03691,2.03691,30242
2001-02-22,2.01839,2.01839,2.01839,2.01839,2.01839,8641
2001-02-23,2.18,2.28,2.18,2.18,2.18,0
2001-02-26,2.16,2.2,2.16,2.16,2.16,0
2001-02-27,1.99988,1.99988,1.99988,1.99988,1.99988,19441
2001-02-28,2.16,2.2,2.16,2.16,2.16,0
2001-03-01,1.99988,1.99988,1.98136,1.99988,1.99988,2160134
2001-03-02,2.01839,2.03691,1.99988,2.03691,2.03691,24842
2001-03-05,2.03691,2.03691,2.03691,2.03691,2.03691,10801
2001-03-06,1.99988,1.99988,1.99988,1.99988,1.99988,2160
2001-03-07,2.16,2.2,2.16,2.16,2.16,0
2001-03-08,2.16,2.2,2.16,2.16,2.16,0
2001-03-09,2.01839,2.01839,2.01839,2.01839,2.01839,1080
2001-03-12,2.1,2.2,2.1,2.1,2.1,0
2001-03-13,1.94432,1.94432,1.94432,1.94432,1.94432,2592161
2001-03-15,2.02,2.2,2.02,2.02,2.02,0
2001-03-16,1.94432,1.94432,1.94432,1.94432,1.94432,3240201
2001-03-19,1.87025,1.87025,1.85174,1.85174,1.85174,32402
2001-03-20,1.8,2.3,1.8,1.8,1.8,0
2001-03-21,1.8,2.3,1.8,1.8,1.8,0
2001-03-22,1.6,2.3,1.6,1.6,1.6,0
2001-03-23,1.6,2.3,1.6,1.6,1.6,0
2001-03-26,1.7,2.3,1.7,1.7,1.7,0
2001-03-27,1.76,2.3,1.76,1.76,1.76,0
2001-03-28,1.76,2.3,1.76,1.76,1.76,0
2001-03-29,1.8,2.3,1.8,1.8,1.8,0
2001-03-30,1.86,2.3,1.86,1.86,1.86,0
2001-04-02,1.86,2.34,1.86,1.86,1.86,0
2001-04-03,1.86,2.34,1.86,1.86,1.86,0
2001-04-04,1.86,2.34,1.86,1.86,1.86,0
2001-04-05,1.86,2.34,1.86,1.86,1.86,0
2001-04-06,1.86,2.34,1.86,1.86,1.86,0
2001-04-10,2.0,2.5,2.0,2.0,2.0,0
2001-04-11,2.1,2.5,2.1,2.1,2.1,0
2001-04-16,2.1,2.5,2.1,2.1,2.1,0
2001-04-17,2.1,2.5,2.1,2.1,2.1,0
2001-04-18,2.0,2.5,2.0,2.0,2.0,0
2001-04-19,2.0,2.5,2.0,2.0,2.0,0
2001-04-20,2.0,2.5,2.0,2.0,2.0,0
2001-04-23,2.0,2.5,2.0,2.0,2.0,0
2001-04-24,2.0,2.5,2.0,2.0,2.0,0
2001-04-25,2.0,2.5,2.0,2.0,2.0,0
2001-04-26,2.0,2.5,2.0,2.0,2.0,0
2001-04-27,2.1,2.26,2.1,2.1,2.1,0
2001-04-30,2.1,2.5,2.1,2.1,2.1,0
2001-05-02,2.1,2.5,2.1,2.1,2.1,0
2001-05-03,2.1,2.5,2.1,2.1,2.1,0
2001-05-04,2.1,2.5,2.1,2.1,2.1,0
2001-05-07,2.1,2.5,2.1,2.1,2.1,0
2001-05-08,2.1,2.5,2.1,2.1,2.1,0
2001-05-09,2.1,2.5,2.1,2.1,2.1,0
2001-05-10,2.1,2.5,2.1,2.1,2.1,0
2001-05-11,2.1,2.5,2.1,2.1,2.1,0
2001-05-15,1.94432,1.94432,1.85174,1.87025,1.87025,61564
2001-05-16,1.87025,1.87025,1.85174,1.85174,1.85174,75605
2001-05-17,2.0,2.4,2.0,2.0,2.0,0
2001-05-18,2.0,2.4,2.0,2.0,2.0,0
2001-05-21,2.04,2.26,2.04,2.04,2.04,0
2001-05-22,2.06,2.26,2.06,2.06,2.06,0
2001-05-23,2.06,2.26,2.06,2.06,2.06,0
2001-05-24,2.06,2.26,2.06,2.06,2.06,0
2001-05-25,2.06,2.26,2.06,2.06,2.06,0
2001-05-29,2.02,2.26,2.02,2.02,2.02,0
2001-05-30,2.02,2.26,2.02,2.02,2.02,0
2001-05-31,2.02,2.26,2.02,2.02,2.02,0
2001-06-01,2.04,2.26,2.04,2.04,2.04,0
2001-06-04,2.04,2.26,2.04,2.04,2.04,0
2001-06-05,1.88877,1.88877,1.88877,1.88877,1.88877,1080
2001-06-06,2.04,2.26,2.04,2.04,2.04,0
2001-06-07,1.88877,1.88877,1.88877,1.88877,1.88877,10801
2001-06-08,2.02,2.26,2.02,2.02,2.02,0
2001-06-11,2.0,2.26,2.0,2.0,2.0,0
2001-06-13,2.02,2.1,2.02,2.02,2.02,0
2001-06-14,2.02,2.1,2.02,2.02,2.02,0
2001-06-15,2.04,2.26,2.04,2.04,2.04,0
2001-06-18,1.82,2.04,1.82,1.82,1.82,0
2001-06-19,2.0,2.1,2.0,2.0,2.0,0
2001-06-20,1.82,2.0,1.82,1.82,1.82,0
2001-06-21,2.0,2.1,2.0,2.0,2.0,0
2001-06-22,2.0,2.3,2.0,2.0,2.0,0
2001-06-25,1.8,2.1,1.8,1.8,1.8,0
2001-06-26,2.0,2.04,2.0,2.0,2.0,0
2001-06-27,2.02,2.04,2.02,2.02,2.02,0
2001-06-28,1.87025,1.87025,1.85174,1.85174,1.85174,2214137
2001-06-29,1.85174,1.85174,1.85174,1.85174,1.85174,25922
2001-07-02,2.0,2.02,2.0,2.0,2.0,0
2001-07-03,2.0,2.04,2.0,2.0,2.0,0
2001-07-05,1.88877,2.4,1.88877,2.02,2.02,10801
2001-07-06,2.0,2.1,2.0,2.0,2.0,0
2001-07-09,2.0,2.4,2.0,2.0,2.0,0
2001-07-10,2.0,2.1,2.0,2.0,2.0,0
2001-07-11,2.02,2.1,2.02,2.02,2.02,0
2001-07-12,1.94432,1.94432,1.88877,1.88877,1.88877,2170935
2001-07-13,2.04,2.16,2.04,2.04,2.04,0
2001-07-16,2.02,2.16,2.02,2.02,2.02,0
2001-07-17,2.02,2.16,2.02,2.02,2.02,0
2001-07-18,2.0,2.06,2.0,2.0,2.0,0
2001-07-19,2.0,2.1,2.0,2.0,2.0,0
2001-07-20,2.02,2.04,2.02,2.02,2.02,0
2001-07-23,1.88877,1.88877,1.88877,1.88877,1.88877,2700168
2001-07-24,1.85174,1.85174,1.85174,1.85174,1.85174,657761
2001-07-25,1.85174,1.85174,1.85174,1.85174,1.85174,10801
2001-07-26,1.85174,1.85174,1.85174,1.85174,1.85174,108007
2001-07-27,1.87025,1.87025,1.87025,1.87025,1.87025,2160
2001-07-30,2.02,2.04,2.02,2.02,2.02,0
2001-07-31,1.87025,1.87025,1.85174,1.85174,1.85174,47523
2001-08-01,1.85174,1.85174,1.85174,1.85174,1.85174,177131
2001-08-02,1.87025,1.87025,1.85174,1.85174,1.85174,37802
2001-08-03,1.87025,1.87025,1.87025,1.87025,1.87025,2160
2001-08-06,1.85174,1.85174,1.85174,1.85174,1.85174,56163
2001-08-07,1.85174,1.85174,1.85174,1.85174,1.85174,1080
2001-08-08,1.85174,1.85174,1.85174,1.85174,1.85174,108007
2001-08-09,2.0,2.02,2.0,2.0,2.0,0
2001-08-10,2.0,2.02,2.0,2.0,2.0,0
2001-08-13,2.0,2.02,2.0,2.0,2.0,0
2001-08-14,2.0,2.02,2.0,2.0,2.0,0
2001-08-15,1.85174,1.87025,1.85174,1.87025,1.87025,16201
2001-08-16,2.0,2.02,2.0,2.0,2.0,0
2001-08-17,2.0,2.06,2.0,2.0,2.0,0
2001-08-20,2.0,2.04,2.0,2.0,2.0,0
2001-08-21,2.0,2.04,2.0,2.0,2.0,0
2001-08-22,1.85174,1.85174,1.85174,1.85174,1.85174,7560
2001-08-23,1.85174,1.85174,1.85174,1.85174,1.85174,1080
2001-08-24,1.83322,1.83322,1.83322,1.83322,1.83322,108007
2001-08-27,1.98,2.02,1.98,1.98,1.98,0
2001-08-28,1.98,2.02,1.98,1.98,1.98,0
2001-08-29,1.83322,1.83322,1.83322,1.83322,1.83322,2160
2001-08-30,1.83322,1.83322,1.83322,1.83322,1.83322,27002
2001-08-31,1.94,2.4,1.94,1.94,1.94,0
2001-09-04,1.94,2.2,1.79618,1.79618,1.79618,37802
2001-09-06,1.94,2.2,1.94,1.94,1.94,0
2001-09-07,1.79618,1.79618,1.79618,1.79618,1.79618,11881
2001-09-10,1.94,2.2,1.94,1.94,1.94,0
2001-09-17,1.94,2.2,1.48139,1.48139,1.48139,74525
2001-09-18,1.6,2.04,1.6,1.6,1.6,0
2001-09-27,1.48139,1.48139,1.48139,1.48139,1.48139,21601
2001-10-03,1.66656,1.66656,1.66656,1.66656,1.66656,5400
2001-10-04,1.66656,1.66656,1.66656,1.66656,1.66656,2160
2001-10-05,1.48139,1.48139,1.48139,1.48139,1.48139,9306937
2001-10-10,1.3888,1.3888,1.3888,1.3888,1.3888,844612
2001-10-18,1.3888,1.3888,1.3888,1.3888,1.3888,5400
2001-10-22,1.29622,1.29622,1.29622,1.29622,1.29622,10801
2001-10-23,1.29622,1.29622,1.29622,1.29622,1.29622,101526
2001-10-24,1.4,1.5,1.4,1.4,1.4,0
2001-10-25,1.4,1.5,1.4,1.4,1.4,0
2001-10-26,1.29622,1.29622,1.29622,1.29622,1.29622,25922
2001-11-16,1.29622,1.29622,1.29622,1.29622,1.29622,18361
2001-11-23,1.29622,1.29622,1.29622,1.29622,1.29622,1080
2001-12-06,1.3888,1.3888,1.3888,1.3888,1.3888,21601
2001-12-13,1.52,2.24,1.52,1.52,1.52,0
2001-12-14,1.42,2.24,1.42,1.42,1.42,0
2001-12-18,1.42,2.24,1.42,1.42,1.42,0
2001-12-19,1.4,2.24,1.4,1.4,1.4,0
2001-12-27,1.3888,1.3888,1.3888,1.3888,1.3888,14041
2002-01-09,1.37029,1.37029,1.37029,1.37029,1.37029,9721
2002-01-22,1.42,1.7,1.42,1.42,1.42,0
2002-01-23,1.44,2.2,1.44,1.44,1.44,0
2002-01-24,1.5,2.2,1.5,1.5,1.5,0
2002-01-25,1.5,2.2,1.5,1.5,1.5,0
2002-01-28,1.48,2.2,1.48,1.48,1.48,0
2002-01-29,1.35177,1.35177,1.35177,1.35177,1.35177,1080
2002-01-30,1.35177,1.35177,1.35177,1.35177,1.35177,1080
2002-02-01,1.40732,1.44435,1.40732,1.44435,1.44435,43203
2002-02-04,1.58,2.0,1.58,1.58,1.58,0
2002-02-05,1.46287,1.48139,1.46287,1.48139,1.48139,39962
2002-02-06,1.68,2.0,1.68,1.68,1.68,0
2002-02-07,1.64,2.0,1.64,1.64,1.64,0
2002-02-08,1.62,2.38,1.62,1.62,1.62,0
2002-02-11,1.68,1.9,1.68,1.68,1.68,0
2002-02-12,1.62953,1.68508,1.62953,1.68508,1.68508,48603
2002-02-13,1.72212,1.75915,1.72212,1.75915,1.75915,10801
2002-02-14,1.66656,1.66656,1.64805,1.64805,1.64805,70204
2002-02-21,1.86,2.2,1.86,1.86,1.86,0
2002-02-22,1.64805,1.64805,1.64805,1.64805,1.64805,4320
2002-02-26,1.78,2.2,1.78,1.78,1.78,0
2002-02-27,1.66656,1.66656,1.66656,1.66656,1.66656,1080
2002-02-28,1.8,2.2,1.8,1.8,1.8,0
2002-03-01,1.66656,1.66656,1.66656,1.66656,1.66656,1080
2002-03-04,1.8,2.2,1.8,1.8,1.8,0
2002-03-05,1.78,2.16,1.78,1.78,1.78,0
2002-03-06,1.8,2.16,1.8,1.8,1.8,0
2002-03-07,1.72,2.16,1.72,1.72,1.72,0
2002-03-08,1.7,2.16,1.7,1.7,1.7,0
