Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,8.14062,8.25,8.03125,8.1875,0.865861,109600
1982-01-04,8.15625,8.15625,8.125,8.125,0.859252,80800
1982-01-05,8.03125,8.125,7.90625,7.90625,0.836118,138400
1982-01-06,7.78125,7.90625,7.65625,7.71875,0.816288,151600
1982-01-07,7.6875,7.71875,7.625,7.65625,0.809679,96800
1982-01-08,7.71875,7.75,7.65625,7.6875,0.812983,258800
1982-01-11,7.59375,7.6875,7.46875,7.46875,0.78985,160000
1982-01-12,7.3125,7.46875,7.125,7.28125,0.770021,249200
1982-01-13,7.21875,7.3125,7.125,7.15625,0.756802,227200
1982-01-14,7.1875,7.25,7.125,7.1875,0.760107,52800
1982-01-15,7.25,7.3125,7.1875,7.25,0.766716,75200
1982-01-18,7.1875,7.25,7.09375,7.09375,0.750192,243200
1982-01-19,7.28125,7.34375,7.21875,7.3125,0.773326,395600
1982-01-20,7.5,7.65625,7.3125,7.59375,0.803069,548000
1982-01-21,7.75,7.8125,7.65625,7.75,0.819593,395600
1982-01-22,7.71875,7.75,7.6875,7.71875,0.816288,341600
1982-01-25,7.6875,7.71875,7.625,7.71875,0.816288,253600
1982-01-26,7.75,7.8125,7.65625,7.65625,0.809679,262800
1982-01-27,7.59375,7.65625,7.5,7.5,0.793155,349600
1982-01-28,7.53125,7.59375,7.46875,7.5,0.793155,154000
1982-01-29,7.71875,7.84375,7.5625,7.8125,0.826203,309600
1982-02-01,7.71875,7.78125,7.625,7.625,0.806374,272000
1982-02-02,7.625,7.6875,7.53125,7.625,0.806374,140400
1982-02-03,7.65625,7.75,7.5625,7.5625,0.799765,142000
1982-02-04,7.59375,7.625,7.53125,7.5625,0.799765,93600
1982-02-05,7.8125,7.90625,7.6875,7.875,0.832812,149600
1982-02-08,8.0,8.0625,7.90625,7.9375,0.839422,177200
1982-02-09,8.0,8.03125,7.96875,8.0,0.846032,108400
1982-02-10,8.0625,8.15625,7.9375,7.9375,0.839422,299200
1982-02-11,7.96875,7.96875,7.9375,7.9375,0.839422,138800
1982-02-12,7.9375,7.96875,7.90625,7.9375,0.839422,42400
1982-02-16,7.71875,7.75,7.6875,7.71875,0.82644,258400
1982-02-17,7.71875,7.78125,7.625,7.625,0.816402,221200
1982-02-18,7.59375,7.65625,7.5,7.5625,0.80971,101200
1982-02-19,7.46875,7.53125,7.40625,7.40625,0.792981,254400
1982-02-22,7.5,7.5625,7.4375,7.4375,0.796327,174800
1982-02-23,7.3125,7.40625,7.1875,7.3125,0.782943,281200
1982-02-24,7.25,7.3125,7.1875,7.21875,0.772905,208000
1982-02-25,7.21875,7.25,7.1875,7.1875,0.769559,405200
1982-02-26,7.21875,7.25,7.15625,7.15625,0.766214,72000
1982-03-01,7.21875,7.28125,7.125,7.125,0.762868,287200
1982-03-02,7.1875,7.21875,7.125,7.125,0.762868,124400
1982-03-03,7.09375,7.09375,7.0625,7.0625,0.756176,262800
1982-03-04,7.03125,7.09375,6.96875,6.96875,0.746138,157600
1982-03-05,6.9375,7.0,6.875,6.90625,0.739446,179200
1982-03-08,6.53125,6.75,6.28125,6.28125,0.672528,782800
1982-03-09,6.4375,6.59375,6.28125,6.46875,0.692604,776400
1982-03-10,6.75,6.90625,6.59375,6.8125,0.729409,308000
1982-03-11,6.8125,6.9375,6.65625,6.65625,0.712679,330800
1982-03-12,6.59375,6.625,6.53125,6.5625,0.702641,127200
1982-03-15,6.59375,6.625,6.5625,6.625,0.709333,90400
1982-03-16,6.71875,6.84375,6.59375,6.75,0.722717,618800
1982-03-17,6.75,6.8125,6.6875,6.78125,0.726063,107200
1982-03-18,6.8125,6.84375,6.75,6.78125,0.726063,57200
1982-03-19,6.8125,6.84375,6.78125,6.78125,0.726063,84400
1982-03-22,6.96875,7.09375,6.8125,7.0625,0.756176,164000
1982-03-23,7.03125,7.125,6.90625,6.90625,0.739446,168400
1982-03-24,6.9375,7.03125,6.84375,6.875,0.7361,237600
1982-03-25,6.90625,6.9375,6.875,6.9375,0.742792,216000
1982-03-26,6.9375,6.96875,6.90625,6.90625,0.739446,121600
1982-03-29,6.9375,6.96875,6.875,6.875,0.7361,52400
1982-03-30,6.875,6.90625,6.8125,6.8125,0.729409,319200
1982-03-31,6.65625,6.8125,6.5,6.5,0.695949,320800
1982-04-01,6.625,6.78125,6.46875,6.78125,0.726063,218800
1982-04-02,6.9375,6.96875,6.90625,6.96875,0.746138,246400
1982-04-05,6.96875,7.0,6.90625,6.96875,0.746138,410000
1982-04-06,6.9375,6.96875,6.875,6.90625,0.739446,178800
1982-04-07,6.875,6.90625,6.84375,6.875,0.7361,83600
1982-04-08,6.78125,6.84375,6.71875,6.75,0.722717,164000
1982-04-12,6.65625,6.75,6.5625,6.65625,0.712679,212400
1982-04-13,6.75,6.8125,6.6875,6.71875,0.719371,404400
1982-04-14,6.78125,6.8125,6.75,6.78125,0.726063,65200
1982-04-15,6.84375,6.875,6.78125,6.84375,0.732754,219200
1982-04-16,6.8125,6.84375,6.78125,6.8125,0.729409,575200
1982-04-19,6.875,6.90625,6.8125,6.875,0.7361,898400
1982-04-20,7.0,7.125,6.875,7.0625,0.756176,666400
1982-04-21,7.21875,7.375,7.03125,7.1875,0.769559,321600
1982-04-22,7.3125,7.4375,7.15625,7.34375,0.786289,471200
1982-04-23,7.46875,7.59375,7.3125,7.5625,0.80971,490400
1982-04-26,7.6875,7.78125,7.59375,7.78125,0.833132,366400
1982-04-27,7.875,7.90625,7.8125,7.90625,0.846515,494800
1982-04-28,7.96875,8.0625,7.84375,7.875,0.84317,573600
1982-04-29,7.78125,7.84375,7.71875,7.71875,0.82644,323200
1982-04-30,7.71875,7.75,7.6875,7.75,0.829786,163200
1982-05-03,7.71875,7.75,7.65625,7.71875,0.82644,137200
1982-05-04,7.875,8.0,7.71875,7.90625,0.846515,183200
1982-05-05,8.03125,8.125,7.90625,8.0,0.856553,551200
1982-05-06,8.125,8.25,8.0,8.1875,0.876629,432800
1982-05-07,8.40625,8.5,8.28125,8.5,0.910088,802400
1982-05-10,8.4375,8.5,8.375,8.40625,0.90005,1247200
1982-05-11,8.3125,8.40625,8.1875,8.375,0.907227,540000
1982-05-12,8.3125,8.375,8.21875,8.25,0.893686,216000
1982-05-13,8.25,8.28125,8.1875,8.1875,0.886915,167200
1982-05-14,8.1875,8.21875,8.15625,8.15625,0.88353,110800
1982-05-17,8.03125,8.125,7.90625,7.9375,0.859835,153600
