Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,9.3125,9.40625,9.21875,9.34375,3.665943,382000
1982-01-04,9.25,9.375,9.09375,9.1875,3.638715,271200
1982-01-05,8.9375,9.1875,8.65625,8.8125,3.490194,903200
1982-01-06,8.75,8.84375,8.65625,8.84375,3.502573,726800
1982-01-07,8.875,8.96875,8.78125,8.84375,3.502573,432000
1982-01-08,8.78125,8.875,8.6875,8.75,3.465442,693600
1982-01-11,8.75,8.875,8.5,8.53125,3.378805,930800
1982-01-12,8.625,8.8125,8.4375,8.75,3.465442,714000
1982-01-13,8.84375,8.9375,8.71875,8.75,3.465442,761600
1982-01-14,8.75,8.84375,8.65625,8.8125,3.490194,367200
1982-01-15,8.8125,8.875,8.75,8.78125,3.477818,456400
1982-01-18,8.78125,8.875,8.65625,8.875,3.514947,1110000
1982-01-19,8.75,8.90625,8.59375,8.625,3.415935,669200
1982-01-20,8.6875,8.71875,8.625,8.6875,3.440686,352400
1982-01-21,8.65625,8.71875,8.59375,8.625,3.415935,324800
1982-01-22,8.65625,8.6875,8.59375,8.625,3.415935,539200
1982-01-25,8.59375,8.625,8.53125,8.625,3.415935,286800
1982-01-26,8.71875,8.8125,8.625,8.6875,3.440686,553200
1982-01-27,8.625,8.6875,8.53125,8.59375,3.403559,830800
1982-01-28,8.875,9.125,8.625,9.125,3.613962,1855200
1982-01-29,9.0625,9.125,9.0,9.0625,3.589205,802000
1982-02-01,8.875,9.03125,8.6875,8.6875,3.440686,390800
1982-02-02,8.90625,8.96875,8.8125,8.9375,3.539701,547200
1982-02-03,8.9375,9.03125,8.8125,8.8125,3.490194,492000
1982-02-04,8.90625,8.9375,8.84375,8.90625,3.527324,345600
1982-02-05,9.0625,9.125,8.96875,9.09375,3.601584,424800
1982-02-08,9.03125,9.125,8.90625,8.90625,3.527324,699200
1982-02-09,8.875,8.9375,8.8125,8.8125,3.490194,518400
1982-02-10,8.90625,8.96875,8.84375,8.9375,3.539701,378800
1982-02-11,8.96875,9.09375,8.84375,8.90625,3.527324,487200
1982-02-12,8.875,8.9375,8.78125,8.78125,3.477818,420000
1982-02-16,8.65625,8.71875,8.5625,8.6875,3.440686,800800
1982-02-17,8.625,8.71875,8.5,8.5625,3.391183,437200
1982-02-18,8.5625,8.625,8.5,8.625,3.415935,796800
1982-02-19,8.65625,8.71875,8.59375,8.59375,3.403559,363200
1982-02-22,8.15625,8.5,7.78125,7.78125,3.081768,2474800
1982-02-23,7.84375,7.96875,7.6875,7.96875,3.156027,1851600
1982-02-24,7.8125,8.09375,7.53125,7.75,3.069389,1086000
1982-02-25,7.96875,8.0625,7.875,7.90625,3.131274,1173600
1982-02-26,7.875,7.9375,7.8125,7.875,3.118897,206000
1982-03-01,7.9375,8.03125,7.8125,8.03125,3.180781,606000
1982-03-02,8.15625,8.25,8.0625,8.0625,3.193158,963600
1982-03-03,7.96875,8.0625,7.875,7.875,3.118897,1002400
1982-03-04,7.875,7.9375,7.8125,7.84375,3.106521,864800
1982-03-05,7.78125,7.9375,7.59375,7.625,3.019885,705600
1982-03-08,7.65625,7.78125,7.53125,7.625,3.019885,427600
1982-03-09,7.625,7.78125,7.46875,7.71875,3.057014,1365600
1982-03-10,7.78125,7.84375,7.71875,7.78125,3.081768,644800
1982-03-11,7.53125,7.65625,7.40625,7.40625,2.93325,1260400
1982-03-12,7.28125,7.375,7.1875,7.3125,2.89612,795600
1982-03-15,7.1875,7.3125,7.0625,7.3125,2.89612,590400
1982-03-16,7.40625,7.5,7.28125,7.28125,2.883741,627200
1982-03-17,7.3125,7.375,7.25,7.34375,2.908496,547600
1982-03-18,7.625,7.875,7.375,7.78125,3.081768,283200
1982-03-19,7.875,8.0,7.78125,8.0,3.168403,1168400
1982-03-22,8.15625,8.3125,7.96875,8.28125,3.279792,1693600
1982-03-23,8.4375,8.5625,8.28125,8.375,3.316923,927200
1982-03-24,8.21875,8.40625,8.0,8.03125,3.180781,370000
1982-03-25,8.03125,8.15625,7.90625,8.09375,3.205535,456000
1982-03-26,8.15625,8.21875,8.0625,8.125,3.217911,188000
1982-03-29,8.125,8.21875,8.03125,8.1875,3.242664,254000
1982-03-30,8.21875,8.25,8.1875,8.1875,3.242664,268800
1982-03-31,8.15625,8.21875,8.0625,8.0625,3.193158,829600
1982-04-01,8.03125,8.1875,7.875,8.0625,3.193158,430400
1982-04-02,8.28125,8.40625,8.125,8.375,3.316923,395600
1982-04-05,8.53125,8.625,8.40625,8.4375,3.341674,653600
1982-04-06,8.21875,8.34375,8.09375,8.15625,3.264138,1581200
1982-04-07,8.21875,8.3125,8.125,8.25,3.301655,595200
1982-04-08,8.4375,8.53125,8.3125,8.53125,3.414213,837200
1982-04-12,8.625,8.75,8.5,8.75,3.501757,795200
1982-04-13,8.75,8.8125,8.65625,8.65625,3.464237,342400
1982-04-14,8.6875,8.75,8.59375,8.75,3.501757,666800
1982-04-15,8.75,8.90625,8.5625,8.90625,3.564289,686800
1982-04-16,8.96875,9.125,8.78125,9.09375,3.639323,975600
1982-04-19,9.03125,9.15625,8.90625,8.9375,3.576795,438800
1982-04-20,8.875,8.9375,8.8125,8.84375,3.539274,723600
1982-04-21,8.9375,9.0,8.84375,8.9375,3.576795,483600
1982-04-22,9.03125,9.09375,8.9375,9.0625,3.626821,798000
1982-04-23,9.15625,9.1875,9.09375,9.125,3.651832,783600
1982-04-26,9.125,9.1875,9.03125,9.03125,3.614312,678400
1982-04-27,9.0,9.09375,8.90625,8.90625,3.564289,419600
1982-04-28,8.71875,8.90625,8.5,8.5625,3.426718,805600
1982-04-29,8.5,8.625,8.375,8.4375,3.376693,623600
1982-04-30,8.59375,8.71875,8.4375,8.59375,3.439224,406800
1982-05-03,8.78125,8.84375,8.6875,8.75,3.501757,372000
1982-05-04,9.0,9.15625,8.8125,9.125,3.651832,727600
1982-05-05,9.21875,9.28125,9.15625,9.1875,3.676844,442800
1982-05-06,9.25,9.375,9.125,9.28125,3.714363,1033200
1982-05-07,9.40625,9.46875,9.3125,9.375,3.751883,471200
1982-05-10,9.3125,9.4375,9.15625,9.15625,3.664339,612800
1982-05-11,9.1875,9.25,9.09375,9.09375,3.639323,714800
1982-05-12,9.0625,9.15625,8.9375,9.0,3.601805,622000
1982-05-13,9.0,9.09375,8.90625,8.9375,3.576795,301200
1982-05-14,8.90625,8.96875,8.8125,8.84375,3.539274,154000
1982-05-17,8.78125,8.8125,8.75,8.8125,3.526768,127200
1982-05-18,8.78125,8.84375,8.6875,8.75,3.501757,210400
1982-05-19,8.71875,8.8125,8.625,8.65625,3.464237,208800
1982-05-20,8.65625,8.71875,8.59375,8.6875,3.476743,174400
1982-05-21,8.78125,8.875,8.6875,8.71875,3.489252,297200
1982-05-24,8.6875,8.71875,8.625,8.65625,3.464237,318800
1982-05-25,8.6875,8.78125,8.59375,8.59375,3.439224,476400
1982-05-26,8.34375,8.5,8.1875,8.1875,3.276643,877200
1982-05-27,8.25,8.375,8.125,8.125,3.251629,724400
1982-05-28,8.1875,8.25,8.125,8.1875,3.276643,975200
1982-06-01,8.40625,8.53125,8.25,8.4375,3.376693,1042400
1982-06-02,8.40625,8.46875,8.3125,8.4375,3.376693,520400
1982-06-03,8.5,8.5625,8.4375,8.53125,3.414213,603600
1982-06-04,8.46875,8.53125,8.375,8.40625,3.364187,432800
1982-06-07,8.4375,8.53125,8.34375,8.4375,3.376693,264000
1982-06-08,8.40625,8.5,8.3125,8.375,3.351681,539600
1982-06-09,8.46875,8.53125,8.375,8.5,3.401707,1034800
1982-06-10,8.5,8.5625,8.40625,8.46875,3.389199,1482400
1982-06-11,8.65625,8.75,8.5625,8.65625,3.464237,2079200
1982-06-14,8.625,8.65625,8.5625,8.625,3.45173,568400
1982-06-15,8.625,8.6875,8.53125,8.6875,3.476743,345200
1982-06-16,8.625,8.75,8.5,8.625,3.45173,666400
1982-06-17,8.5625,8.625,8.5,8.5625,3.426718,805200
1982-06-18,8.5,8.5625,8.40625,8.40625,3.364187,430000
1982-06-21,8.375,8.46875,8.28125,8.375,3.351681,603600
1982-06-22,8.53125,8.6875,8.375,8.6875,3.476743,343600
1982-06-23,8.8125,8.96875,8.65625,8.96875,3.5893,690400
1982-06-24,9.09375,9.25,8.9375,9.125,3.651832,1220400
1982-06-25,9.125,9.1875,9.0625,9.125,3.651832,155600
1982-06-28,9.09375,9.1875,9.0,9.125,3.651832,507200
1982-06-29,9.0625,9.15625,8.96875,9.0,3.601805,396800
1982-06-30,9.09375,9.125,9.0625,9.09375,3.639323,712000
1982-07-01,8.96875,9.0625,8.875,8.875,3.551777,397200
1982-07-02,8.78125,8.875,8.6875,8.84375,3.574517,504800
1982-07-06,8.875,8.9375,8.8125,8.90625,3.599779,557600
1982-07-07,9.09375,9.21875,8.96875,9.15625,3.700825,1162000
1982-07-08,9.40625,9.75,9.0625,9.6875,3.91555,1147600
1982-07-09,9.625,9.78125,9.4375,9.71875,3.92818,1137200
1982-07-12,9.875,10.0,9.75,9.75,3.940809,1664000
1982-07-13,10.25,10.34375,9.90625,10.0625,4.067118,1576400
1982-07-14,9.9375,10.0,9.75,9.75,3.940809,1664000
1982-07-15,9.5625,9.8125,9.3125,9.8125,3.966071,2314000
1982-07-16,9.65625,9.8125,9.5,9.65625,3.902917,1591200
1982-07-19,9.8125,9.875,9.75,9.8125,3.966071,1227200
1982-07-20,9.84375,9.96875,9.71875,9.96875,4.029225,1158400
1982-07-21,10.0,10.09375,9.875,9.90625,4.003966,716000
1982-07-22,9.90625,9.96875,9.8125,9.96875,4.029225,506800
1982-07-23,9.96875,10.03125,9.90625,9.9375,4.016593,484800
1982-07-26,9.9375,10.03125,9.84375,10.0,4.041855,606400
1982-07-27,9.90625,9.96875,9.8125,9.84375,3.978701,834000
1982-07-28,9.625,9.84375,9.53125,9.65625,3.902917,1005200
1982-07-29,9.625,9.8125,9.4375,9.8125,3.966071,553200
1982-07-30,9.75,9.8125,9.65625,9.65625,3.902917,438800
1982-08-02,9.8125,9.9375,9.6875,9.9375,4.016593,847600
1982-08-03,9.9375,10.0,9.84375,9.84375,3.978701,519600
1982-08-04,9.65625,9.84375,9.4375,9.5625,3.865026,706400
1982-08-05,9.375,9.5,9.21875,9.28125,3.751348,582800
1982-08-06,9.15625,9.28125,9.0,9.03125,3.6503,458400
1982-08-09,9.0,9.125,8.84375,9.125,3.688193,702800
1982-08-10,9.09375,9.21875,8.9375,9.0625,3.662932,556800
1982-08-11,9.0625,9.125,8.96875,9.09375,3.675563,222400
1982-08-12,9.03125,9.125,8.9375,8.96875,3.625039,284000
1982-08-13,8.75,8.875,8.625,8.65625,3.498732,673200
1982-08-16,9.03125,9.25,8.78125,8.875,3.587147,1031600
1982-08-17,9.28125,9.59375,8.9375,9.59375,3.877656,1000800
1982-08-18,9.71875,10.0,9.4375,9.5625,3.865026,1461200
1982-08-19,9.59375,9.71875,9.46875,9.5625,3.865026,960000
1982-08-20,9.8125,10.0,9.59375,10.0,4.041855,814800
1982-08-23,9.9375,10.125,9.71875,10.125,4.092377,1530800
1982-08-24,10.0,10.15625,9.8125,9.90625,4.003966,1534800
1982-08-25,9.90625,10.0,9.8125,9.90625,4.003966,771200
1982-08-26,10.1875,10.375,10.0,10.375,4.193427,950400
1982-08-27,10.28125,10.375,10.1875,10.25,4.142903,1020800
1982-08-30,10.25,10.4375,10.03125,10.4375,4.218686,468400
1982-08-31,10.6875,10.875,10.46875,10.71875,4.332362,1112400
1982-09-01,10.625,10.9375,10.3125,10.4375,4.218686,879600
1982-09-02,10.6875,11.0625,10.3125,11.0,4.446039,797600
1982-09-03,11.25,11.4375,11.0625,11.25,4.547086,1562000
1982-09-07,11.15625,11.3125,11.0,11.0,4.446039,782000
1982-09-08,10.875,11.0,10.75,10.8125,4.370256,873600
1982-09-09,10.75,10.90625,10.5625,10.6875,4.319734,668400
1982-09-10,10.75,10.84375,10.65625,10.84375,4.382889,488000
1982-09-13,10.875,11.03125,10.6875,11.03125,4.458671,549200
1982-09-14,11.3125,11.46875,11.125,11.375,4.597611,1017200
1982-09-15,11.375,11.5,11.25,11.40625,4.610241,774000
1982-09-16,11.375,11.46875,11.25,11.3125,4.57235,860800
1982-09-17,11.25,11.3125,11.15625,11.15625,4.509194,587200
1982-09-20,11.03125,11.09375,10.96875,11.0,4.446039,632800
1982-09-21,10.84375,11.09375,10.5625,10.6875,4.319734,1180400
1982-09-22,10.90625,11.03125,10.75,10.78125,4.357625,1622400
1982-09-23,11.0625,11.34375,10.75,11.3125,4.57235,660000
1982-09-24,11.0625,11.21875,10.875,10.875,4.395518,852400
1982-09-27,10.84375,10.90625,10.78125,10.90625,4.408151,570000
1982-09-28,10.8125,10.96875,10.65625,10.65625,4.307105,1334400
1982-09-29,10.5,10.65625,10.34375,10.375,4.193427,1124000
1982-09-30,10.21875,10.375,10.0625,10.21875,4.13027,648400
1982-10-01,10.21875,10.4375,10.0,10.40625,4.206057,776400
1982-10-04,10.375,10.5625,10.1875,10.5625,4.305412,366400
1982-10-05,10.5625,10.625,10.5,10.5625,4.305412,439600
1982-10-06,10.71875,11.0625,10.375,11.0625,4.509219,1208800
1982-10-07,11.25,11.5625,10.90625,11.25,4.585645,1626000
1982-10-08,11.1875,11.34375,11.0,11.3125,4.611122,884400
1982-10-11,11.1875,11.5,10.875,11.0,4.483743,1083600
1982-10-12,11.0,11.125,10.5,10.75,4.381839,1064000
1982-10-13,10.75,11.15625,10.5625,10.96875,4.471002,1060800
1982-10-14,10.9375,11.03125,10.8125,10.96875,4.471002,918000
1982-10-15,10.90625,11.0625,10.71875,10.84375,4.420053,978400
1982-10-18,11.0625,11.40625,10.71875,11.28125,4.598385,1324400
1982-10-19,11.6875,11.875,11.46875,11.875,4.840403,1456800
1982-10-20,12.03125,12.25,11.78125,12.25,4.993259,1042000
1982-10-21,12.09375,12.375,11.8125,12.34375,5.031473,1923600
1982-10-22,12.15625,12.46875,11.8125,12.0,4.891358,1126000
1982-10-25,11.59375,11.8125,11.375,11.4375,4.662072,608000
1982-10-26,11.3125,11.46875,11.15625,11.46875,4.674813,1412800
1982-10-27,11.5625,11.71875,11.375,11.5,4.687551,813600
1982-10-28,11.46875,11.59375,11.3125,11.34375,4.623859,479200
1982-10-29,10.96875,11.1875,10.75,10.9375,4.458267,2145600
1982-11-01,11.09375,11.3125,10.875,11.25,4.585645,1050800
1982-11-02,11.40625,11.5625,11.25,11.4375,4.662072,1289200
1982-11-03,11.84375,12.1875,11.5,12.03125,4.904095,1217600
1982-11-04,12.15625,12.34375,11.9375,12.0625,4.916831,1206800
1982-11-05,12.0625,12.25,11.875,12.0625,4.916831,829200
1982-11-08,11.90625,12.0,11.78125,11.8125,4.814928,404000
1982-11-09,11.9375,12.09375,11.75,11.875,4.840403,437200
1982-11-10,11.65625,11.96875,11.3125,11.40625,4.649334,873600
1982-11-11,11.125,11.25,11.0,11.25,4.585645,726400
1982-11-12,11.0625,11.21875,10.90625,10.9375,4.458267,641600
1982-11-15,10.625,10.875,10.375,10.375,4.228984,1614000
1982-11-16,10.25,10.4375,10.03125,10.125,4.127079,1856800
1982-11-17,10.28125,10.40625,10.15625,10.34375,4.21625,1831600
1982-11-18,10.46875,10.625,10.28125,10.5625,4.305412,1224800
