Date,Open,High,Low,Close,Adj Close,Volume
1987-12-30,9.125,9.5,9.0,9.3125,4.438128,253200
1987-12-31,9.1875,9.25,9.0,9.125,4.348771,282400
1988-01-04,9.25,9.625,9.25,9.5,4.527489,186400
1988-01-05,9.625,9.9375,9.5625,9.875,4.706204,311000
1988-01-06,9.75,9.75,9.5,9.6875,4.616848,418200
1988-01-07,9.625,10.0625,9.5,9.9375,4.73599,370800
1988-01-08,9.8125,10.0,9.6875,9.6875,4.616848,195200
1988-01-11,9.5,9.75,9.3125,9.75,4.646632,183800
1988-01-12,9.6875,9.875,9.625,9.75,4.646632,160800
1988-01-13,9.75,9.875,9.5625,9.875,4.706204,143400
1988-01-14,9.75,9.875,9.625,9.875,4.706204,539600
1988-01-15,10.0,10.375,9.9375,10.375,4.944494,311400
1988-01-18,10.375,10.625,10.25,10.625,5.063637,59200
1988-01-19,10.5625,10.75,10.375,10.5625,5.033852,133200
1988-01-20,10.5,10.6875,10.4375,10.5,5.004065,302200
1988-01-21,10.5,10.625,10.375,10.5625,5.033852,168800
1988-01-22,10.625,10.875,10.5625,10.875,5.182781,616800
1988-01-25,10.875,10.9375,10.75,10.8125,5.152995,190200
1988-01-26,10.875,10.875,10.8125,10.8125,5.152995,168600
1988-01-27,10.8125,11.0,10.8125,11.0,5.242354,134400
1988-01-28,10.9375,11.0,10.75,10.875,5.182781,239800
1988-01-29,10.9375,11.25,10.8125,11.25,5.361499,159000
1988-02-01,11.375,11.625,11.3125,11.625,5.540215,454000
1988-02-02,11.625,12.0,11.625,11.875,5.659358,568800
1988-02-03,12.0,12.125,11.875,11.9375,5.689147,908400
1988-02-04,11.875,11.9375,11.8125,11.9375,5.689147,308400
1988-02-05,11.9375,12.125,11.875,12.0625,5.748717,494000
1988-02-08,11.9375,11.9375,11.75,11.8125,5.629571,277200
1988-02-09,11.875,11.875,11.6875,11.6875,5.570002,195000
1988-02-10,11.5,11.75,11.5,11.625,5.540215,294200
1988-02-11,11.75,11.75,11.5,11.5,5.480647,177600
1988-02-12,11.625,11.6875,11.125,11.25,5.361499,231800
1988-02-16,11.375,11.625,11.25,11.375,5.42107,199800
1988-02-17,11.375,11.5,11.25,11.5,5.480647,170400
1988-02-18,11.5,11.5,11.0,11.0,5.242354,205600
1988-02-19,11.125,11.125,10.5,10.9375,5.212569,261200
1988-02-22,10.8125,10.9375,10.8125,10.9375,5.212569,125200
1988-02-23,10.9375,11.125,10.875,11.0,5.242354,184600
1988-02-24,11.0,11.375,11.0,11.0,5.283178,224000
1988-02-25,10.875,11.375,10.875,11.1875,5.373233,157400
1988-02-26,11.4375,11.5,11.1875,11.4375,5.493306,136200
1988-02-29,11.3125,11.5625,11.25,11.5625,5.553341,149400
1988-03-01,11.625,11.75,11.1875,11.375,5.463284,249400
1988-03-02,11.1875,11.375,11.125,11.3125,5.433269,139400
1988-03-03,11.3125,11.375,11.125,11.25,5.40325,121200
1988-03-04,11.25,11.25,11.0625,11.25,5.40325,153800
1988-03-07,11.1875,11.6875,11.0,11.125,5.343216,86400
1988-03-08,11.0625,11.375,11.0625,11.3125,5.433269,95400
1988-03-09,11.3125,11.3125,11.125,11.3125,5.433269,70800
1988-03-10,11.3125,11.375,10.9375,10.9375,5.25316,126400
1988-03-11,11.0,11.0625,10.875,11.0,5.283178,130000
1988-03-14,11.0,11.1875,10.875,11.0,5.283178,290800
1988-03-15,11.125,11.375,11.0,11.3125,5.433269,286000
1988-03-16,11.3125,11.375,11.25,11.375,5.463284,295000
1988-03-17,11.4375,11.4375,11.25,11.4375,5.493306,122800
1988-03-18,11.4375,11.5,11.3125,11.375,5.463284,241200
1988-03-21,11.3125,11.5,11.125,11.375,5.463284,246400
1988-03-22,11.375,11.5,11.0,11.0625,5.313201,123400
1988-03-23,11.0625,11.375,11.0,11.3125,5.433269,263200
1988-03-24,11.3125,11.3125,11.125,11.3125,5.433269,115200
1988-03-25,11.25,11.375,11.125,11.1875,5.373233,112800
1988-03-28,10.8125,10.9375,10.8125,10.8125,5.193126,71000
1988-03-29,10.9375,11.125,10.875,10.875,5.223142,185000
1988-03-30,10.9375,11.0,10.5,10.5,5.043033,251400
1988-03-31,10.625,10.625,10.375,10.5,5.043033,79000
1988-04-04,10.5,10.625,10.1875,10.375,4.982997,233800
1988-04-05,10.4375,10.75,10.375,10.625,5.103072,82000
1988-04-06,10.8125,11.125,10.375,11.0,5.283178,192200
1988-04-07,11.5,11.5,11.0,11.0625,5.313201,197000
1988-04-08,10.9375,11.375,10.875,11.375,5.463284,129600
1988-04-11,11.25,11.375,11.125,11.3125,5.433269,63200
1988-04-12,11.4375,11.4375,10.875,11.0,5.283178,232400
