Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,6.3125,6.5625,6.3125,6.3125,3.403776,81600
1980-03-18,6.3125,6.4375,6.1875,6.1875,3.336372,87400
1980-03-19,6.1875,6.4375,6.1875,6.1875,3.336372,26000
1980-03-20,6.25,6.5,6.25,6.25,3.370074,122800
1980-03-21,6.25,6.5,6.25,6.25,3.370074,60000
1980-03-24,6.25,6.25,6.0,6.0,3.235271,109600
1980-03-25,6.0,6.0625,5.8125,5.8125,3.134171,52000
1980-03-26,5.8125,5.9375,5.6875,5.6875,3.06677,52200
1980-03-27,5.0,5.0,4.75,4.75,2.561258,134200
1980-03-28,5.375,5.625,5.375,5.375,2.898263,131200
1980-03-31,5.6875,5.9375,5.6875,5.6875,3.06677,75000
1980-04-01,5.6875,5.875,5.625,5.625,3.033066,34000
1980-04-02,5.625,5.875,5.625,5.625,3.033066,37800
1980-04-03,5.625,5.6875,5.4375,5.4375,2.931964,46200
1980-04-07,5.4375,5.625,5.375,5.375,2.898263,48400
1980-04-08,5.5625,5.8125,5.5625,5.5625,2.999366,44200
1980-04-09,5.625,5.875,5.625,5.625,3.033066,30600
1980-04-10,5.6875,5.9375,5.6875,5.6875,3.06677,49000
1980-04-11,5.75,6.0,5.75,5.75,3.100468,73000
1980-04-14,5.75,6.0,5.75,5.75,3.100468,27600
1980-04-15,5.75,6.0,5.75,5.75,3.100468,34200
1980-04-16,5.75,5.875,5.625,5.625,3.033066,140400
1980-04-17,5.625,5.75,5.5,5.5,2.965667,38400
1980-04-18,5.5,5.75,5.5,5.5,2.965667,28200
1980-04-21,5.5,5.75,5.5,5.5,2.965667,55000
1980-04-22,5.5,5.75,5.5,5.5,2.965667,87400
1980-04-23,5.625,5.875,5.625,5.625,3.033066,109200
1980-04-24,5.75,6.0,5.75,5.75,3.100468,62000
1980-04-25,5.75,5.9375,5.6875,5.6875,3.06677,64000
1980-04-28,5.6875,5.9375,5.6875,5.6875,3.06677,47000
1980-04-29,5.6875,5.9375,5.6875,5.6875,3.06677,64000
1980-04-30,5.75,6.0,5.75,5.75,3.100468,202200
1980-05-01,5.75,6.0,5.75,5.75,3.100468,207000
1980-05-02,5.875,6.125,5.875,5.875,3.167871,117000
1980-05-05,5.875,6.125,5.875,5.875,3.167871,37000
1980-05-06,5.9375,6.1875,5.9375,5.9375,3.201571,72200
1980-05-07,5.9375,6.1875,5.9375,5.9375,3.201571,50200
1980-05-08,6.0,6.25,6.0,6.0,3.235271,43600
1980-05-09,6.0,6.25,6.0,6.0,3.235271,32000
1980-05-12,6.5625,6.8125,6.5625,6.5625,3.538579,107000
1980-05-13,6.8125,7.0625,6.8125,6.8125,3.673382,105400
1980-05-14,6.8125,7.0625,6.8125,6.8125,3.673382,57400
1980-05-15,6.8125,7.0,6.75,6.75,3.639681,45400
1980-05-16,6.75,6.9375,6.6875,6.6875,3.605979,19600
1980-05-19,6.6875,6.9375,6.6875,6.6875,3.605979,64800
1980-05-20,6.6875,6.875,6.625,6.625,3.572278,43800
1980-05-21,6.5,6.5,6.25,6.25,3.370074,91800
1980-05-22,6.375,6.625,6.375,6.375,3.437477,59800
1980-05-23,6.5,6.75,6.5,6.5,3.504879,51200
1980-05-27,6.5,6.75,6.5,6.5,3.504879,57000
1980-05-28,6.5,6.625,6.375,6.375,3.437477,82800
1980-05-29,6.375,6.625,6.375,6.375,3.437477,43600
1980-05-30,6.625,6.875,6.625,6.625,3.572278,48200
1980-06-02,6.75,7.0,6.75,6.75,3.639681,79800
1980-06-03,6.75,7.0,6.75,6.75,3.639681,22400
1980-06-04,6.8125,7.0625,6.8125,6.8125,3.673382,32200
1980-06-05,6.9375,7.1875,6.9375,6.9375,3.740783,60400
1980-06-06,6.9375,7.125,6.875,6.875,3.707081,37000
1980-06-09,6.875,7.125,6.875,6.875,3.707081,35800
1980-06-10,7.25,7.5,7.25,7.25,3.909287,159400
1980-06-11,7.3125,7.5625,7.3125,7.3125,3.942989,64400
1980-06-12,7.375,7.625,7.375,7.375,3.97669,78400
1980-06-13,7.375,7.625,7.375,7.375,3.97669,33000
1980-06-16,7.375,7.625,7.375,7.375,3.97669,55600
1980-06-17,7.375,7.625,7.375,7.375,3.97669,85800
1980-06-18,7.375,7.5,7.25,7.25,3.909287,106400
1980-06-19,7.25,7.5,7.25,7.25,3.909287,29600
1980-06-20,7.25,7.4375,7.1875,7.1875,3.875588,60800
1980-06-23,7.1875,7.4375,7.1875,7.1875,3.875588,25600
1980-06-24,7.1875,7.375,7.125,7.125,3.841885,30200
1980-06-25,7.125,7.375,7.125,7.125,3.841885,37200
1980-06-26,7.125,7.1875,6.9375,6.9375,3.740783,40600
1980-06-27,6.9375,7.1875,6.9375,6.9375,3.740783,26200
1980-06-30,6.9375,6.9375,6.6875,6.6875,3.605979,50200
1980-07-01,6.6875,6.8125,6.5625,6.5625,3.538579,26600
1980-07-02,6.625,6.875,6.625,6.625,3.572278,26400
1980-07-03,6.75,7.0,6.75,6.75,3.639681,63000
1980-07-07,6.9375,7.0,6.9375,6.9375,3.740783,52400
1980-07-08,7.0625,7.125,7.0625,7.0625,3.808185,50600
1980-07-09,7.125,7.1875,7.125,7.125,3.841885,58600
1980-07-10,7.1875,7.25,7.1875,7.1875,3.875588,51200
1980-07-11,7.1875,7.25,7.125,7.125,3.841885,29600
1980-07-14,7.3125,7.375,7.3125,7.3125,3.942989,144000
1980-07-15,7.375,7.4375,7.375,7.375,3.97669,62000
1980-07-16,7.375,7.4375,7.375,7.375,3.97669,148800
1980-07-17,7.5625,7.625,7.5625,7.5625,4.077792,331200
1980-07-18,7.875,7.9375,7.875,7.875,4.246295,292200
1980-07-21,7.9375,8.0,7.9375,7.9375,4.279995,277400
1980-07-22,7.9375,8.0,7.875,7.875,4.246295,269600
1980-07-23,8.0625,8.125,8.0625,8.0625,4.347398,202200
1980-07-24,8.0625,8.0625,7.9375,7.9375,4.279995,92800
1980-07-25,7.875,7.875,7.8125,7.8125,4.212594,78000
1980-07-28,7.8125,7.8125,7.75,7.75,4.178895,61400
1980-07-29,7.9375,8.0,7.9375,7.9375,4.279995,90800
1980-07-30,7.9375,8.0,7.9375,7.9375,4.279995,79000
1980-07-31,7.9375,8.0,7.9375,7.9375,4.279995,122000
1980-08-01,7.9375,8.0,7.9375,7.9375,4.279995,47800
1980-08-04,7.9375,7.9375,7.875,7.875,4.246295,97800
1980-08-05,7.875,7.9375,7.875,7.875,4.246295,54600
1980-08-06,7.875,7.9375,7.875,7.875,4.246295,46400
1980-08-07,8.125,8.1875,8.125,8.125,4.381097,223600
1980-08-08,8.25,8.375,8.25,8.25,4.448499,437400
1980-08-11,8.625,8.6875,8.625,8.625,4.650704,478800
1980-08-12,8.6875,8.8125,8.6875,8.6875,4.684405,522400
1980-08-13,8.8125,8.875,8.8125,8.8125,4.751804,855600
1980-08-14,9.25,9.375,9.25,9.25,4.987712,911600
1980-08-15,9.4375,9.5,9.4375,9.4375,5.088815,328800
1980-08-18,9.125,9.125,9.0625,9.0625,4.886611,301800
1980-08-19,8.9375,8.9375,8.875,8.875,4.785506,87600
1980-08-20,8.8125,8.8125,8.75,8.75,4.718103,77600
1980-08-21,9.0625,9.125,9.0625,9.0625,4.886611,228800
1980-08-22,9.25,9.375,9.25,9.25,4.987712,177400
1980-08-25,9.25,9.25,9.1875,9.1875,4.954009,85800
1980-08-26,9.1875,9.1875,9.125,9.125,4.920308,99000
1980-08-27,9.0625,9.0625,9.0,9.0,4.85291,70400
1980-08-28,8.9375,8.9375,8.8125,8.8125,4.751804,101400
1980-08-29,8.8125,8.875,8.75,8.75,4.718103,80400
1980-09-02,8.75,8.875,8.75,8.75,4.718103,42600
1980-09-03,9.0,9.0625,9.0,9.0,4.85291,73800
1980-09-04,9.0,9.125,9.0,9.0,4.85291,133400
1980-09-05,9.0,9.125,9.0,9.0,4.85291,67000
1980-09-08,8.9375,8.9375,8.875,8.875,4.785506,170600
1980-09-09,8.875,8.9375,8.8125,8.8125,4.751804,56200
1980-09-10,8.875,8.9375,8.875,8.875,4.785506,57000
1980-09-11,8.9375,9.0,8.9375,8.9375,4.819207,58600
1980-09-12,8.9375,9.0,8.9375,8.9375,4.819207,78200
1980-09-15,8.9375,9.0625,8.9375,8.9375,4.819207,68600
1980-09-16,8.9375,9.0625,8.9375,8.9375,4.819207,58200
1980-09-17,9.1875,9.3125,9.1875,9.1875,4.954009,153200
1980-09-18,9.25,9.3125,9.25,9.25,4.987712,94000
1980-09-19,9.5,9.625,9.5,9.5,5.122516,121000
1980-09-22,9.5,9.5625,9.5,9.5,5.122516,58800
1980-09-23,9.5,9.5625,9.5,9.5,5.122516,163200
1980-09-24,9.5625,9.625,9.5625,9.5625,5.156216,311200
1980-09-25,9.5625,9.625,9.5625,9.5625,5.156216,519400
1980-09-26,9.5625,9.5625,9.5,9.5,5.122516,128200
1980-09-29,9.25,9.25,9.1875,9.1875,4.954009,143800
1980-09-30,9.3125,9.375,9.3125,9.3125,5.021411,56800
1980-10-01,9.4375,9.5,9.4375,9.4375,5.088815,72800
1980-10-02,9.4375,9.5625,9.4375,9.4375,5.088815,52000
