Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,2.864583,2.9375,2.864583,2.875,1.524875,26400
1980-03-18,2.84375,2.84375,2.770833,2.770833,1.469627,19200
1980-03-19,2.75,2.75,2.697917,2.697917,1.430953,30000
1980-03-20,2.6875,2.6875,2.666667,2.666667,1.414378,16800
1980-03-21,2.666667,2.666667,2.645833,2.645833,1.403327,10800
1980-03-24,2.645833,2.65625,2.645833,2.65625,1.408853,15600
1980-03-25,2.65625,2.65625,2.625,2.625,1.392278,18000
1980-03-26,2.625,2.65625,2.625,2.645833,1.403327,26400
1980-03-27,2.645833,2.65625,2.541667,2.541667,1.348079,27600
1980-03-28,2.604167,2.614583,2.604167,2.614583,1.386752,14400
1980-03-31,2.625,2.645833,2.625,2.625,1.392278,12000
1980-04-01,2.625,2.697917,2.625,2.697917,1.430953,32400
1980-04-02,2.708333,2.75,2.708333,2.75,1.458577,34800
1980-04-03,2.729167,2.729167,2.666667,2.666667,1.414378,1128000
1980-04-07,2.645833,2.645833,2.625,2.625,1.392278,22800
1980-04-08,2.625,2.645833,2.583333,2.645833,1.403327,38400
1980-04-09,2.65625,2.65625,2.65625,2.65625,1.408853,6000
1980-04-10,2.65625,2.666667,2.65625,2.666667,1.414378,3600
1980-04-11,2.697917,2.75,2.697917,2.75,1.458577,19200
1980-04-14,2.75,2.75,2.75,2.75,1.458577,6000
1980-04-15,2.75,2.75,2.75,2.75,1.458577,4800
1980-04-16,2.729167,2.729167,2.6875,2.6875,1.425428,7200
1980-04-17,2.708333,2.708333,2.708333,2.708333,1.436478,2400
1980-04-18,2.708333,2.71875,2.6875,2.6875,1.425428,9600
1980-04-21,2.6875,2.697917,2.6875,2.697917,1.430953,4800
1980-04-22,2.697917,2.739583,2.6875,2.739583,1.453052,10800
1980-04-23,2.75,2.770833,2.75,2.75,1.458577,6000
1980-04-24,2.75,2.75,2.708333,2.708333,1.436478,7200
1980-04-25,2.6875,2.6875,2.6875,2.6875,1.425428,4800
1980-04-28,2.6875,2.6875,2.6875,2.6875,1.425428,0
1980-04-29,2.6875,2.6875,2.6875,2.6875,1.425428,0
1980-04-30,2.6875,2.71875,2.6875,2.697917,1.430953,12000
1980-05-01,2.697917,2.739583,2.6875,2.739583,1.453052,25200
1980-05-02,2.71875,2.71875,2.697917,2.697917,1.430953,12000
1980-05-05,2.697917,2.697917,2.6875,2.697917,1.430953,13200
1980-05-06,2.697917,2.708333,2.666667,2.708333,1.436478,33600
1980-05-07,2.729167,2.729167,2.729167,2.729167,1.447528,1200
1980-05-08,2.729167,2.729167,2.6875,2.6875,1.425428,3600
1980-05-09,2.708333,2.75,2.708333,2.708333,1.436478,16800
1980-05-12,2.729167,2.729167,2.729167,2.729167,1.447528,2400
1980-05-13,2.708333,2.708333,2.677083,2.6875,1.425428,12000
1980-05-14,2.6875,2.708333,2.677083,2.708333,1.436478,27600
1980-05-15,2.708333,2.708333,2.6875,2.708333,1.436478,7200
1980-05-16,2.6875,2.6875,2.6875,2.6875,1.425428,3600
