Date,Open,High,Low,Close,Adj Close,Volume
1983-11-21,7.939334,7.953386,7.377257,7.897178,1.619044,5020600
1983-11-22,7.897178,8.009593,7.855022,7.869074,1.613282,2666700
1983-11-23,7.869074,7.897178,7.784762,7.826919,1.60464,1151900
1983-11-25,7.826919,7.840971,7.742607,7.742607,1.587354,1771800
1983-11-28,7.700451,7.700451,7.503724,7.531828,1.544142,2367800
1983-11-29,7.517776,7.517776,7.433465,7.447516,1.526856,1630400
1983-11-30,7.447516,7.503724,7.419413,7.447516,1.526856,2423100
1983-12-01,7.447516,7.503724,7.405361,7.447516,1.526856,6249000
1983-12-02,7.447516,7.531828,7.391309,7.433465,1.523976,1763800
1983-12-05,7.433465,7.447516,7.349153,7.349153,1.50669,1084300
1983-12-06,7.349153,7.405361,7.349153,7.377257,1.512452,2176500
1983-12-07,7.377257,7.503724,7.377257,7.447516,1.526856,4855900
1983-12-08,7.447516,7.489672,7.433465,7.461568,1.529737,7360000
1983-12-09,7.461568,7.517776,7.461568,7.47562,1.532618,5222400
1983-12-12,7.47562,7.517776,7.461568,7.489672,1.535499,2834900
1983-12-13,7.503724,7.630191,7.503724,7.602087,1.558546,6692900
1983-12-14,7.602087,7.658295,7.602087,7.630191,1.564308,2520800
1983-12-15,7.630191,7.630191,7.573984,7.573984,1.552784,2323400
1983-12-16,7.573984,7.644243,7.573984,7.616139,1.561427,2452400
1983-12-19,7.616139,7.616139,7.588036,7.588036,1.555666,1610800
1983-12-20,7.588036,7.616139,7.531828,7.54588,1.547022,1937400
1983-12-21,7.54588,7.573984,7.47562,7.503724,1.53838,1935600
1983-12-22,7.489672,7.489672,7.405361,7.405361,1.518214,4871100
1983-12-23,7.405361,7.419413,7.349153,7.363205,1.509571,2338500
1983-12-27,7.349153,7.349153,7.306997,7.321049,1.500929,3004800
1983-12-28,7.321049,7.391309,7.321049,7.377257,1.512452,4580100
1983-12-29,7.377257,7.405361,7.363205,7.363205,1.509571,2998600
1983-12-30,7.363205,7.377257,7.321049,7.335101,1.50381,1745100
1984-01-03,7.377257,7.559932,7.377257,7.54588,1.547022,1973700
1984-01-04,7.588036,7.91123,7.588036,7.77071,1.593117,3632800
1984-01-05,7.826919,7.995542,7.826919,7.840971,1.60752,3759100
1984-01-06,7.812866,8.037697,7.812866,7.98149,1.636329,4508100
1984-01-09,7.98149,7.98149,7.883126,7.883126,1.616162,1791400
1984-01-10,7.883126,7.91123,7.855022,7.91123,1.621925,1571700
1984-01-11,7.91123,7.953386,7.91123,7.925282,1.624806,1258500
1984-01-12,7.925282,7.98149,7.91123,7.98149,1.636329,1421300
1984-01-13,8.023645,8.122008,8.023645,8.037697,1.647853,3148000
1984-01-16,8.093904,8.262527,8.093904,8.107957,1.662256,2448900
1984-01-17,8.136061,8.20632,8.136061,8.178216,1.676661,2151700
1984-01-18,8.178216,8.20632,8.136061,8.20632,1.682423,2929200
1984-01-19,8.20632,8.248476,8.164165,8.20632,1.682423,1812700
1984-01-20,8.20632,8.262527,8.20632,8.262527,1.693946,2088500
1984-01-23,8.262527,8.262527,8.220372,8.220372,1.685303,1159800
1984-01-24,8.220372,8.234424,8.20632,8.20632,1.682423,1173100
1984-01-25,8.20632,8.262527,8.20632,8.220372,1.685303,1711300
