Date,Open,High,Low,Close,Adj Close,Volume
1991-07-19,15.0,15.3125,14.8125,15.0,6.311082,13808200
1991-07-22,14.9375,15.0,14.8125,15.0,6.311082,4531800
1991-07-23,14.9375,15.0,14.875,15.0,6.311082,2028200
1991-07-24,14.9375,15.125,14.9375,15.125,6.363675,805800
1991-07-25,15.0625,15.5625,15.0625,15.4375,6.495154,969600
1991-07-26,15.5,15.625,15.375,15.4375,6.495154,781400
1991-07-29,15.375,15.4375,15.1875,15.25,6.416266,467400
1991-07-30,15.3125,15.5,15.3125,15.5,6.521451,660800
1991-07-31,15.5625,16.0,15.5625,15.8125,6.65293,835200
1991-08-01,15.8125,16.0,15.8125,15.8125,6.65293,1643200
1991-08-02,16.0,16.0,15.625,15.875,6.67923,1237400
1991-08-05,15.8125,15.8125,15.4375,15.5,6.521451,566600
1991-08-06,15.4375,15.75,15.4375,15.75,6.626637,423400
1991-08-07,15.75,15.9375,15.5,15.5,6.521451,654600
1991-08-08,15.5,15.5,15.25,15.3125,6.442559,294000
1991-08-09,15.3125,15.375,15.125,15.125,6.363675,277000
1991-08-12,15.125,15.125,15.0,15.0,6.311082,304800
1991-08-13,15.0,15.25,14.9375,14.9375,6.284785,546400
1991-08-14,15.0,15.0625,14.875,15.0625,6.337378,301600
1991-08-15,14.9375,15.125,14.6875,14.6875,6.1796,783600
1991-08-16,14.8125,14.9375,14.6875,14.9375,6.284785,117400
1991-08-19,14.125,14.5625,13.6875,14.4375,6.074415,399600
1991-08-20,14.5,14.625,14.375,14.5625,6.127007,151600
1991-08-21,15.375,15.5,15.125,15.25,6.416266,308400
1991-08-22,15.25,15.5,15.1875,15.5,6.521451,219800
1991-08-23,15.375,15.5625,15.1875,15.25,6.416266,83200
1991-08-26,15.25,15.25,14.9375,14.9375,6.284785,108600
1991-08-27,15.0625,15.0625,14.8125,14.875,6.258489,335800
1991-08-28,14.9375,15.0625,14.8125,15.0,6.311082,243200
1991-08-29,15.0625,15.4375,15.0625,15.3125,6.442559,256200
1991-08-30,15.3125,15.375,15.25,15.375,6.468859,78000
1991-09-03,15.375,15.4375,15.1875,15.1875,6.389971,162200
1991-09-04,15.25,15.3125,15.1875,15.3125,6.442559,107600
1991-09-05,15.3125,15.3125,15.0625,15.0625,6.337378,214400
1991-09-06,15.125,15.25,15.125,15.1875,6.389971,127200
1991-09-09,15.25,15.875,15.25,15.875,6.67923,347200
1991-09-10,15.875,15.9375,15.75,15.75,6.626637,101000
