Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.833333,1.916667,1.833333,1.833333,0.940391,72000
1980-03-18,1.833333,1.895833,1.8125,1.8125,0.929705,8000
1980-03-19,1.8125,1.8125,1.8125,1.8125,0.929705,0
1980-03-20,1.8125,1.895833,1.8125,1.8125,0.929705,800
1980-03-21,1.8125,1.875,1.791667,1.791667,0.919018,38400
1980-03-24,1.791667,1.791667,1.708333,1.708333,0.876274,93600
1980-03-25,1.708333,1.75,1.666667,1.666667,0.8549,8000
1980-03-26,1.666667,1.75,1.666667,1.666667,0.8549,110400
1980-03-27,1.666667,1.6875,1.604167,1.604167,0.822842,62400
1980-03-28,1.645833,1.729167,1.645833,1.645833,0.844215,33600
1980-03-31,1.645833,1.729167,1.645833,1.645833,0.844215,2400
1980-04-01,1.6875,1.770833,1.6875,1.6875,0.865587,15200
1980-04-02,1.8125,1.895833,1.8125,1.8125,0.929705,195200
1980-04-03,1.833333,1.916667,1.833333,1.833333,0.940391,52800
1980-04-07,1.833333,1.854167,1.770833,1.770833,0.908332,24800
1980-04-08,1.770833,1.833333,1.75,1.75,0.897646,55200
1980-04-09,1.75,1.833333,1.75,1.75,0.897646,8000
1980-04-10,1.770833,1.854167,1.770833,1.770833,0.908332,4800
1980-04-11,1.770833,1.854167,1.770833,1.770833,0.908332,3200
1980-04-14,1.770833,1.833333,1.75,1.75,0.897646,800
1980-04-15,1.770833,1.854167,1.770833,1.770833,0.908332,20000
1980-04-16,1.875,1.958333,1.875,1.875,0.961763,113600
1980-04-17,1.875,1.958333,1.875,1.875,0.961763,34400
1980-04-18,1.895833,1.979167,1.895833,1.895833,0.972449,19200
1980-04-21,1.916667,2.0,1.916667,1.916667,0.983136,19200
1980-04-22,1.916667,2.0,1.916667,1.916667,0.983136,12000
1980-04-23,1.979167,2.0625,1.979167,1.979167,1.015194,60000
1980-04-24,2.041667,2.125,2.041667,2.041667,1.047253,64800
1980-04-25,2.041667,2.104167,2.020833,2.020833,1.036566,80000
1980-04-28,2.041667,2.125,2.041667,2.041667,1.047253,8000
1980-04-29,2.041667,2.125,2.041667,2.041667,1.047253,17600
1980-04-30,2.041667,2.125,2.041667,2.041667,1.047253,21600
1980-05-01,2.041667,2.125,2.041667,2.041667,1.047253,800
1980-05-02,2.041667,2.125,2.041667,2.041667,1.047253,2400
1980-05-05,2.041667,2.125,2.041667,2.041667,1.047253,5600
1980-05-06,2.0625,2.145833,2.0625,2.0625,1.05794,36000
1980-05-07,2.083333,2.166667,2.083333,2.083333,1.068625,56000
1980-05-08,2.083333,2.145833,2.0625,2.0625,1.05794,7200
1980-05-09,2.0625,2.145833,2.0625,2.0625,1.05794,24800
1980-05-12,2.0625,2.104167,2.020833,2.020833,1.036566,27200
1980-05-13,2.020833,2.083333,2.0,2.0,1.025881,75200
1980-05-14,2.0,2.083333,2.0,2.0,1.025881,4800
1980-05-15,2.0,2.083333,2.0,2.0,1.025881,7200
1980-05-16,2.0,2.083333,2.0,2.0,1.025881,24000
1980-05-19,2.0,2.083333,2.0,2.0,1.025881,10400
1980-05-20,2.0,2.0625,1.979167,1.979167,1.015194,15200
1980-05-21,1.979167,1.979167,1.895833,1.895833,0.972449,63200
1980-05-22,1.916667,2.0,1.916667,1.916667,0.983136,16800
1980-05-23,1.958333,2.041667,1.958333,1.958333,1.004508,45600
1980-05-27,1.958333,1.958333,1.958333,1.958333,1.004508,0
1980-05-28,1.958333,2.041667,1.958333,1.958333,1.004508,3200
1980-05-29,1.958333,2.020833,1.9375,1.9375,0.993822,12800
1980-05-30,1.9375,2.0,1.916667,1.916667,0.983136,60000
1980-06-02,1.916667,2.0,1.916667,1.916667,0.983136,12000
1980-06-03,1.916667,2.0,1.916667,1.916667,0.983136,14400
1980-06-04,1.916667,2.0,1.916667,1.916667,0.983136,27200
1980-06-05,1.916667,2.0,1.916667,1.916667,0.983136,3200
1980-06-06,1.916667,2.0,1.916667,1.916667,0.983136,15200
1980-06-09,1.916667,2.0,1.916667,1.916667,0.983136,41600
1980-06-10,1.958333,2.041667,1.958333,1.958333,1.004508,34400
1980-06-11,1.979167,2.0625,1.979167,1.979167,1.015194,24800
1980-06-12,1.979167,2.0625,1.979167,1.979167,1.015194,146400
1980-06-13,2.041667,2.125,2.041667,2.041667,1.047253,56000
1980-06-16,2.0625,2.145833,2.0625,2.0625,1.05794,26400
1980-06-17,2.083333,2.166667,2.083333,2.083333,1.068625,3200
1980-06-18,2.083333,2.166667,2.083333,2.083333,1.068625,17600
1980-06-19,2.083333,2.145833,2.0625,2.0625,1.05794,12800
1980-06-20,2.0625,2.145833,2.0625,2.0625,1.05794,46400
1980-06-23,2.0625,2.145833,2.0625,2.0625,1.05794,60800
1980-06-24,2.0625,2.0625,2.0625,2.0625,1.05794,0
1980-06-25,2.0625,2.125,2.041667,2.041667,1.047253,24800
1980-06-26,2.041667,2.041667,2.041667,2.041667,1.047253,0
1980-06-27,2.041667,2.104167,2.020833,2.020833,1.036566,5600
1980-06-30,2.020833,2.083333,2.0,2.0,1.025881,16800
1980-07-01,2.0,2.0625,1.979167,1.979167,1.015194,24000
1980-07-02,1.979167,2.0625,1.979167,1.979167,1.015194,14400
1980-07-03,1.979167,2.041667,1.958333,1.958333,1.004508,53600
1980-07-07,1.979167,2.041667,1.979167,1.979167,1.015194,36800
1980-07-08,2.0,2.041667,2.0,2.0,1.025881,12800
1980-07-09,2.0,2.041667,2.0,2.0,1.025881,9600
1980-07-10,2.0,2.041667,2.0,2.0,1.025881,60800
1980-07-11,2.0,2.041667,2.0,2.0,1.025881,9600
1980-07-14,2.0,2.020833,2.0,2.0,1.025881,20000
1980-07-15,2.0,2.020833,2.0,2.0,1.025881,4800
1980-07-16,2.0,2.0,2.0,2.0,1.025881,0
1980-07-17,2.0,2.020833,2.0,2.0,1.025881,24000
1980-07-18,2.0,2.041667,2.0,2.0,1.025881,32000
1980-07-21,2.0,2.0,2.0,2.0,1.025881,0
1980-07-22,2.020833,2.041667,2.020833,2.020833,1.036566,108000
1980-07-23,2.020833,2.020833,2.0,2.0,1.025881,96800
1980-07-24,2.0,2.020833,1.979167,1.979167,1.015194,5600
1980-07-25,1.979167,2.020833,1.979167,1.979167,1.015194,24800
1980-07-28,1.979167,2.020833,1.979167,1.979167,1.015194,2400
1980-07-29,1.979167,2.020833,1.979167,1.979167,1.015194,4800
1980-07-30,1.979167,2.020833,1.979167,1.979167,1.015194,14400
1980-07-31,1.979167,2.0,1.958333,1.958333,1.004508,52800
1980-08-01,1.979167,2.020833,1.979167,1.979167,1.015194,48000
1980-08-04,1.979167,1.979167,1.9375,1.9375,0.993822,72000
1980-08-05,1.9375,1.9375,1.9375,1.9375,0.993822,0
1980-08-06,1.9375,1.979167,1.9375,1.9375,0.993822,52800
1980-08-07,1.958333,2.020833,1.958333,1.958333,1.004508,44000
1980-08-08,2.0,2.041667,2.0,2.0,1.025881,36000
1980-08-11,2.0,2.041667,2.0,2.0,1.025881,5600
1980-08-12,2.0,2.041667,2.0,2.0,1.025881,12800
1980-08-13,2.041667,2.083333,2.041667,2.041667,1.047253,28800
1980-08-14,2.083333,2.145833,2.083333,2.083333,1.068625,29600
1980-08-15,2.104167,2.145833,2.104167,2.104167,1.079312,20000
1980-08-18,2.104167,2.125,2.0625,2.0625,1.05794,34400
1980-08-19,2.0625,2.0625,2.020833,2.020833,1.036566,16800
1980-08-20,2.020833,2.041667,2.0,2.0,1.025881,12800
1980-08-21,2.0,2.041667,2.0,2.0,1.025881,5600
1980-08-22,2.020833,2.0625,2.020833,2.020833,1.036566,17600
1980-08-25,2.020833,2.041667,2.020833,2.020833,1.036566,4800
1980-08-26,2.020833,2.041667,2.0,2.0,1.025881,351200
1980-08-27,2.0,2.020833,2.0,2.0,1.025881,53600
1980-08-28,2.0,2.020833,2.0,2.0,1.025881,569600
1980-08-29,2.0,2.041667,2.0,2.0,1.025881,3200
1980-09-02,2.0,2.041667,2.0,2.0,1.025881,4800
1980-09-03,2.041667,2.083333,2.041667,2.041667,1.047253,38400
1980-09-04,2.083333,2.104167,2.083333,2.083333,1.068625,34400
1980-09-05,2.083333,2.125,2.083333,2.083333,1.068625,2400
1980-09-08,2.083333,2.125,2.083333,2.083333,1.068625,92000
1980-09-09,2.083333,2.125,2.083333,2.083333,1.068625,800
1980-09-10,2.083333,2.125,2.083333,2.083333,1.068625,14400
1980-09-11,2.083333,2.125,2.083333,2.083333,1.068625,2400
1980-09-12,2.083333,2.125,2.083333,2.083333,1.068625,800
1980-09-15,2.083333,2.125,2.083333,2.083333,1.068625,31200
1980-09-16,2.104167,2.145833,2.104167,2.104167,1.079312,20000
1980-09-17,2.104167,2.104167,2.104167,2.104167,1.079312,0
1980-09-18,2.125,2.166667,2.125,2.125,1.089998,14400
1980-09-19,2.125,2.166667,2.125,2.125,1.089998,800
1980-09-22,2.125,2.166667,2.125,2.125,1.089998,24000
1980-09-23,2.125,2.166667,2.125,2.125,1.089998,55200
1980-09-24,2.145833,2.1875,2.145833,2.145833,1.100684,38400
1980-09-25,2.145833,2.1875,2.145833,2.145833,1.100684,3200
1980-09-26,2.145833,2.166667,2.145833,2.145833,1.100684,20000
1980-09-29,2.145833,2.166667,2.125,2.125,1.089998,12800
1980-09-30,2.125,2.166667,2.104167,2.104167,1.079312,32000
1980-10-01,2.104167,2.145833,2.104167,2.104167,1.079312,40800
1980-10-02,2.125,2.166667,2.125,2.125,1.089998,20000
1980-10-03,2.145833,2.1875,2.145833,2.145833,1.100684,21600
1980-10-06,2.145833,2.208333,2.145833,2.145833,1.100684,28800
1980-10-07,2.1875,2.229167,2.1875,2.1875,1.122057,39200
1980-10-08,2.1875,2.208333,2.1875,2.1875,1.122057,5600
1980-10-09,2.1875,2.229167,2.1875,2.1875,1.122057,2400
1980-10-10,2.208333,2.25,2.208333,2.208333,1.132743,17600
1980-10-13,2.229167,2.25,2.229167,2.229167,1.143429,17600
1980-10-14,2.229167,2.291667,2.229167,2.229167,1.143429,36000
1980-10-15,2.270833,2.291667,2.270833,2.270833,1.164802,14400
1980-10-16,2.270833,2.333333,2.270833,2.270833,1.164802,16800
1980-10-17,2.270833,2.270833,2.25,2.25,1.154116,50400
1980-10-20,2.25,2.25,2.208333,2.208333,1.132743,76800
1980-10-21,2.208333,2.25,2.208333,2.208333,1.132743,14400
1980-10-22,2.208333,2.229167,2.1875,2.1875,1.122057,31200
1980-10-23,2.1875,2.208333,2.166667,2.166667,1.111371,20000
1980-10-24,2.166667,2.208333,2.145833,2.145833,1.100684,12800
1980-10-27,2.145833,2.208333,2.145833,2.145833,1.100684,3200
1980-10-28,2.145833,2.1875,2.145833,2.145833,1.100684,12000
1980-10-29,2.145833,2.208333,2.145833,2.145833,1.100684,2400
1980-10-30,2.145833,2.145833,2.104167,2.104167,1.079312,58400
1980-10-31,2.104167,2.145833,2.104167,2.104167,1.079312,44000
1980-11-03,2.125,2.166667,2.125,2.125,1.089998,38400
1980-11-05,2.145833,2.166667,2.145833,2.145833,1.100684,33600
1980-11-06,2.145833,2.145833,2.125,2.125,1.089998,14400
1980-11-07,2.125,2.145833,2.104167,2.104167,1.079312,800
1980-11-10,2.104167,2.125,2.104167,2.104167,1.079312,14400
1980-11-11,2.104167,2.145833,2.104167,2.104167,1.079312,19200
1980-11-12,2.166667,2.208333,2.166667,2.166667,1.111371,64800
1980-11-13,2.166667,2.208333,2.166667,2.166667,1.111371,2400
1980-11-14,2.1875,2.229167,2.1875,2.1875,1.122057,24000
1980-11-17,2.1875,2.229167,2.166667,2.166667,1.111371,77600
1980-11-18,2.229167,2.270833,2.229167,2.229167,1.143429,168800
1980-11-19,2.25,2.3125,2.25,2.25,1.154116,28800
1980-11-20,2.291667,2.333333,2.291667,2.291667,1.175488,26400
1980-11-21,2.333333,2.375,2.333333,2.333333,1.196861,15200
1980-11-24,2.333333,2.375,2.3125,2.3125,1.186175,8000
1980-11-25,2.3125,2.375,2.3125,2.3125,1.186175,8000
1980-11-26,2.333333,2.375,2.333333,2.333333,1.196861,10400
1980-11-28,2.333333,2.375,2.333333,2.333333,1.196861,4800
1980-12-01,2.333333,2.375,2.291667,2.291667,1.175488,28800
1980-12-02,2.291667,2.354167,2.291667,2.291667,1.175488,24800
1980-12-03,2.291667,2.375,2.291667,2.291667,1.175488,4800
1980-12-04,2.3125,2.375,2.3125,2.3125,1.186175,12800
